"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"11","2019-11-21 14:38:55-03","UFJF","CESJ","59632","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","F.R.G. Salimena; D.S. Santiago; S.G. Furtado; P.H. Nobre","3411","2012","04","13","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Centro de Apoio ao Pesquisador, Mata de Araucária.","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Arbusto ca. 2m, flores amarelas, interior de mata.","CESJ059632",NA,"M. Magalhaes",NA,NA,"2013","06",NA,"29865","auto",NA,NA,NA
"12","2019-11-21 14:38:55-03","UFJF","CESJ","60419","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","D.S. Santiago; J.H.C. Ribeiro","138","2012","09","20","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, No interior da Mata de Araucária, próximo ao Rio do Charco.","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Erva, ca 30 cm, pétalas amarelas.","CESJ060419",NA,"M. Magalhaes",NA,NA,"2013","06",NA,"29865","auto",NA,NA,NA
"13","2021-03-16 17:53:33-03","UCS","HUCS","11585","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Grings, M.","s.n.","2014","11","29",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","CPCN Pró-Mata","-50.213806","-29.488453",NA,NA,NA,"arbusto de 0,4m de altura, frutificando e com flores amarelas fechadas; em campo alto, próximo de bordo com mata com araucária",NA,NA,"Grings, M.",NA,NA,"2014",NA,NA,NA,NA,"-50.213806","-29.488453",NA
"14","2021-03-16 17:53:33-03","UCS","HUCS","36908","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Grings, M.","932","2010","01","09",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Josafáz à 2 km do perau das Pedras Brancas","-50.063889","-29.374444",NA,NA,NA,"subarbusto de 0,5 de alt; flores amarelas fechadas e em botão ; frutificando - ICN 163170; campo arbustivo em beira de capão",NA,NA,"Grings, M.",NA,NA,NA,NA,NA,NA,NA,"-50.063889","-29.374444",NA
"15","2021-03-16 17:53:33-03","UCS","HUCS","36705","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Pasini, E.","448","2010","11","06",NA,"Brasil","Rio Grande do Sul","Caçapava do Sul","Pedra do Segredo","-53.4914016723633","-30.5121994018555",NA,NA,NA,"capoeirão na beira da estrada",NA,NA,"Pasini, E.",NA,NA,NA,NA,NA,"50525","auto",NA,NA,NA
"16","2020-12-21 16:33:26-03","MBM","MBM","54801","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Leitão Filho, H.F.; et al.; et al.","1824",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Camanducaia","Monte Verde","-46.1446990966797","-22.7553005218506",NA,NA,NA,NA,"MBM054801","MBM054801","Esteves, G.L.",NA,NA,NA,NA,NA,"22140","auto",NA,NA,NA
"17","2020-12-21 16:33:26-03","MBM","MBM","298430","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","78277","2004","11","20","Southern America","Brazil","Rio Grande do Sul","São José dos Ausentes","Serra da Rocinha - São José dos Ausentes","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"MBM298430","MBM298430","Krapovickas, A.",NA,NA,NA,NA,NA,"42598","auto",NA,NA,NA
"18","2019-11-01 15:28:23-03","PUC-RIO","FCAB","1790","PreservedSpecimen","Plantae",NA,"Angiospermae","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal",NA,"s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"001790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2009-08-23 08:49:00-03","MO","MOBOT","2459261","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","Lyman B. Smith|Roberto M. Klein","Smith 11265","1957","2","11","South America","Brazil","Santa Catarina",NA,"Lajes. 34 km NE of Bocaino do Sul","-49.71666","-27.58333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2743485","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","L. B. Smith & R. M. Klein","7808","1956","11","21","South America","Brazil","Santa Catarina","Bom Retiro","between Fazenda Campo dos Padres and Fazenda San Antonio","-49.489200592041","-27.7971992492676","1400","1650",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"35974","auto",NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","2250506","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","L. B. Smith & R. Reitz","10,393","1957","1","24","South America","Brazil","Santa Catarina","Bom Retiro","Between Fazenda Santo António and Fazenda Campo dos Padres, Campo dos Padres","-49.489200592041","-27.7971992492676","1400","1650",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"35974","auto",NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","2557943","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","kleinii","Pavonia kleinii","Krapov. & Cristóbal","L. B. Smith & R. M. Klein","11265","1957","2","11","South America","Brazil","Santa Catarina",NA,"Lajes, NE of Bocaina do Sul.",NA,NA,"800","1000",NA,NA,"US00098029","US00098029_01",NA,"Isotype","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1"
