"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:47-03","UNESC","CRI","1584","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","Marcos Sobral","1993","07","11","R. Negrelle","1992","03","11","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005557","CRI005557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","1595","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; et al.","1992","03","02","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005272","CRI005272","107","Reserva Volta Velha.","9","9","Floresta Atlântica de Planície Quaternária Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","1594","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; C. Fava","1993","01","20","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005271","CRI005271","602","Reserva Volta Velha.","9","9","Floresta Atlântica de Planície Quaternária Habitat: beira da trilha Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","1593","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","M. Sobral",NA,NA,NA,"R. Negrelle; et al.","1992","05","15","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005274","CRI005274","203","Reserva Volta Velha.","9","9","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","1598","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; et al.","1992","01","11","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005270","CRI005270","21","Reserva Volta Velha.","9","9","Floresta Atlântica de Planície Quaternária Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","1597","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","M. Sobral",NA,NA,NA,"R. Negrelle; et al.","1992","07","28","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005269","CRI005269","256","Reserva Volta Velha.","9","9","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:47-03","UNESC","CRI","1599","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.",NA,NA,NA,NA,NA,"1992","05","16","Brasil","Santa Catarina","Itapoá","-48.616667","-26.1175","48º37'0''W","26º7'3''S","CRI005267","CRI005267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:47-03","UNESC","CRI","1583","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","racemosa","Myrcia racemosa","(O.Berg) Kiaersk.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; et al.","1992","08","15","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI005560","CRI005560","312","Reserva Volta Velha.","9","9","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615980","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","acuminatissima","Myrcia acuminatissima","O.Berg",NA,NA,NA,NA,"S. A. Mori","1981","04","30","Brazil","Bahia","Una","-39.1202492","-15.1148921",NA,NA,"NY00615980","NY00615980_01","13855","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 50-B","100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709259' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02714695","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","acuminatissima","Myrcia acuminatissima","O.Berg","M. Sobral",NA,NA,NA,"A. M. V. de Carvalho","1995","01","14","Brazil","Bahia","Ilhéus","-39.0692","-14.7819",NA,NA,"NY02714695","NY02714695_01","5727","Cidade de Ilhéus. Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundão. Parcela n°41",NA,NA,"Site: ME <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623362' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02098477","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","acuminatissima","Myrcia acuminatissima","O.Berg","M. L. Kawasaki",NA,NA,NA,"W. W. Thomas","1988","02","24","Brazil","Espírito Santo","Guarapari","-40.48","-20.62",NA,NA,"NY02098477","NY02098477_01","6114","6 km N of Guarapari.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475584' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","615988","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","acuminatissima","Myrcia acuminatissima","O.Berg","M. Sobral",NA,NA,NA,"A. M. Amorim","1993","11","27","Brazil","Sergipe","Santa Luzia do Itanhi","-37.4481","-11.3508",NA,NA,"NY00615988","NY00615988_01","1466","Ca. 2.5 km do Distrito de Crasto, na estrada para Sta. Luzia do Itanhi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709229' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","615978","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","acuminatissima","Myrcia acuminatissima","O.Berg","M. Sobral",NA,NA,NA,"J. M. Silva","1996","02","01","Brazil","Paraná","Morretes","-48.800146","-25.465922",NA,NA,"NY00615978","NY00615978_01","1639","Manduíra",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709250' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
