"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","431776","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteria","patens","Banisteria patens","Griseb.","isotype","F. Sellow","5823","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431776","NY00431776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096284","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","anomala","Heteropterys anomala","A.Juss.",NA,"A. M. Amorim","3383","South America","Brazil","São Paulo",NA,"Munciípio de Picinguaba. Estrada da Casa da Farinha. Núcleo da Serra do Mar.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096284","NY01096284_01","A. M. Amorim","2000","05","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02098504","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","anomala","Heteropterys anomala","A.Juss.",NA,"L.A. Gomes","221","South America","Brazil","Sergipe",NA,"Capela, RVS Mata do Junco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2292180' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098504","NY02098504_01","L.A. Gomes","2011","11","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 18:47:00-03","NY","NYBG","02331696","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","anomala","Heteropterys anomala aurea","Nied.","syntype","G. Tessmann","4511","South America","Peru",NA,NA,"Mouth of Río Santiago, on high land","-77.639273","-4.434615","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2515720' target='other'> <mi>dwc_moreinfo</mi></a>","NY02331696","NY02331696_01",NA,NA,NA,NA,"aurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","475907","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","patens","Heteropterys patens acuminata","Nied.",NA,"A. Gehrt","8371","South America","Brazil","São Paulo",NA,"Serra Velha",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=322466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475907","NY00475907_01","F. J. Niedenzu","1923","05","08","acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","475762","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Heteropterys","patens","Heteropterys patens","(Griseb.) A.Juss.",NA,"A. F. M. Glaziou",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Collection number is only partially legible: [181.] possibly 18165. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=585034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475762","NY00475762_01","A. M. Amorim","1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-25 08:29:26-03","UNESP-IBB","BOTU","25632","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","anomala","Heteropterys anomala","A.Juss.",NA,"Melo, A.","72",NA,"Brasil","Pernambuco","Igarassu",NA,"-35.015556","-7.788333",NA,"Trepadeira, com botões florais marrons","BOTU025632",NA,"Alves-Araújo, A.","2007","06","16",NA,"2007","07","18","35°00'56w","7°47'18s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-25 08:29:26-03","UNESP-IBB","BOTU","25631","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","anomala","Heteropterys anomala","A.Juss.",NA,"Araújo, D.","389",NA,"Brasil","Pernambuco","Igarassu",NA,"-38.1375","-8.240278",NA,"Trepadeira, frutos alados amarelados quando imaturos","BOTU025631",NA,"Araújo, D.","2007","07","29",NA,"2007","08","14","38°08'15w","8°14'25s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:31:11-03","UFRJ","RFA","12596","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","patens","Heteropterys patens","(Griseb.) A.Juss.",NA,"P. Occhioni","5203",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque da cidade","-43.2075004577637","-22.9027996063232",NA,NA,"RFA44723",NA,"A. M. Amorim","1972","08","15",NA,"2003",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:11-03","UFRJ","RFA","14278","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","patens","Heteropterys patens","(Griseb.) A.Juss.",NA,"P. Occhioni","5722",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, Horto Botânico do Departamento","-43.2075004577637","-22.9027996063232",NA,"Volúvel, grande desenvolvimento, fruto imaturo","RFA44726",NA,"A. M. Amorim","1973","08",NA,NA,"2003",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
