"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","dayIdentified","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02330133","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","J. M. A. Braga","2583","1995","08","02","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Microparcela C","-44.65833","-22.35833","795","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2522650' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330133","NY02330133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:43-03","UPM","MACK","1495","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","M. Fascina","A194","2011","07","05",NA,"Brasil","SP","Campos do Jordão","Colônia Umuarama, trilha da samanbaia.floresta ombrófila mista","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"O. Aguiar","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:21:46-03","UFBA","ALCB","45908","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos Silva","França, F; Melo, E; Queiroz, LP de; Ganev, W","PCD1290","1995","07","09","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, caminho Boa Vista para Bicota","-37.516667","-11.55","1600",NA,"7,0 m. Folhas discolores, face abaxial verde-escuro brilhante. Botões vinosos com ápice esverdeado; 4 pétalas patentes brancas; filetes brancos.","ALCB060988",NA,"Nic Lughadha, E",NA,NA,"1998","11","-37.516667","-11.55","1600",NA,NA,NA
"4","2019-10-09 11:21:46-03","UFBA","ALCB","129597","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos Silva","Finotti; Holz, D; Ramos, E; Sanchez-Tapia, A","294","2012","09","11","Southern America","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha do Rancho Frio, indivíduo 147 da grade PROBIO II.","-43.002778","-22.771667","1100",NA,"Fuste 7. Altura: 14 m.; Floresta Ombrófila Densa Montana.","ALCB047197","ALCB047197","Souza, M",NA,NA,"2013","03","-43.002778","-22.771667","1100",NA,NA,NA
"5","2019-10-09 11:21:46-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos Silva","França, F; Melo, E; Queiroz, LP de; Ganev, W","PCD1290","1995","07","09","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, caminho Boa Vista para Bicota","-37.516667","-11.55","1600",NA,"7,0 m. Folhas discolores, face abaxial verde-escuro brilhante. Botões vinosos com ápice esverdeado; 4 pétalas patentes brancas; filetes brancos.",NA,NA,"Nic Lughadha, E",NA,NA,"1998","11","-37.516667","-11.55","1600",NA,NA,NA
"6","2019-10-09 11:21:46-03","UFBA","ALCB","129622","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos Silva","Souza, MC","262","2003","08","06","Southern America","Brasil","Rio de Janeiro","Itatiaia","Prque Nacional do Itatiaia. Na beira da estrada que vai para o planalto do Itatiaia.","-44.5633010864258","-22.4960994720459","2240",NA,"ca 4m de altura, com flores perfumadas.","ALCB047272","ALCB047272",NA,"19648","auto",NA,NA,NA,NA,"2240",NA,NA,NA
"7","2020-06-29 09:31:41-03","UFRRJ","RBR","45257","S","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","M.C. Souza; T. Silva, N.G. Antas","1095","2012","09","25",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque nacional do Itatiaia. Estrada para o planalto Km 10, lado direito da estrada para quem sobe.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"RBR00045257","RBR00045257",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:37:43-03","MBM","MBM","410144","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","Souza, M.C.","262","2003","08","06","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Na beira da estrada que vai para o Itatiaia.","-44.5633010864258","-22.4960994720459","2240",NA,"Arvoreta de 4 m de altura, com flores perfumadas.","MBM410144","MBM410144","Souza, M.C.","19648","auto","2003","12",NA,NA,"2240","05",NA,NA
"9","2020-10-01 14:24:23-03","JBB","HEPH","11424","S","Plantae","Dicotyledon","Myrtales","Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","Proença, CEB","495","1985","04","12","Southern America","Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"Proença, CEB","21048","auto","1985",NA,NA,NA,NA,NA,NA,NA
"10","2020-10-01 14:24:23-03","JBB","HEPH","11428","S","Plantae","Dicotyledon","Myrtales","Myrtaceae","Siphoneugena","kuhlmannii","Siphoneugena kuhlmannii","Mattos","Proença, CEB","499","1985","04","12","Southern America","Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,"Proença, CEB","21048","auto","1985",NA,NA,NA,NA,NA,NA,NA
