"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","386978","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","P. K. H. Dusén","7040","1908","11","03","South America","Brazil","Paraná","Morretes","Porto de Cima, in capueira","-48.87","-25.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386978","NY00386978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386980","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","G. G. Hatschbach","17493","1967","10","19","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.32","-25.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386980",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386976","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","L. B. Smith","G. G. Hatschbach","17493","1967","10","19","South America","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.32","-25.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409015' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386976","NY00386976_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","387197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","J. L. da Costa Lima","V. F. Ferreira","149","1977","10","17","South America","Brazil","Rio de Janeiro","Resende","Parque Nacional de Itatiaia, margem do Rio Campo Belo, perto do Lote 17","-44.61807","-22.433227","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387197","NY00387197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386951","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","G. G. Hatschbach","27684","1971","10","28","South America","Brazil","Paraná","Guaraqueçaba","Caminho ao Paruquara","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409007' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386951","NY00386951_01","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386979","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","O. A. Guimarães","A. C. Cervi","2028","1982","06","11","South America","Brazil","Paraná","Morretes","Serra Graciosa, Caminho dos Jesuitas","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386979","NY00386979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","386954","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","G. G. Hatschbach","19563","1968","08","07","South America","Brazil","Paraná","Morretes","Rio Mae Catira","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386954","NY00386954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386952","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","G. G. Hatschbach","43227","1980","10","23","South America","Brazil","Santa Catarina","Garuva","Garuva 3 km L","-48.8547","-26.0269","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386952","NY00386952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","386953","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","T. C. Plowman","P. E. Gibbs",NA,"1976","10","26","South America","Brazil","São Paulo","Sao Miguel Arcanjo","Ca 50 km S de Itapetininga, estrada de Registro","-47.99","-23.8703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386953","NY00386953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","386977","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","J. A. Kallunki","J. A. Kallunki","321","1993","01","18","South America","Brazil","Espírito Santo","Piúma","Roadside at base of Morro do Agá, ca. 5 km S of Piuma on Rod. ES-60","-40.77","-20.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386977","NY00386977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","387193","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","J. L. da Costa Lima","J. R. Pirani","1379","1985","11","20","South America","Brazil","São Paulo","Campos do Jordao","Campos do Jordao: Parque Estadual, ca. 2000m alt., caminho para Sao José dos Alpes","-45.59","-22.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=306398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387193","NY00387193_01","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02330168","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.",NA,"J. M. A. Braga","2944","1995","11","06","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha para a Cachoeira Poranga.","-44.65833","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523130' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330168","NY02330168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","386955","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum hymenophyllum","O.E.Schulz","T. C. Plowman","P. K. H. Dusén","16142","1914","12","18","South America","Brazil","Paraná","Ipiranga","Serra do Mar, Desvio Ypiranga in silva prim 700 m.s.m","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386955","NY00386955_01",NA,NA,"hymenophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","386955","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum hymenophyllum","O.E.Schulz","T. C. Plowman","P. K. H. Dusén","16142","1914","12","18","South America","Brazil","Paraná","Ipiranga","Serra do Mar, Desvio Ypiranga in silva prim 700 m.s.m","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386955","NY00386955_01",NA,NA,"hymenophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 09:29:14-03","UNESP-IBB","BOTU","20720","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum","Peyr.","Amaral Jr., A.","Catharino, E.L.M.",NA,"1986","02","02",NA,"Brasil","São Paulo","Iguape",NA,NA,NA,NA,"Arvoreta de 4 m de altura","BOTU020720",NA,NA,NA,NA,"1996","12","20","9999","9999",NA,NA,NA,NA,NA,NA
