"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","day","minimumElevationInMeters","stateProvince","decimalLongitude","decimalLatitude","maximumElevationInMeters","class","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","imagecode","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","4033467","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","R. V. Sherring","s.n.","1886","04","South America","Trinidad and Tobago","Trinidad.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337995' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4033491","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. H. Smith","995","1898",NA,"South America","Colombia","Santa Marta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338019' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4033486","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. H. Smith","995","1898",NA,"South America","Colombia","Santa Marta.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338014' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4033484","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. H. Smith","995","1899","01","South America","Colombia","Santa Marta. On the Agua Dulce Road.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338012' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033484","07","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4033469","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","W. E. Broadway","s.n.","1916","12","South America","Trinidad and Tobago",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337997' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033469",NA,NA,"Tobago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4033494","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. K. Svenson","11489","1941","04","South America","Ecuador","Manglaralto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338022' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033494","12",NA,"Guayas","-80.73","-1.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4033471","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","W. E. Broadway","s.n.","1919","08","South America","Trinidad and Tobago","Trinidad. Manzanilla","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337999' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4033490","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. H. Smith","995","1899","05","South America","Colombia","Santa Marta. Don Diego.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338018' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033490","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4033489","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","H. H. Smith","995","1899","01","South America","Colombia","Santa Marta. The Agua Dulce Road.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338017' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033489","07","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4033479","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","tetragona","Thelypteris tetragona","(Sw.) Small","R. P. Stevens","s.n.","1869",NA,"South America","Venezuela","In Venezuela orientali.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4338007' target='other'> <mi>dwc_moreinfo</mi></a>","NY04033479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
