"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:26:05-03","UNESC","CRI","10204","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","M. G. Caxambu","2010","01","25","M. G. Caxambu; E.L. Siqueira","2838","2009","10","18","Brasil","Paraná","Turvo","Arredores.","-51.52245","-25.036883","51º31'347''W","25º2'213''S","1037","1037","Floresta Ombrófila Mista Montana","CRI009705","CRI009705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","107429","PreservedSpecimen","Plantae","Salicaceae","Hisingera","ciliatifolia","Hisingera ciliatifolia","Clos","H. O. Sleumer",NA,NA,NA,"G. Gardner","1450","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00107429","NY00107429_01","Magnoliophyta","Malpighiales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00897411","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","H. O. Sleumer",NA,NA,NA,"N. T. da Silva","57776","1963","11","11","Brazil","Maranhão",NA,"1.384 km de Anápolis, R. Tocantins [Goiás]",NA,NA,NA,NA,"235","235","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897411","NY00897411_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375947","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","W. Hoehne",NA,NA,NA,"W. Hoehne","s.n.","1946","09","02","Brazil","São Paulo","Sao Paulo","Sao Paulo, Parque do Estado de Sao Paulo","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375947","NY00375947_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375939","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","H. O. Sleumer",NA,NA,NA,"J. C. Lindeman","5481","1967","06","20","Brazil","Paraná","Marechal Cândido Rondon","2 km S. of Pôrto Mendes","-54.0567","-24.5561",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375939","NY00375939_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375934","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","G. G. Hatschbach",NA,NA,NA,"L. R. Landrum","2252","1977","10","31","Brazil","Paraná","Piraquara","Manancias da Serra","-49","-25.5",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375934","NY00375934_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375940","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","G. G. Hatschbach",NA,NA,NA,"R. Kummrow","2810","1986","09","09","Brazil","Paraná","Balsa Nova","S. Luiz do Puruna","-49.6356","-25.5842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375940","NY00375940_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375938","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","H. O. Sleumer",NA,NA,NA,"J. C. Lindeman","2111","1966","08","08","Brazil","Paraná","Cerro Azul","Vicinity of Cêrro Azul","-49.2608","-24.8236",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375938","NY00375938_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897416","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler",NA,NA,NA,NA,"A. Amaral","274","1998","10","17","Brazil","Mato Grosso do Sul","Anaurilândia","Rio Paraná, ilha a montante da Barragem de Porto Primavera.","-52.8653","-22.3678",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897416","NY00897416_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","375950","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","H. O. Sleumer",NA,NA,NA,"P. K. H. Dusén","13345","1911","11","13","Brazil","Paraná","Pinhais","Pinhaes","-49.157618","-25.419851",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375950","NY00375950_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","375936","PreservedSpecimen","Plantae","Salicaceae","Xylosma","ciliatifolia","Xylosma ciliatifolia","(Clos) Eichler","H. O. Sleumer",NA,NA,NA,"G. Jönsson",NA,"1914","09","24","Brazil","Paraná","Almirante Tamandaré","Tamandaré","-49.290126","-25.310726",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375936","NY00375936_01 NY00375936_02","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
