"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","497049","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin","S. M. Andrews","G. G. Hatschbach","61722","1995","02","17","South America","Brazil","Santa Catarina","Urubici","Corvo Branco","-49.5917","-28.015","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497049","NY00497049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777965","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin","P. S. L. G. Hoffmann; C. T. Blum","E. P. dos Santos","593","1998","11","13","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.97","-25.87","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777965","NY00777965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","497052","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin","G. Edwin","G. G. Hatschbach","20943","1969","01","29","South America","Brazil","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari, 2 km ao Oeste","-49.115","-25.2061",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497052","NY00497052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","497051","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin",NA,"G. G. Hatschbach","44450","1981","12","03","South America","Brazil","Paraná","Palmeira","Fda. Sta. Rita","-50.0064","-25.4294",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497051","NY00497051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","497050","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin","S. Atkins","C. V. Roderjan","1116","1993","12","07","South America","Brazil","Paraná","Quatro Barras","Morro Anhangava","-49.0767","-25.3658","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497050","NY00497050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497134","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","taubertiana","Ilex taubertiana","Loes.",NA,"C. V. Roderjan","1116","1993","12","07","South America","Brazil","Paraná","Quatro Barras","Morro Anhangava","-49.07","-25.35","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497134","NY00497134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","573439","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","taubertiana","Ilex taubertiana","Loes.","M. Groppo, Jr.","P. Fiaschi","522","2000","12","07","South America","Brazil","São Paulo","Campos do Jordao","Estrada de acesso para o Pico do Itapeva","-45.52","-22.75","1870","1870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573439","NY00573439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685165","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","taubertiana","Ilex taubertiana","Loes.",NA,"P. C. Porto","839","1918",NA,NA,"South America","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685165","NY00685165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","27067","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","kleinii","Ilex kleinii","Edwin","Hoffmann, P.","Santos, E.P.","593","1998","11","13",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos",NA,NA,NA,NA,NA,NA,"BOTU027067","BOTU027067","1999","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:26-03","UTFPR","DVPR","3159","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","taubertiana","Ilex taubertiana","Loes","Brotto, ML","Brotto, ML; Prado, S","1824","2014","11","04",NA,"Brasil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.4244","-24.5114","890","890",NA,"Árvore 15 m, flores brancas.; Floresta Ombrófila Densa Montana","DVPR003159",NA,"2014","-48.4244","-24.5114","11","13",NA,NA,NA,NA,NA,NA,NA,NA
