"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","class","individualCount"
"1","2020-09-23 10:41:26-03","E","E","82985","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","Hatschbach, G. & Silva, J.M.","58524","1993","01","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91401","<a href=http://data.rbge.org.uk/herb/E00082985 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03561827","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. S. Passos","4","2016","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3854103' target='other'> <mi>dwc_moreinfo</mi></a>","NY03561827","Magnoliophyta","Myrtales","Cham.","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refugio vegetacional altomontano.","-48.762778","-25.257778","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02578579","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","R. Goldenberg","2223","2015","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2836378' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578579","Magnoliophyta","Myrtales","Cham.","Paraná",NA,"Antonina; Área da Parigot de Souza, Cota 800","-48.778567","-25.257436","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03561818","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. S. Passos","3","2016","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3854056' target='other'> <mi>dwc_moreinfo</mi></a>","NY03561818","Magnoliophyta","Myrtales","Cham.","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refúgio vegetacional altomontano.","-48.762778","-25.257778","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477659","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","A. C. Brade","5969","1913","02","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477659","Magnoliophyta","Myrtales","Cham.","São Paulo","Santo André","Alto da Serra","-46.5297","-23.66",NA,NA,"F. C. Hoehne","NY00477659_01 NY00477659_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02680507","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","G. O. Romão","639","2001","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2947863' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680507","Magnoliophyta","Myrtales","Cham.","São Paulo",NA,"São Paulo, parque estadual da Serra do Mar, Núcleo Curucutu, Floresta ribeirinha ao longo do rio Mambu","-46.7667","-23.9833","750","750","T. Bochorny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","477655","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477655","Magnoliophyta","Myrtales","Cham.",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,"NY00477655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03561817","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. S. Passos","2","2016","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3854055' target='other'> <mi>dwc_moreinfo</mi></a>","NY03561817","Magnoliophyta","Myrtales","Cham.","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refugio vegetacional altomontano.","-48.762778","-25.257778","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","477656","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477656","Magnoliophyta","Myrtales","Cham.",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,"NY00477656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","477658","PreservedSpecimen","Plantae","Melastomataceae","Behuria","insignis","Behuria insignis","L. B. Smith","1834","1929","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477658","Magnoliophyta","Myrtales","Cham.","São Paulo","Santo André","Estaçao Biologica, Alto da Serra","-46.32","-23.78","800","900",NA,"NY00477658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
