"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","year","county","decimalLongitude","decimalLatitude","imagecode","month","day","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","428153","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance","paratype","C. A. W. Schwacke","10235","South America","Brazil","Minas Gerais","Serra de Ouro Preto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","428152","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance","holotype","F. C. Hoehne","17197","South America","Brazil","São Paulo","Alto da Serra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428152","1925","Ribeirao Pires","-46.4097","-23.71","NY00428152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1280608","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"H. C. de Lima","5516","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima. Rio das Flores, trilha para o Pirineus, entre Pirineus e o Vale do rio das Flores.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614561' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280608","1997","Nova Friburgo","-42.5308","-22.2819","NY01280608_01","12","13","1250","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378092","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"G. Martinelli","11935","South America","Brazil","Rio de Janeiro","Macaé de cima, cabeceira do Rio das Flores","sheet","Frutos p/carpoteca; mostra de madeira para xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378092","1986","Nova Friburgo","-42.5308","-22.2819",NA,"11","26","1100","1100","E. C. Dalein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","428151","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance","photo of type","W. J. Burchell","369a","South America","Brazil",NA,"Brasilia","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","378093","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"M. Kuhlmann","3174","South America","Brazil","São Paulo","Paranapiacaba","sheet","Instituto de Botanica, Sao Paulo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378093","1951","Bertioga","-46.29971","-23.777841",NA,"06","06",NA,NA,"G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378714","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"G. Martinelli","11935","South America","Brazil","Rio de Janeiro","Macaé de cima, cabeceira do Rio das Flores","sheet","Frutos p/carpoteca; mostra de madeira para xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721049' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378714","1986","Nova Friburgo","-42.5308","-22.2819",NA,"11","26","1100","1100","E. C. Dalein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","378094","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"C. Farney","1218","South America","Brazil","Rio de Janeiro","Reserva Biológica de Macaé de Cima, Sítio do Sr. David Muller, Mata primaria próxima ao Rio das Flores","sheet","Jardim Botanico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378094","1986","Nova Friburgo","-42.5308","-22.2819",NA,"09","18","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","378095","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"M. A. Nadruz Coelho","549","South America","Brazil","Rio de Janeiro","Reserva Ecológica Municipal de Macaé de Cima, Picada para Pedra Bicuda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=721052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378095","1989","Nova Friburgo","-42.05","-22",NA,"12","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:22-03","UFRJ","RFA","31244","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","venosa","Couepia venosa","Prance",NA,"M.A. Louzada; J.C. Gomes","s.n.",NA,"Brasil","Rio de Janeiro",NA,NA,"Coletas da amostragem fitossociológica. Parcela P3; Ind.: 74","RFA37184","2002","Angra dos Reis","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,NA,"C.M. Vieira","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
