"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","individualCount","phylum","class","order","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","geoFlag"
"1","2012-07-30 12:21:00-03","MO","MOBOT","3201668","PreservedSpecimen","Plantae","Fabaceae","Dahlstedtia","castaneifolia","Dahlstedtia castaneifolia","(M.J. Silva & A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo","Isotype","Gert G. Hatschbach","Hatschbach 44148","1981","10","11","South America","Brazil","Bahia","Rod. BR-242, 10 km L de Ibotirama.","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-05-08 11:12:13-03","UEFS","HUEFS","118174","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Dahlstedtia","castaneifolia","Dahlstedtia castaneifolia","(MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA,"Queiroz, L.P.de","12677","2007","04","10",NA,"Brasil","Bahia","Ca, 27 Km S de S. Félix do Coribe na estrada para Jaborandi.",NA,"Angiospermae","Rosanae","Fabales","L.P.de Queiroz","2012","09","Coribe","-44.32","-13.586111","44W19'12''","13S35'10''","545","545","Floresta estacional.","HUEFS0118174",NA,NA
"3","2020-05-08 11:12:13-03","UEFS","HUEFS","34258","PreservedSpecimen","Plantae","Leguminosae Subfam. Papilionoideae","Dahlstedtia","castaneifolia","Dahlstedtia castaneifolia","(MJ.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo",NA,"Hatschbach, G.","67608","1998","03","11",NA,"Brasil","Bahia","Serra Geral, Serra do brejo Grande.",NA,"Angiospermae","Rosanae","Fabales","L.P.de Queiroz","2012","09","Boquira","-42.730598449707","-12.8231000900269",NA,NA,NA,NA,"mata degradada da base do morro.","HUEFS0034258","36950","auto"
