"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","typeStatus","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02104345","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","T. D. Pennington","A. V. de Melo Silva","525","2010","10","05","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. Trilha próxima do alojamento.","-36.425","-9.245","773","773","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551731' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104345","NY02104345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","472400","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","J. G. Jardim","M. B. Thomas","MT585","1998","09","14","South America","Brazil","Bahia","Porto Seguro","Pataxó Indigena Reserva, 6 km W of Barra Velha along boundary of Monte Pascoal National Park. House of Ovídio Vieira. [Monte Pascoal National Park]","-39.15","-16.85","80","80","sheet","Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472400","NY00472400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375796","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","T. D. Pennington","W. A. Ducke","2295","1952","01","19","South America","Brazil","Pernambuco","Recife","Recife, Brejo de Macacos, mata alta","-34.8808","-8.0542",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375796","NY00375796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2862040","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","A. Alves-Araújo","W. W. Thomas","8724",NA,NA,NA,"South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231",NA,NA,"sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395835' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862040","NY02862040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375788","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.",NA,"C. B. V. Soares",NA,"1992","08","23","South America","Brazil","Rio de Janeiro","Teresópolis","Tersopolis [=Teresopolis?], Bairro Albuquerque","-42.9656","-22.4122",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375788","NY00375788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:19:00-03","NY","NYBG","375800","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens",NA,NA,"G. Tessmann","5459","1925","10",NA,"South America","Peru",NA,NA,"Yarina cocha",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375794","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","T. D. Pennington","A. M. Amorim","626","1992","08","24","South America","Brazil","Bahia","Uruçuca","Estrada que liga Uruçuca ao Distrito de Serra Grande. Coletas efetuadas 30.7km a partir da sede do municipio","-39.2842","-14.5933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375794","NY00375794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375790","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.",NA,"R. M. Harley","18203","1977","01","23","South America","Brazil","Bahia",NA,"Coastal zone. 20 Km North along road from Una to Ilhéus","-39.03","-15.18",NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375790","NY00375790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375793","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","T. D. Pennington","S. A. Mori","12091","1979","07","05","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga rodovia que liga a Estaçao Ecológica do Pau-brasil a Sta. Cruz, 5-7 km ao NE da Estaçao. Ca. 12 km ao NW de Porto Seguro","-39.13","-16.38","80","100","sheet","Fotos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395817' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375793","NY00375793_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01240714","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","lactescens","Pradosia lactescens","(Vell.) Radlk.","M. H. Terra-Araújo","M. M. M. Lopes","1244","2007","04","19","South America","Brazil","Bahia","Almadina","Serra do Corcovado. 9,8 km ao SW de Coarací na estrada para Almadina, daí N ate a Fazenda São José. Proprietario Senhor Francisco. Parte alta da enconsta","-39.6033","-14.7058","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240714","NY01240714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
