"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00896108","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","affinis","Marlierea affinis","(O.Berg) D.Legrand","M. Sobral","M. M. M. Lopes","360","2005","11","22","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Propietário Senhor Francisco.","-39.6033","-14.7058","650","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896108","NY00896108_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02098189","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","affinis","Marlierea affinis","(O.Berg) D.Legrand","L. R. Landrum","J. L. Paixão","702","2006","02","19","South America","Brazil","Bahia","Una","Reserva Biológica de Una (Rebio de Una). Entrada no km 46 da rodovia. BA-001 Ilhéus/Una","-39.0692","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1476265' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098189","NY02098189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908438","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","J. C. Lindeman","J. C. Lindeman","3813","1967","01","01","South America","Brazil","Paraná",NA,"Near top of Morro do Boi, granitc peninsula near Caiobá",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908438","NY00908438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615504","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","C. M. D. E. Legrand","R. M. Klein","60","1950","01","20","South America","Brazil","Santa Catarina","Brusque","Mata S. Pedro; Brusque","-48.93331","-27.068261","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615504","NY00615504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","719857","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.",NA,"F. Búgola-Silva","8201","2008","06","05","South America","Brazil","São Paulo","Santo André","Parque Andreense, Clube Campista da Mercedes","-46.461047","-23.783147",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719857","NY00719857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615505","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","C. M. D. E. Legrand","R. M. Klein","53","1949","08","11","South America","Brazil","Santa Catarina","Brusque","Mata do Hoffman, Brusque","-48.9","-27.1","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615505","NY00615505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615503","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","C. M. D. E. Legrand","G. G. Hatschbach","13407","1966","01","04","South America","Brazil","Paraná",NA,"Prainhas near Morretes",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615503","NY00615503_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02499410","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","V. G. Staggemeier","W. W. Thomas","9040","1992","05","01","South America","Brazil","Bahia","Ilhéus","Road from Olivença to Maruim, 6.1 km W of Olivença. Forest on N side of road","-39.05","-14.98",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=623506' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499410","NY02499410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","823241","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","M. L. Kawasaki","J. G. Jardim","2267","1999","08","27","South America","Brazil","Bahia","Una","Reserva Biológica (IBAMA). Entrada ca. 46 km da BR-001 Ilhéus/Una. Área de plantio de caucau-cabruca, limite L da Reserva e Tirlhas percorrida pelo mino-leão-de-cara-dourada.","-39.05","-15.18",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823241","NY00823241_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615502","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","M. Sobral","G. G. Hatschbach","50772","1986","11","10","South America","Brazil","Espírito Santo","Linhares","Lagoa Juparaná","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615502","NY00615502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01067162","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","M. Sobral","S. A. Mori","13977","1981","05","13","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 112-A","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067162","NY01067162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","533247","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","M. L. Kawasaki","M. C. H. Mamede","542","1993","06","26","South America","Brazil","São Paulo",NA,"Iguape, estaçao ecológica Juréia-Itatins, Serra da Juréia, mata no alto da Cachoeira do Salto.","-47.25","-24.55",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533247","NY00533247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01067164","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","M. Sobral","S. A. Mori","14033","1981","05","14","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 147-A","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205818' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067164","NY01067164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","615506","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.",NA,"A. F. M. Glaziou","17668","1889","02","03","South America","Brazil","Rio de Janeiro","Nova Friburgo","Alto Macahé","-42.5308","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615506","NY00615506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","615556","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","vellozoi","Myrcia vellozoi","Mazine",NA,"R. Reitz","3043","1956","04","05","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615556","NY00615556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","25024","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.","Kawasaki, M.L.","Furlan, A.","A-M 1","1998","10","20",NA,"Brasil","São Paulo","São Paulo","Clube SESC-Interlagos- Região Metropolitana de São Paulo",NA,NA,NA,NA,NA,NA,"BOTU025024",NA,"1998","11","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:45:56-03","EAO","IAN","93754","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Marlierea","cannifolia","Marlierea cannifolia","Berg",NA,"Glaziou, AFM","11996",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN093754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-01-20 14:40:43-03","UPM","MACK","926","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","(Vell.) Kiaersk.",NA,"Camila; Eduardo; Rodrigo","s/n","2010","07","19",NA,"Brasil","SP","Peruíbe","Restinga alta.","-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA,NA
