"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2021-04-05 14:24:48-03","UNESC","CRI","4712","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Elaine","1996","08","17","Nair; et al.","1991","09","16","Brasil","Santa Catarina","Criciúma","B. Santa Augusta.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI000360","CRI000360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","4074","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Vanilde Citadini- Zanette","1996","09","01","V. P. Boff","1995","08","08","Brasil","Santa Catarina","Curitibanos",NA,"-50.584722","-27.283056","50º35'5''W","27º16'59''S","900","900","CRI000357","CRI000357","113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","1396","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Alessandra de Faveri",NA,NA,NA,"A. de Faveri","1992","11","28","Brasil","Santa Catarina","Araranguá",NA,"-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13","CRI000353","CRI000353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:48-03","UNESC","CRI","484","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Fátima E. Marcomin",NA,NA,NA,"Fátima E. Marcomin","1990","02","05","Brasil","Santa Catarina","Tubarão",NA,"-49.007222","-28.467222","49º0'26''W","28º28'2''S","80","80","CRI000356","CRI000356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","5408","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Vanilde Citadini- Zanette",NA,NA,NA,"M. Rebelo","1996","09","17","Brasil","Santa Catarina","Jaguaruna","Praça Joaquim.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","44","44","CRI000355","CRI000355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","519","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Margarete Florentino","1990","11","05","M. Florentino","1990","11","05","Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46","CRI000358","CRI000358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4197257","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"O. L. Orozco","2000","04","18","Peru","Cajamarca","Cajamarca","Jesús District. Municipal nursery.","-78.3761","-7.2475",NA,NA,"2500","2500","NY04197257",NA,"116","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522872' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4197249","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"I. G. Vargas Caballero","1989","09","10","Bolivia","Santa Cruz","Vallegrande","Huasacanada.","-64.0975","-18.5317",NA,NA,"2050",NA,"NY04197249",NA,"326","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522864' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1335839","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"W. E. Broadway","1909","10","02","Trinidad and Tobago",NA,NA,"Highmoor. Near Scarborough. Tobago.",NA,NA,NA,NA,NA,NA,"NY01335839","NY01335839_01 NY01335839_02","3048","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1581176' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","04197247","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"M. Mendoza F.","2002","03","02","Bolivia","Santa Cruz","Andrés Ibáñez","Andres Ibanez - Santa Cruz. Ciudad de Santa Cruz, entre tercer y cuarto amillo, interior de Zoologico municipal","-63.1714","-21.8781",NA,NA,"612",NA,"NY04197247",NA,"172","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522862' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4197251","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"M. Saldías Paz","1988","12","31","Bolivia","Santa Cruz","Vallegrande","Huasacañada, 5 km S de la ciudad de Vallegrande","-64.08","-18.52",NA,NA,"2050",NA,"NY04197251",NA,"564","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522866' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4197248","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"I. G. Vargas Caballero","1989","09","10","Bolivia","Santa Cruz","Vallegrande","Huasacanada.","-64.0975","-18.5317",NA,NA,"2050",NA,"NY04197248",NA,"325","Magnoliophyta","Gentianales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4522863' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","19458","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"Grombone, M.T.","1986","01","15","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,NA,"BOTU019458","BOTU019458","9150186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","20541","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.",NA,NA,NA,NA,"Miranda, L.C.","1996","06","04","Brasil","São Paulo","Bauru",NA,NA,NA,"9999","9999",NA,NA,"BOTU020541","BOTU020541","185",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> espirradeira",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","296","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Auada, C.","1971","10","30","Auada, C.","1971","10","23","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999","900","900","BOTU000296","BOTU000296","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","2305","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Galeno, A. D. O.","2014","07","30","Galeno, A. D. O.","2014","07","30","Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"HDELTA002305",NA,"1",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Espirradeira",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","2430","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Meira, C. V. F.","2013","12","09","Meira, C. V. F. ; Raissa, George","2013","12","09","Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"HDELTA002430",NA,"05",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Espirradeira",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","2470","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Vieira, I. R.","2017","01","10","Costa, M.O.","2014","02","02","Brasil","Píauí",NA,NA,NA,NA,NA,NA,NA,NA,"HDELTA002470",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","2310","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Carvalho, L. A.","2013","04","05","Carvalho, L. A.","2013","04","05","Brasil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"HDELTA002310",NA,"4",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Espirradeira",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-06 11:41:54-03","UFPI-MRV","HDELTA","4973","PreservedSpecimen","Plantae","Apocynaceae","Nerium","oleander","Nerium oleander","L.","Vieira-Filho, M.A.M.","2015","05","25","Vieira-Filho, M.A.M.; Lima, G.A.; Lemos, J.R.","2015","05","23","Brasil","Piauí","Luís Correia","Curral Velho (Centro)","-41.6669006347656","-2.87916994094849",NA,NA,NA,NA,"HDELTA004973",NA,"35",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Espirradeira","59685","auto",NA,NA,NA,NA,NA,NA
