"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","869528","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","D. C. Daly","D. C. Daly","6739","1991","05","27","South America","Brazil","Acre","Brasiléia","Seringal Porongaba, Colocaçào Sào José","-68.8","-10.85","sheet","inventory tree no. 386 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869528","NY00869528_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1416107","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","D. C. Daly","C. A. Cid Ferreira","10193","1991","08","21","South America","Brazil","Acre","Brasiléia","Estrada para Assis Brasil, ramal 19, Colônia Nova Vida, a 21 Km de brasiléia.","-68.83","-10.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575399' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416107",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","869529","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","D. C. Daly","D. C. Daly","6989","1991","10","29","South America","Brazil","Acre","Brasiléia","Serringal Porongaba, Colocaçao Sao José, 25km N of km 4 of Brasiléia-Assis Brasil road.","-68.75","-10.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869529","NY00869529_01 NY00869529_02",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","677530","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly",NA,"D. C. Daly","11917","2003","05","19","South America","Brazil","Acre","Brasiléia","Bom Futuro, Associaçao Chico Mendes, km 52 of Brasiléia-Assis Brasil road, 18 km on Ramal (side road) Tocandeira.","-69.0486","-10.7531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00677530","NY00677530_01","isotype",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","677531","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly",NA,"D. C. Daly","11921","2003","05","19","South America","Brazil","Acre","Brasiléia","Bom Futuro, Associaçao Chico Mendes, km 52 of Brasiléia-Assis Brasil road, 18 km on Ramal (side road) Tocandeira.","-69.0486","-10.7531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00677531","NY00677531_01 NY00677531_02",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1416106","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","D. C. Daly","D. C. Daly","6747","1991","05","28","South America","Brazil","Acre","Brasiléia","Seringal Porongaba, Colocaçào Sào José","-68.8","-10.85","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575403' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416106",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","869527","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","D. C. Daly","R. Saraiva","1516","1992","04","15","South America","Brazil","Acre","Brasiléia","Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 1, M342.","-72.7","-9.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869527","NY00869527_01",NA,NA,NA,NA,NA,NA
"8","2016-01-27 12:02:00-02","MO","MOBOT","2991146","PreservedSpecimen","Plantae",NA,NA,"Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly",NA,"Douglas C. Daly|E.C. de Oliveira|T. M. Menezes|M.A.A. Pereira","Daly 11917","2003","5","19","South America","Brazil","Acre",NA,"Mun. Brasiléia: Bom Futuro, Associacão Chico Mendes, km 52 of Brasiléia-Assis Brasil road, 18 km on ramal (side road0 Tocandeira. Dirt road through mostly primary forest on undulating terrain, terra firme.","-69.0486111","-10.7530556",NA,NA,NA,NA,"Isotype","1",NA,NA,NA,NA
"9","2020-08-31 09:08:56-03","INPA","INPA","162271","S","Plantae","Dicotyledon Com-Clade","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","Daly, DC","Ferreira, CAC","10193","1991","08","21","Southern America","Brasil","Acre","Brasiléia","BR 317, Estrada para Assis Brasil, ramal 19, Colônia Nova Vida, a 21 km de Brasiléia","-68.683923","-10.963154",NA,NA,"INPA0162271","INPA0162271 INPA0162271_e INPA0162271_e1",NA,NA,"2003","-68.683923","-10.963154",NA
"10","2020-08-31 09:08:56-03","INPA","INPA","173855","S","Plantae","Dicotyledon Com-Clade","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly","Daly, DC","Daly, DC","6739","1991","05","27","Southern America","Brasil","Acre","Brasiléia","Seringal Porongaba Colocação São José","-68.8","-10.85",NA,NA,"INPA0173855","INPA0173855 INPA0173855_e",NA,NA,"2003","-68.8","-10.85","10"
"11","2020-08-31 09:08:56-03","INPA","INPA","173863","S","Plantae","Dicotyledon Com-Clade","Sapindales","Burseraceae","Dacryodes","edilsonii","Dacryodes edilsonii","Daly",NA,"Daly, DC","6747","1991","05","28","Southern America","Brasil","Acre","Brasiléia","Seringal Porongaba Colocação São José","-68.8","-10.85",NA,NA,"INPA0173863","INPA0173863 INPA0173863_e",NA,NA,NA,"-68.8","-10.85",NA
