"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","730","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Ludovic Kollmann; David Couto","2009","06","05","Brasil","Espírito Santo","Alegre","Início da rampa de subida da Caveira da Anta","-41.5331001281738","-20.763599395752","41°23,03'","20°39,17'","26101","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3425","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","Machado, T.M.","2010","10","Machado,T.M.; Stehmann, J.R.; Martins da Costa, I","2010","10","24","Brasil","Minas Gerais","Alto Caparaó","Vale Verde","-41.8683013916016","-20.4333000183105","41° 50'34,9","20°25' 11,2","21645","1","254","auto","24","200","1416","1416",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015446","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","F. B. Matos",NA,NA,"P. H. Labiak E.","2007","07","18","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.0972","-20.5211",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105681' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"4228","1100","1700","South America","sheet","NY01015446","NY01015446_01",NA,NA
"4","2020-06-29 11:29:40-03","UFRJ","RFA","30928","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","A.P.G. de Faria","2002","09","A.P.G. de Faria; T. Wendt; G.K Brown; D.M.C. Santos; L.F.G. da Silva; R.A. Kautsky","2002","09","30","Brasil","Espírito Santo","Domingos Martins","Coleção particular de Roberto A. Kautsky","-40.6591987609863","-20.3633003234863",NA,NA,"48150",NA,"Inflorescência passada, escapo verde, brácteas escapais e florais paleáceas. Ovário verde, sépalas alaranjadas","auto","30","83",NA,NA,NA,NA,"RFA51283",NA,NA,NA
"5","2020-06-29 11:29:40-03","UFRJ","RFA","28287","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","A.P.G. de Faria","2003","10","A.P.G. de Faria","2003","10","15","Brasil","Rio de Janeiro","Rio de Janeiro","Casa de Vegetação do departamento de Botãnica da UFRJ","-43.2075004577637","-22.9027996063232",NA,NA,"57442",NA,"Escapo verde. Brácteas escapal paleácea. Bráctea floral paleácea. Ovário verde. Sépalas alaranjadas","auto","15","184",NA,NA,NA,NA,"RFA51288",NA,NA,NA
"6","2019-11-21 14:32:50-03","UFJF","CESJ","22568","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M. Vieira","V.R. Almeida","2006","01","L. Krieger","1988","09","18","Brasil","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,NA,NA,NA,NA,"Na mata ciliar, epífita, flores terminais ou saindo lateralmente. Brácteas e flores vermelhas.",NA,"20","CESJ22568",NA,NA,"América do Sul",NA,"CESJ022568","CESJ022568",NA,NA
"7","2019-11-21 14:32:50-03","UFJF","CESJ","68117","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M. Vieira",NA,NA,NA,"S.G. Furtado; L. Menini Neto; K. Antunes; F.R.G. Salimena; P.H. Nobre; B. Cosenza; T.H.G. Alv","2016","08","05","Brasil","Espírito Santo","Irupi","Parque Nacional do Caparaó, Floresta ciliar, Rio Pedregulho","-42.456389","-20.725833","-42.456389","-20.725833",NA,NA,"Epífita e saxícola. Brácteas róseas a avermelhadas e pétalas róseas a roxas.",NA,NA,"341",NA,NA,"América do Sul",NA,"CESJ068117",NA,NA,NA
"8","2020-04-27 16:09:06-03","UFES","VIES","30905","S","Plantae",NA,NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","Zorzanelli, J.P.F.","2012","09","Zorzanelli, J.P.F.; Zorzanelli, R.F. & Castro, K.C.","2012","09","13","Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,"auto","13","556","1381","1381",NA,NA,"VIES030905","VIES030905",NA,NA
"9","2020-04-27 16:09:06-03","UFES","VIES","21646","S","Plantae",NA,NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","Couto, D.R.","2011","08","Zorzanelli, J.P.F.; Carvalho Filho, J.H.","2011","08","28","Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803",NA,NA,"32198",NA,NA,"auto","30","93",NA,NA,NA,NA,"VIES021646","VIES021646",NA,NA
"10","2020-04-27 16:09:06-03","UFES","VIES","26317","S","Plantae",NA,NA,"Bromeliaceae","Quesnelia","kautskyi","Quesnelia kautskyi","C.M.Vieira","Vieira, C.M.","2002","07","Martinelli, G.; Heron, L.; Kautsky, R. & Azoury, R.","1999","08","11","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818",NA,NA,"32447",NA,NA,"auto","09","15667",NA,NA,NA,NA,"VIES026317","VIES026317",NA,NA
