"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified"
"1","2021-03-01 16:18:46-03","UNICAMP","UEC","133772","S","Plantae","Liliopsida","Alstroemeriaceae","Alstroemeria","capixaba","Alstroemeria capixaba","M.C.Assis","Assis, MC","isotypus","Assis, MC; Mello-Silva, R; Kollmann, L; Stanard, B; Lughadha, EN","569","1999","02","12","Brazil","Espírito Santo","Santa Teresa","São João de Petrópolis, na Escola Agrotécnica Federal, na mata atrás da pocílga.","-40.6002998352051","-19.9356002807617","23813","Planta estéril em mata submontana; entre rochas em solo arenoso com serapilheira.","UEC055671","UEC055671","auto",NA,NA,NA,NA
"2","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","6026",NA,"Plantae",NA,"Alstroemeriaceae","Alstroemeria","capixaba","Alstroemeria capixaba","M. C. Assis","M. C. Assis/X-2001(SPF)",NA,"W. Boone","1379","1990","07",NA,"Brasil","Espírito Santo","Santa Teresa","25 de Julho","-40.604167","-19.780556",NA,"Erva rupícola. Local sombreado e úmido. Flor avermelhada, único exemplar.","MBML006026","MBML006026",NA,"40W36'15","19S46'50",NA,NA
"3","2019-11-13 11:14:06-03","USP","SPF","135610","PreservedSpecimen","Plantae",NA,"Alstroemeriaceae","Alstroemeria","capixaba","Alstroemeria capixaba","M.C.Assis",NA,"holotype","Assis, MC; Mello-Silva, R; Kollmann, L; Stannard, BL; Nic Lughadha, E","569",NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa","Escola Agrotécnica Federal, Em São João de Petópolis, na mata atrás da pocílga.","-40.6002998352051","-19.9356002807617","23813","Planta estéril em mata submontana; entre rochas em solo arenoso com serapilheira.","SPF00135610","SPF00135610","auto",NA,NA,NA,NA
"4","2019-11-21 09:57:54-03","IBt","SP","41439","S","Plantae",NA,"Alstroemeriaceae","Alstroemeria","capixaba","Alstroemeria capixaba","M.C.Assis","Assis, MC","Paratype","Foster, MB","s.n.","1938","07","05","Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535","15291",NA,"SP003599","SP003599","auto",NA,NA,"2001","02"
