"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","year","month","day","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2020-09-17 10:45:34-03","UEPA","MFS-FLORES","MFSFL000011","S","Plantae","Fabaceae-Caesalpinioideae","Tachigali","vulgaris","Tachigali vulgaris","L.G.Silva & H.C.Lima","Cordeiro, MR","2011","12","02","Oliveira, JCL de","550","Brasil","Pará","Paragominas","Área de experimento da Embrapa Amazônia Oriental em Paragominas.","-47.311111","-3.536111","-47.311111","-3.536111","MFS000623","Árvore com 20m de altura. DAP: 40 . Flor amarela e botões florais. Ritosoma estriado.","MFSFL000011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:48-03","E","E","83699","PreservedSpecimen","Plantae","Leguminosae","Sclerolobium","paniculatum","Sclerolobium paniculatum",NA,NA,NA,NA,NA,"Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1509","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083699","1996","09","18","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:48-03","E","E","312909","PreservedSpecimen","Plantae","Leguminosae","Sclerolobium","paniculatum","Sclerolobium paniculatum",NA,NA,NA,NA,NA,"Pirani, J.R.; Campos, M.T.V.A.; Nunes, J.V.C.; Parra, L.R.","51479","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312909","1992","02","02","E. Tropical South America","herbarium specimen of unspecif","BGBASE:315232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","22929","PreservedSpecimen","Plantae","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum polyphyllum","Hassl.",NA,NA,NA,NA,"T. Rojas","10573","Paraguay",NA,NA,"Sierra de Amambay, pr. Esperanza",NA,NA,NA,NA,NA,"1907-08 crossed out <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00022929",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Fabales","polyphyllum","isotype","NY00022929_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687605","PreservedSpecimen","Plantae","Fabaceae","Sclerolobium","paniculatum","Sclerolobium paniculatum subvelutinum","Benth.","J. A. Ratter",NA,NA,NA,"C. E. B. Proença","1509","Brazil","Mato Grosso","Alto do Araguaia","15 km NO de Alto do Araguaia na estrada para Itiquira, Centro Oeste.","-53.35","-17.25",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687605","1996","09","18","South America","sheet",NA,"Magnoliophyta","Fabales","subvelutinum",NA,"NY00687605_01 NY00687605_02",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00980307","PreservedSpecimen","Plantae","Fabaceae","Tachigali","vulgaris","Tachigali vulgaris","LF.Gomes da Silva & H.C.Lima",NA,NA,NA,NA,"A. C. Sevilha","1709","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa. Córrego Capetinga. Linha 1","-47.9294","-15.7797",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980307","1997","10","08","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,"NY00980307_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02686913","PreservedSpecimen","Plantae","Fabaceae","Tachigali","vulgaris","Tachigali vulgaris","LF.Gomes da Silva & H.C.Lima","I. Huamantupa Chuquimaco",NA,NA,NA,"D. D. Ackerly","155","Brazil","Pará","Santarém","Península de Alter do Chão","-54.95","-2.48",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994501' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686913","1986","02","23","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,"NY02686913_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1187840","PreservedSpecimen","Plantae","Fabaceae","Tachigali","vulgaris","Tachigali vulgaris","LF.Gomes da Silva & H.C.Lima",NA,NA,NA,NA,"G. A. Black","50-10491","Brazil","Pará",NA,"Cacaul Grande; Limpo dos Alemães.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1393509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187840","1950","10","31","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,"NY01187840_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1188020","PreservedSpecimen","Plantae","Fabaceae","Tachigali","vulgaris","Tachigali vulgaris","LF.Gomes da Silva & H.C.Lima","H. H. van der Werff",NA,NA,NA,"J. M. Pires","16551","Brazil","Mato Grosso",NA,"Sararé, RADAMBRASIL; folha SD 21-YD; ponto 51.","-58.93","-15.87",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396431' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188020","1978","08","11","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,"NY01188020_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1188098","PreservedSpecimen","Plantae","Fabaceae","Tachigali","vulgaris","Tachigali vulgaris","LF.Gomes da Silva & H.C.Lima",NA,NA,NA,NA,"H. S. Irwin","21143","Brazil","Tocantins","Araguaína","Ca. 2 km N. of Araguaína.","-48.2","-7.18186",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396933' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188098","1968","03","13","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,"NY01188098_01","300","300",NA,NA,NA,NA,NA
