"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1457130","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb.Rodr.","Maas PJM; Martinelli G","1977","10","21","Southern America","Brazil","Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgãos, Rio Paquequer.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457130","NL-U1457130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:29-03","ESALQ","ESA","120279","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Rchb. f.","Flores, T.B.","2012","08","01",NA,"Brasil","Reserva Biológica Augusto Ruschi - trilha Tracomol - Beira de encosta.","Epífita, pétalas e sépalas alvas, coluna verde.","ESA120279",NA,"Magnoliophyta","Silva-Filho, A.A.","2016","03","23","1096.0","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-06-30 18:32:37-03","UFJF","CESJ","26923","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb. Rodr.","R.C. Forzza; et al.","1993","10","16","América do Sul","Brasil","Parque Estadual do Ibitipoca, Mata Grande","Planta epífita, em mata, a ca. 2m do solo; flores com tépalas alvas, labelo alvo com estrias verdes no interior e no lado externo da urna.","CESJ026923",NA,"Angiosperma","C.A. Royer","2019",NA,NA,"59","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-24 10:15:38-03","MNHN","RECOLNAT_MNHN_P","P00436619","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Centroglossa","glaziovii","Centroglossa glaziovii","Cogn.","Glaziou, A.","1888","11","5",NA,"Brésil","Alto Macahi","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436619' target='other'> <mi>dwc_moreinfo</mi></a>","P00436619","P00436619_01 P00436619_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17803","hb",NA,NA,NA,NA
"5","2018-01-02 14:35:37-02","MNHN","RECOLNAT_MNHN_P","P00436620","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Centroglossa","glaziovii","Centroglossa glaziovii","Cogn.","Glaziou, A.","1888","11","5",NA,"Brésil","Alto Macahi","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436620' target='other'> <mi>dwc_moreinfo</mi></a>","P00436620","P00436620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","17803","hb",NA,NA,NA,NA
"6","2020-10-01 14:25:52-03","JBB","HEPH","21249","S","Plantae",NA,"Asparagales","Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Rchb.f.","Salles, AEH; Moreira, KR da S; Azevedo, INC de; Oliveira, MS; et al.","2004","11","21","Southern America","Brasil","Pedra do Indio, próximo a Pousada Serra de' Água",NA,NA,NA,"Monocotyledon","Salles, AEH","2005","12",NA,"3449","Minas Gerais","Araponga","-42.5625","-20.6875",NA,NA,NA,NA,NA,"-42.5625","-20.6875","1450","1450"
"7","2020-12-11 11:44:24-03","UFMG","BHCB","183020","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb.Rodr.","Sanín, D; Leroy, CJL; Duarte, MO; Cruz-Lustre, GM","2016","09","11","Southern America","Brasil","Parque Nacional do Caparaó, Vale Verde","PRENSADO EM ÁLCOOL.; Epífita, pétalas brancas.",NA,NA,"Monocotyledon",NA,"2016","09","11","6690","Minas Gerais","Alto Caparaó","-41.843972","-20.419444",NA,NA,NA,NA,NA,"-41.843972","-20.419444","1346","1346"
"8","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20175",NA,"Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb.Rodr.","M. V. S. Berger; et al","2003","03","08",NA,"Brasil","Pedra do Garrafão","Epífita, borda de mata da periferia do afloramento rochoso, meia sombra. Frutos verdes.","MBML020175",NA,NA,"M.V.S. Berger/08-12-2003",NA,NA,NA,"63","Espírito Santo","Santa Maria de Jetibá","-40.924167","-20.176944",NA,NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA
"9","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","25374",NA,"Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb.Rodr.","L. Kollmann; et al","2005","11","04",NA,"Brasil","Santo Antônio","Epífita na meia sombra, flores brancas com listras verdes no fundo do labelo.","MBML025374",NA,NA,NA,NA,NA,NA,"8427","Espírito Santo","Santa Teresa","-40.589167","-19.922222",NA,NA,NA,NA,NA,"40W35'21","19S55'20",NA,NA
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","50544",NA,"Plantae",NA,NA,"Orchidaceae","Centroglossa","macroceras","Centroglossa macroceras","Barb. Rodr.","L. Kollmann; C. N. Fraga, R.Goldenberg, L. e D. Goldenberg","2016","07","14",NA,"Brasil","Garrafão, Pedra do Garrafão","Planta epífita na sombra, fruto verde","MBML050544","MBML050544",NA,"L. Kollmann",NA,NA,NA,"13182","Espírito Santo","Santa Maria de Jetibá","-40.919722","-20.1775",NA,NA,NA,NA,NA,"40W55'11","20S10'39",NA,NA
