"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","typeStatus","relatedCatalogItem","eventTime","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1552517","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","bullata","Myrcia bullata","O.Berg","V. Gomes","268","1940","06","05","South America","Brazil","Minas Gerais","Coronel Pacheco","-43.2655982971191","-21.5877990722656","10350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947755' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552517","NY01552517_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","616076","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","R. C. Vieira","154","1981","10","14","South America","Brazil","Minas Gerais","Uberlândia","-48.2769","-18.9186",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616076","NY00616076_01",NA,"G. M. Barroso","BR-365, Km 10, Uberlândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","616073","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","B. D. Sucre","5848","1969","08","30","South America","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616073","NY00616073_01",NA,"G. M. Barroso","Vale Bonsucesso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1522420","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","J. Mattos","14768","1967","07","14","South America","Brazil","Rio de Janeiro","Resende","-44.4467","-22.4692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751679' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522420","NY01522420_01",NA,"M. F. Santos","Rezende, no Parque Nacional de Itatiaia, no Marombas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","616072","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","B. D. Sucre","9080","1972","05","05","South America","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616072","NY00616072_01",NA,"G. M. Barroso","Pati do Alferes","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907927","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Y. E. J. Mexia","4796","1930","06","26","South America","Brazil","Minas Gerais","Viçosa","-42.8817","-20.7542",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907927","NY00907927_01",NA,"P. C. Standley","Viçosa. Direction to Sao Miguel 8 km.; Fazenda A. Coccero","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907926","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","B. D. Sucre","10039","1973","06","24","South America","Brazil","Minas Gerais","Juiz de Fora","-43.3503","-21.7644",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907926","NY00907926_01",NA,"G. M. Barroso","Juiz de Fora, Estrada para o Cristo Redentor","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616074","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","P. C. Porto","725","1918","09",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684979' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616074","NY00616074_01",NA,NA,"Itatiaia, Mont-Serrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616075","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","A. F. M. Glaziou","6539","1873","09","07","South America","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616075","NY00616075_01",NA,NA,"Petrópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145818","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","Mart. ex DC.","P. G. Delprete","9036","2004","11","06","South America","Brazil","Goiás","Pirenópolis","-48.8842","-15.8175",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145818","NY01145818_01",NA,"P. O. Rosa","Serra dos Pireneus. Córrego da Barriguda.","1080","1080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01131992","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","R. C. Forzza","4202","2006","06","30","South America","Brazil","Minas Gerais","Lima Duarte","-43.887946","-21.704555",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131992","NY01131992_01",NA,"R. C. Forzza","Parque Estadual do Ibitipoca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00906869","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriopus","Myrcia eriopus","Mart. ex DC.","E. P. Heringer","18557","1982","10","22","South America","Brazil","Minas Gerais","Timóteo","-42.6442","-19.5828",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906869","NY00906869_01",NA,"K. M. Gomez-Bezerra","Parque Estadual do Rio Doce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02330130","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","hispida","Myrcia hispida","O.Berg","S. J. da Silva Neto","1500","1997","09","26","South America","Brazil","Rio de Janeiro","Itatiaia","-44.658","-22.358",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2522647' target='other'> <mi>dwc_moreinfo</mi></a>","NY02330130","NY02330130_01",NA,"M. Sobral","Parque Nacional do Itatiaia, estrada para o abrigo Macieiras","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1522421","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","hispida","Myrcia hispida","O.Berg","J. Mattos","14804","1967","07","14","South America","Brazil","Rio de Janeiro","Resende","-44.637876","-22.374281",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522421","NY01522421_01",NA,"P. O. Rosa","Resende, Parque Nacional de Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","31552","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Ferreira, M.I.","51","2006","10","12",NA,"Brasil","São Paulo","Guaratinguetá",NA,NA,NA,NA,NA,"BOTU031552",NA,NA,"Sobral, M.E.G.","Fazenda Esperança",NA,NA,"2007","06","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","31553","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Silva, S.M.P.","181","2006","07","18",NA,"Brasil","São Paulo","Pindamonhangaba",NA,NA,NA,NA,NA,"BOTU031553",NA,NA,"Sobral, M.E.G.","Fazenda São Sebastião do Ribeirão Grande",NA,NA,"2007","06","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 11:31:40-03","UFRJ","RFA","6702","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Mendes Magalhães",NA,"1958","09",NA,NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,"Árvores de 4 a 6 m de altura, frequência regular","RFA46926",NA,NA,"M. Peron","30 km L. de Santa Bárbara",NA,NA,"1988","07",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:45:59-03","EAO","IAN","120582","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Belém, RP; Pinheiro, RS","2650","1966","09","28","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,"Árvore de 10cm. x 15cm. de diâmetro, flores brancas, cálice marron.","IAN120582",NA,NA,"Lima, L","Rod. BR-5, 16km. S. de Eunápolis, plantação de cacau.",NA,NA,"2017","11",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:45:59-03","EAO","IAN","120709","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Heringer, EP","9959","1964","10","27","Southern America","Brasil","Goiás","Formosa","-47.334400177002","-15.5371999740601","113054",NA,"Árvore de 4m. de altura, fina, flores brancas, frutos pequeno.","IAN120709",NA,"auto","Lima, L","Margem da Lagoa.",NA,NA,"2017","11",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:45:59-03","EAO","IAN","188028","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.","Equipe Resgate","717","2008","10","14","Southern America","Brasil","Rondônia","Porto Velho","-63.9039001464844","-8.76194000244141","333357",NA,"Folha oposta, flor amarelo, raque vermelho, peciolo curto.","IAN188028",NA,"auto","Lima, L","Início da MD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
