"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","523002","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","alba","Tibouchina alba","Cogn.","M. L. D. R. Souza","G. Eiten","7695","1966","07","31","South America","Brazil","Rio de Janeiro","Resende","Itatiaia National Park. South face of Mt Itatiaia. Between Macieiras and television relay tower, at head of valley of Rio Itatiaia","-44.4467","-22.4692","1915","1915","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00523002","NY00523002_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","169347","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","alba","Tibouchina alba","Cogn.",NA,"A. F. M. Glaziou","16805",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=581999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169347","NY00169347_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 03:25:00-03","NY","NYBG","01164746","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"P. Guiamaraes","F. Almeda","9756","2009","03","08","South America","Brazil","Rio de Janeiro","Nova Friburgo","Distrito de Mury. Serra dos Orgãos. Estrada da Torre Repetidora (the Sistema Brasileiro Televisão TV tower) south of Nova Friburgo on an unnamed peak west of Pico da Caledônia.","-42.5736","-22.35947","1420","1847","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487623' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164746","NY01164746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","514840","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","F. Segadas-Vianna","2635","1951","03",NA,"South America","Brazil","São Paulo","Sao José do Barreiro","Barreiro Co. Serra da Bocaina, Leageado Farm","-44.622423","-22.796043","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514840","NY00514840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685830","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","P. J. F. Guimarães","K. Lems","s.n.","1964","03","19","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional da Serra dos Orgaos, near Theresopolis. Pedra do Sino","-43.029229","-22.465101","1700","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685830","NY00685830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02721402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.",NA,"C. Gutiérrez Báez","98","2014","09","20","South America","Brazil","Rio de Janeiro","Nova Friburgo","Protecão Integral. Parque Estadual dos Três Picos. Cume Pico Menor","-42.7247","-22.3436","2315","2315","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3015803' target='other'> <mi>dwc_moreinfo</mi></a>","NY02721402","NY02721402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","514842","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","A. C. Brade","A. C. Brade","20883","1951","05","07","South America","Brazil","São Paulo","Sao José do Barreiro","Serra da Bocaina; Tira Chapeú","-44.659863","-22.771302","2100","2100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514842","NY00514842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778179","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","P. J. F. Guimarães","G. Eiten","7695","1966","07","31","South America","Brazil","Rio de Janeiro","Resende","Itatiaia National Park. South face of Mt Itatiaia. Between Macieiras and television relay tower, at head of valley of Rio Itatiaia","-44.4467","-22.4692","1915","1915","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778179","NY00778179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 14:08:00-03","NY","NYBG","778177","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana",NA,"P. J. F. Guimarães","P. C. Porto","2783","1935","02","15","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia km. 15","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778177","NY00778177_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","514841","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","gardneriana","Tibouchina gardneriana","(Triana) Cogn.","J. J. Wurdack","F. Segadas-Vianna","2805","1951","03",NA,"South America","Brazil","São Paulo","Sao José do Barreiro","Barreiro Co. Serra da Bocaina, Leageado Farm","-44.622423","-22.796043","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514841","NY00514841_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
