"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3972","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Catasetum","cernuum","Catasetum cernuum","2017","03","02","2017","03","02","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418490","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Catasetum","cernuum","Catasetum cernuum",NA,NA,NA,"1917","11","29",NA,"Cult. na estufa <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521794' target='other'> <mi>dwc_moreinfo</mi></a>","(Lindl.) Rchb.f.","G. A. Romero","F. C. Hoehne","977","South America","Brazil","São Paulo","Sao Paulo","Butantan, Sao Paulo","-46.724373","-23.565521","sheet","NY00418490","NY00418490_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:27-03","UFRJ","RFA","37785","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum","2011","12","12","2011","07","09",NA,"Erva epífita, 30 cm, raízes brancas e espessas, pseudobulbos fusiformes., verdes, folhas dísticas, apicais, verdes, oblanceoladas, nervuras salientes; inflorescência masculina, basal, portando cinco flores vináceas. Encontrada em tronc","(Lindl.) Rchb.f.","M. S. Wängler","M. S. Wängler; D. F. Massunaga; V. C. Hellmann, G. F. Mazzoni.","726",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre. Sítio Araxá, propriedade do Sr. Aricildes Mota.","-43.3525","-22.445556",NA,"RFA38851",NA,"43º21'9''W","22º26'44''S",NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:29-03","ESALQ","ESA","39380","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum",NA,NA,NA,"1996","10","07",NA,NA,NA,"Bicalho, H.",NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,"ESA039380",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:42-03","MN","R","121719","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum","1953","12","25","1915","11",NA,NA,"Herbarium Lutz","(Lindl.) Rchb. f.","Pabst, G.F.J.","Lutz, A.","851",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:42-03","MN","R","35836","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum","1966","01",NA,"1926","05",NA,NA,NA,"(Lindl.) Rchb. f.","Bicalho, H.D.","Sampaio, A.J.","4561 A",NA,"Brasil","São Paulo","Amparo",NA,"-46.7599983215332","-22.7000007629395",NA,NA,NA,NA,NA,"18036","auto",NA,NA,NA,NA
"7","2019-08-27 13:26:31-03","IAP","PACA-AGP","93547","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Catasetum","cernuum","Catasetum cernuum",NA,NA,NA,"1997","01",NA,NA,"HASU 6491.&nf;Planta masculina. Flores verdes com pontuações vináceas. Planta decídua durante inverno. Articulação dos pecíolos forma espinho na queda da folha. Exclusiva de Carandá. Fenofase: Flores verdes Hábito: Epífita heliófita","(Lindl.) Rchb. F.","A. C. Araújo","Ohlweiler, A. A.",NA,NA,"Brasil","MS","Corumbá","Faz. Cáceres","-57.6533012390137","-19.0091991424561",NA,"PACA093547",NA,NA,NA,"295160","auto","Liliatae",NA,NA,NA
"8","2016-07-05 11:14:14-03","FFCLRP","LBMBP","564","S","Plantae",NA,NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum",NA,NA,NA,NA,NA,NA,NA,NA,"(Lindl.) Rchb.f.","E.R. Pansarin","E.R. Pansarin",NA,NA,"Brasil","São Paulo","Itirapina",NA,"-47.816667","-22.25",NA,NA,NA,"47°49'W","22°15'S",NA,NA,NA,NA,NA,NA
"9","2016-07-05 11:14:14-03","FFCLRP","LBMBP","810","S","Plantae",NA,NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum",NA,NA,NA,NA,NA,NA,NA,NA,"(Lindl.) Rchb.f.","E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,NA,"46°53'W","23°11'S",NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:39-03","UFJF","CESJ","60805","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Catasetum","cernuum","Catasetum cernuum","2008","11",NA,"2008","11",NA,NA,"Epífita, em floresta estacional semidecidual. Pseudobulbo e folhas verde-claro, flores castanho-esverdeadas.","Rchb.f .","L. Menini Neto","C.Rios","s.n.","América do Sul","Brasil","Minas Gerais","Juiz de Fora","São Pedro, Na mata próximo ao Privilége.","-43.369722","-21.736944",NA,"CESJ060805",NA,"-43.369722","-21.736944",NA,NA,NA,"850","850",NA
