"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2020-09-23 10:35:53-03","E","E","212661","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","holosericea","Gomphrena holosericea","Ratter, J.A. & de Santos, R.R.","1968","06","21","E. Tropical South America","BR","Mato Grosso","8 km E. of the Base Camp of the Expedition. (Base Camp 12° 54'S. 51° 52'W, _c._ 270 km. N of Xavantina on the Xavantina - Sao Felix road.)","herbarium specimen of unspecif","BGBASE:227467","<a href=http://data.rbge.org.uk/herb/E00212661 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:53-03","E","E","281814","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","Brooks, R.R.; Reeves, R.D.; Diaz Ferreira, H.","1990","06","13","E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:293845","<a href=http://data.rbge.org.uk/herb/E00281814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281814","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493425","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","A. P. Duarte","1959","06","09","South America","Brazil","Rio de Janeiro","Recreio dos Bandeirantes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493425","4810","Magnoliophyta","Caryophyllales","Mart.","J. C. de Siqueira","Rio de Janeiro","-43.482796","-23.016442","NY00493425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00837941","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","J. Ball","1882","07",NA,"South America","Brazil","São Paulo","Brasiliae juxta Santos.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837941","s.n.","Magnoliophyta","Caryophyllales","Mart.","M. H. Nee",NA,NA,NA,"NY00837941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 19:04:00-03","NY","NYBG","00837942","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","Mulford Biological Expedition",NA,NA,NA,"South America",NA,NA,"Amazon Basin","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837942","940A","Magnoliophyta","Caryophyllales",NA,"J. C. de Siqueira",NA,NA,NA,"NY00837942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","493414","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","P. von Luetzelburg","1920","11",NA,"South America","Brazil","Paraíba","Parahyba do Norte, Monteiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493414","12212","Magnoliophyta","Caryophyllales","Mart.","T. C. J. Herzog",NA,NA,NA,"NY00493414_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493420","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","A. M. V. de Carvalho","1990","04","15","South America","Brazil","Bahia","Ca. 55 km na direcao Milagres/Jequie na rodovia BR 116","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493420","3104","Magnoliophyta","Caryophyllales","Mart.","T. M. Pedersen","Santa Inês","-39.8189","-13.2922","NY00493420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493417","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","R. M. Harley","1974","03","07","South America","Brazil","Bahia","Serra do Curral Feio. 28 km North West of Lagoinha (which is 5.5 km S.W. of Delfino) on side road to Minas do Mimoso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493417","16889","Magnoliophyta","Caryophyllales","Mart.","J. C. de Siqueira",NA,"-41.38","-10.27","NY00493417_01","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00837948","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","G. G. Hatschbach","1984","09","13","South America","Brazil","Minas Gerais","Arredores.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00837948","48133","Magnoliophyta","Caryophyllales","Mart.","T. M. Pedersen","Itaobim","-41.5031","-16.5619","NY00837948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","306302","PreservedSpecimen","Plantae","Amaranthaceae","Gomphrena","vaga","Gomphrena vaga","M. H. Nee","1998","06","06","South America","Bolivia","Santa Cruz","Roadside in narrow valley along road from Mairana to Yunga de Mairana, 2 km NE of central square in Mairana.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306302","49619","Magnoliophyta","Caryophyllales","Mart.","M. H. Nee","Florida","-63.93","-18.12",NA,"1350","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
