"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","10737","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","10","24","Brasil","Santa Catarina","Praia Grande","Aparados - Trilha Rio do Boi.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI003714","CRI003714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","11606","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","A. Stival-Santos; S. Silveira","2009","03","02","Brasil","Santa Catarina","Romelândia","Esperança.","-53.280556","-26.640556","53º16'50''W","26º38'26''S","CRI008284","CRI008284","A. L. de Gasper","2009","05","12","422","559","559","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","6463","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","J. A. Jarenkow","1998","04","11","Brasil","Santa Catarina","Concórdia","Bela vista, próx. a ponte da ferrovia sobre o rio Uruguai.","-52.028056","-27.234722","52º1'41''W","27º14'5''S","CRI003712","CRI003712","J. A. Jarenkow",NA,NA,NA,"3841","579","579","Floresta Estacional Semidecidual Habitat: borda de mata Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:37-03","UNESC","CRI","2645","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","Victorio","1932","08","18","Brasil","Rio de Janeiro","Rio de Janeiro","Vista Chinesa.","-43.207778","-22.903333","43º12'28''W","22º54'12''S","CRI003711","CRI003711","B. A. Krukoof",NA,NA,NA,NA,"14","14","Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:37-03","UNESC","CRI","12228","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","Verdi, M; Grosch, B & Klemz, G","2009","01","30","Brasil","Santa Catarina","Celso Ramos",NA,"-51.432778","-27.586944","51º25'58''W","27º35'13''S","CRI010409",NA,"Verdi, M","2009","01","30",NA,"742","742","Fruto verde. Doação Herbário FURB (10286) Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","11297","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","M. Verdi; R. P. Hasckel & G. Klemz","2009","02","17","Brasil","Santa Catarina","Tunápolis","canaleta.","-53.595278","-26.954722","53º35'43''W","26º57'17''S","CRI003713","CRI003713","M. Verdi","2009","03","02","1655","393","393","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:37-03","UNESC","CRI","8178","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","A. Stival-Santos; S. Silveira","2009","03","19","Brasil","Santa Catarina","Barra Bonita","Lageado Rabo de Galo.","-53.440278","-26.655","53º26'25''W","26º39'18''S","CRI003710","CRI003710","A. Stival-Santos","2009","03","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:37-03","UNESC","CRI","10642","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.",NA,"2000","11","01","Brasil","Santa Catarina","Praia Grande","Aparados - Trilha do Pinto.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI009176","CRI009176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:37-03","UNESC","CRI","11652","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis","(Spreng.) Mart.","A.L. de Gasper; S. Dreveck & F.E. Carneiro","2008","11","20","Brasil","Santa Catarina","Ibicaré","Lageado Cruzeiro.","-51.389444","-27.135556","51º23'22''W","27º8'8''S","CRI008582","CRI008582","A. L. de Gasper","2008","11","20","1129","762","762","Floresta Estacional Decidual Habitat: comum no fragmento Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:04-03","E","E","270714","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","brasiliensis","Strychnos brasiliensis",NA,"Cordeiro, J.","1991","11","11","BR",NA,NA,NA,NA,NA,NA,NA,"E00270714",NA,NA,NA,NA,NA,"785",NA,NA,"<a href=http://data.rbge.org.uk/herb/E00270714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:282536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
