"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","continentOcean"
"1","2021-03-31 13:40:42-03","MN","R","24925","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S.","2002","05","Brade, A.C.","1931","04","17","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:40:42-03","MN","R","3027","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S.","2002","05",NA,"1874","05",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:42-03","MN","R","35694","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S.","2002","05","Brade, A.C.; Lima, S.","1932","01","24","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:42-03","MN","R","44510","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(Hook.) Lindl.","Koehler, S.","2002","05","Hans, D.","1947","04","24","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","147","Alto da Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","17907",NA,"Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","Hook.","L. Kollmann/25-03-2004",NA,NA,"R.R. Vervloet; et al","2002","09","19","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"1000","Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27","Epífita, topo de morro, dossel 20m, flor amarela, labelo branco com listas vinho.","MBML017907","MBML017907",NA,NA,NA,NA
"6","2020-07-10 09:48:08-03","MBML","MBML-HERBARIO","47532",NA,"Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","Lindl.",NA,NA,NA,"N. Sanson",NA,NA,NA,"Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824","auto",NA,NA,NA,NA,NA,"MBML047532","MBML047532",NA,NA,NA,NA
"7","2021-03-04 11:06:01-03","UFRB","HURB","4677","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","(hook.) Lindl.","M. Moraes","2013","06","Milliken, W.; Lucas, E; Nic Lughadha; et al.","2012","10","14","Brasil","Bahia","Wenceslau Guimarães","-39.715278","-13.578611",NA,NA,"5083","Estação Ecológica; Trilha da Água Vermelha","39°42'55 W","13°34'43 S","labelo com pequenas manchas rosadas.","HURB000004677",NA,"579","579",NA,NA
"8","2014-11-06 16:18:13-02","UFPB","EAN","2510","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","Hook",NA,NA,NA,"L. P. Felix ; G. V. Dornelas","1986","02",NA,"Brasil",NA,"Vitorino","-52.7839","-26.2769","15556","auto","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-08-23 09:45:42-03","NHMLondon","NHM-LONDON-BOT","BM000533425","S","Plantae","Orchidaceae","Bifrenaria","racemosa","Bifrenaria racemosa","Lindl.",NA,NA,NA,"John Miers; b.1789; d.1879; Miers","1838","04",NA,"Brasil",NA,NA,"-53.08982","-10.773109",NA,NA,"127",NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4650688",NA
"10","2017-09-11 17:11:26-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Bifrenaria","melanopoda","Bifrenaria melanopoda","Klotzsch",NA,NA,NA,"Comm. Geogr.Geol. S. Paulo",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"3267","in prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America"
