"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","infraspecificEpithet","typeStatus","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","512492","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","F. C. Hoehne","18098","1927","08","25","South America","Brazil","São Paulo","Amparo","Cach. de Tres Pontes, SP, perto de Amparo","-46.7597","-22.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532864' target='other'> <mi>dwc_moreinfo</mi></a>","NY00512492","NY00512492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:18-03","UNESP-IBB","BOTU","27361","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","Arbex, Y.R.","10","2008","10","12",NA,"Brasil","São Paulo","Botucatu","Fazenda Edgárdia, Mata do Bexiguento, Cuesta de Botucatu",NA,NA,NA,NA,"BOTU027361",NA,"Adachi, S.A.","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:09:39-03","UNESP-IBB","BOTU","27748","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","Magalhães, J.H.R.","81","2010","07","22",NA,"Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior","-48.492222","-22.881111",NA,"Epífita, 7m, rizoma longo, folhas suculentas, inflorescência saindo da base do limbo","BOTU027748",NA,"Adachi, S.A.","48°29'32w","22°52'52s","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-24 17:10:56-03","UTFPR","DVPR","6044","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","Silva, DR; Piva, J; Machado, C; Pereira, JP","423","2018","07","26",NA,"Brasil","Paraná","Capitão Leonidas Marques","Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do rio Monteiro.","-53.3918","-25.3015",NA,"Erva epifíta 20 cm. Folhas carnosas, lisas. Tépalas vináceas internamente e amareladas externamente. Ponto 423.; Floresta Ripária ocorrendo sobre solo argiloso. Associação entre Latossolo e Nitossolo Vermelhos.","DVPR006044",NA,"Silva, DR","-53.3918","-25.3015","2018","11","21","255","255",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-24 17:10:56-03","UTFPR","DVPR","5297","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","Estevan, DA; et al.","2276","2017","08","30",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto Chopim","-53.0445","-25.3611",NA,"Epífita, com flores de cor interna roxa.; Floresta Estacional Semidecidual","DVPR005297",NA,NA,"-53.0445","-25.3611","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:39-03","EAO","IAN","29057","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W.Chase","Occhioni, P","5994","1939","09",NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Flor escura.","IAN029057","IAN029057","Meneguzzo, TEC",NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:31-03","PUCPR","HUCP","24859","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W. Chase.","Oliveira, L R L","20","2015",NA,NA,NA,"Brasil","Paraná","Curitiba","Centro Politécnico, Cultivada na casa de vegetação UFPR","-49.2337","-25.4462",NA,NA,"HUCP00024859","HUCP00024859","Smidt, EC","-49.2337","-25.4462","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:31-03","PUCPR","HUCP","24860","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W. Chase.","Oliveira, L R L","46","2015",NA,NA,NA,"Brasil","Paraná","Curitiba","Centro Politécnico, Cultivada na casa de vegetação UFPR","-49.2337","-25.4462",NA,NA,"HUCP00024860","HUCP00024860",NA,"-49.2337","-25.4462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:31-03","PUCPR","HUCP","24391","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W. Chase.","Michelon, C","1460","2012","07","01",NA,"Brasil","Paraná","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783",NA,NA,"HUCP00002826","HUCP00002826","Michelon, C",NA,NA,NA,NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:31-03","PUCPR","HUCP","25262","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Acianthera","aphthosa","Acianthera aphthosa","(Lindl.) Pridgeon & M.W. Chase.","Oliveira, LRL","48",NA,NA,NA,NA,"Brasil","Santa Catarina","Corupá","Orquidário Seidel","-49.2430992126465","-26.4253005981445",NA,NA,"HUCP00025262","HUCP00025262",NA,NA,NA,NA,NA,NA,NA,NA,"23917","auto",NA,NA,NA,NA,NA,NA,NA
