"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","phylum","scientificNameAuthorship","recordNumber","continentOcean","barcode","typeStatus","imagecode","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","class","order"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4227","S","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","Carlos Alberto Ferreira Júnior","2017","11","17","Lucas Assis; Kelen Soares","2017","07","14","Brasil","Minas Gerais","Diamantina","Estrada Diamantina/Milho Verde","-43.6002998352051","-18.2493991851807","101169","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","40958","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","biflora","Dyckia biflora",NA,NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotiledônea","(Mez) R.C.Forzza","19919","Southern America","IAN040958",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:52-03","MN","R","49096","PreservedSpecimen","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","Oliveira, R.","2012","10","17","Mello Barreto, H.L.","1937","11","05","Brasil","Minas Gerais","Diamantina","Guinda","-43.6002998352051","-18.2493991851807","101169",NA,NA,"auto",NA,"(Mez) Forzza","9519",NA,"R010005784",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:51-02","BGBM","B","B 10 0157400","S","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum",NA,NA,NA,NA,"A. F. M. Glaziou","1891",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Herbarium Ign. Urban <a href=http://herbarium.bgbm.org/object/B100157400 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,"Forzza","19919","Middle and South America","B100157400","type","B100157400 B100157400_1",NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:51-02","BGBM","B","B 10 0247244","S","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum",NA,NA,NA,NA,"W. Schwacke",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247244 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,"Forzza","8410","Middle and South America","B100247244","type","B100247244",NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:32:46-03","UFJF","CESJ","37725","PreservedSpecimen","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","R.C. Forzza","2002",NA,NA,"L. Krieger; et al.","1976","01","28","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807","101169",NA,"No campo arenoso. Folhas grossas e duras em formações densas, formando tapetes. Escapos florais passados.","auto","Angiosperma","(Mez) Forzza","CESJ37725","América do Sul","CESJ037725",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:46:29-03","UFOP","OUPR","5842","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","biflora","Dyckia biflora",NA,NA,NA,NA,"Schwacke, C.A.W.","1892","04","23","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"Ex Herb. Magalhães Gomes n. 3894",NA,NA,"Mez","8410",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-05 16:46:29-03","UFOP","OUPR","12993","PreservedSpecimen","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","Forzza, R.C.","2011","05",NA,"Damazio, L.B.",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,"(Mez) Forzza","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:19:25-03","MBM","MBM","340565","PreservedSpecimen","Plantae","Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","Forzza, R.C.","2002",NA,NA,"Krieger, L.; et al.; et al.","1976","01","28","Brazil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807","101169",NA,"No campo arenoso. Folhas grossas e duras em formações densas, formando tapetes. escapos florais passados.","auto",NA,"(Mez.) Forzza","14063","Southern America","MBM340565",NA,"MBM340565",NA,NA,NA,NA,NA,NA
"10","2015-09-28 06:16:18-03","MNHN","RECOLNAT_MNHN_P","P00713035","PreservedSpecimen",NA,"Bromeliaceae","Encholirium","biflorum","Encholirium biflorum","Forzza",NA,NA,NA,"Glaziou, A.",NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00713035' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"(Mez) Forzza",NA,NA,"P00713035","isotype","P00713035_01","19919","hb",NA,NA,NA,NA
