"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-04-05 14:25:26-03","UNESC","CRI","11962","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","Aline Votri Guislon","2015","09","23","Aline Votri Guislon; Altamir Rocha Antunes; Peterson Teodoro Padilha & Guilherme Alves Elias","2014","10","10","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010108","CRI010108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","9463","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","A. Quinet","2010","09","15","M. Verdi; D. H. Klettenberg & G. Klemz","2009","10","17","Brasil","Santa Catarina","Timbé do Sul","-49.86","-28.8","49º51'36''W","28º48'0''S","360","360","CRI003745","CRI003745","2849","Vila Belmiro.","Floresta Ombrófila Densa Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:26-03","UNESC","CRI","13354","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","Renato Colares & Aline Votri Guislon","2018","03","20","Renato Colares & Aline Votri Guislon","2018","03","20","Brasil","Santa Catarina","Orleans","-49.3875","-28.179722","49º23'15''W","28º10'47''S","550","550","CRI011961",NA,NA,NA,"Habitat: Terrestre Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","9576","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","A. Korte","2009","10","19","A. Korte; A. Kniess","2009","10","19","Brasil","Santa Catarina","Ituporanga","-49.503056","-27.360833","49º30'11''W","27º21'39''S","708","708","CRI003748","CRI003748","523","Rio do Norte.","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:26-03","UNESC","CRI","9425","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","A. Stival-Santos","2010","03","30","A. Stival-Santos; E. Legal & S. Silveira","2010","03","30","Brasil","Santa Catarina","Botuverá","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","CRI003743","CRI003743","2193","Reserva Biológica Canela Preta.","Floresta Ombrófila Densa Habitat: entorno do fragmento Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:37-03","UNESC","CRI","11952","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","Aline Votri Guislon","2016","10","15","Aline Votri Guislon; Guilherme Alves Elias; Altamir Rocha Antunes; Robson dos Santos &Peterson Teodoro Padilha","2016","10","15","Brasil","Santa Catarina","Grão Pará","-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","CRI010098","CRI010098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:26-03","UNESC","CRI","9513","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","A. Korte","2009","11","05","A. Korte; A. Kniess","2009","11","05","Brasil","Santa Catarina","Leoberto Leal","-49.230556","-27.450278","49º13'50''W","27º27'1''S","850","850","CRI003746","CRI003746","710","Rio Feijão.","Floresta Ombrófila Densa Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886989","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez",NA,NA,NA,NA,"J. E. B. Warming",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00886989","NY00886989_01","s.n.",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069326' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 22:35:00-03","NY","NYBG","886987","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra",NA,"J. G. Rohwer",NA,NA,NA,"L. Riedel",NA,"01","24","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00886987","NY00886987_01 NY00886987_02","125","In sylvis circa Mandiocca.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1069323' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1039640","PreservedSpecimen","Plantae","Lauraceae","Ocotea","teleiandra","Ocotea teleiandra","(Meisn.) Mez","M. L. Brotto",NA,NA,NA,"M. L. Brotto","2008","11","25","Brazil","Paraná","Adrianópolis","-48.7178","-24.8583",NA,NA,"900",NA,"NY01039640","NY01039640_01","254","Parque Estadual das Lauráceas.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1488668' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
