"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:37:17-03","E","E","83714","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92669","<a href=http://data.rbge.org.uk/herb/E00083714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:17-03","E","E","161801","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","J.H.Kirkbride","1982","09","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169995","<a href=http://data.rbge.org.uk/herb/E00161801 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161801","4886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00908100","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908100","s.n.","Magnoliophyta","Myrtales","Mart.","C. A. Stace","Rio de Janeiro","Mandioca","-43.184668","-22.564777","NY00908100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00908104","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","G. M. Araújo","1992","09","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908104","271","Magnoliophyta","Myrtales","Mart.","C. A. Stace","Minas Gerais","Estaçao Ecológica do Panga, Uberlândia",NA,NA,"NY00908104_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1144404","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","T. B. Cavalcanti","1995","09","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144404","1760","Magnoliophyta","Myrtales","Mart.",NA,"Goiás","Estrada para a Fazenda do Sr. Caio (Fazenda Santo Antonio do Fundao)","-48.47","-17.77","NY01144404_01","Ipameri","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","0997837","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","A. P. Duarte","1963","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997837","7581","Magnoliophyta","Myrtales","Mart.","A. A. Alwan; C. A. Stace","Minas Gerais","próximo ao Hotel Vernaneio à margem do Rio Cipó.",NA,NA,"NY00997837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565702","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","P. E. Gibbs","1976","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=51963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565702","2868","Magnoliophyta","Myrtales","Mart.","A. A. Alwan; C. A. Stace","São Paulo",NA,"-47.7797","-20.33","NY00565702_01","Ituverava",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997825","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","J. A. Ratter","1976","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997825","R.3531","Magnoliophyta","Myrtales","Mart.","C. A. Stace","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower. In cerrado on a patch of better soil just S of the junction of the stream which descends from the Olho de Agua da Onça to the Córrey, Taqueira.","-47.9294","-15.7797","NY00997825_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","565772","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","H. S. Irwin","1971","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565772","31259","Magnoliophyta","Myrtales","Mart.","C. A. Stace","Bahia","Serra da Agua de Rega, ca. 1 km N of Agua de Rega, road to Carfarnaú","-41.6378","-12.0886","NY00565772_01","Souto Soares","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997826","PreservedSpecimen","Plantae","Combretaceae","Terminalia","argentea","Terminalia argentea","J. A. Ratter","1977","01","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997826","R.4101","Magnoliophyta","Myrtales","Mart.","C. A. Stace","Mato Grosso","Approx. 10 km S of Xavantina.","-52.33","-14.73","NY00997826_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
