"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","894879","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G. G. Hatschbach","G. G. Hatschbach","28789","1972","01","18","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó.","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894879","NY00894879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","894877","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G. M. Barroso","E. Pereira","8900","1964","03","16","South America","Brazil","Minas Gerais",NA,"Serra do Cipó.","-43.565347","-19.391335","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894877","NY00894877_01","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","894875","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","W. C. Holmes","H. S. Irwin","28469","1970","03","28","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 3 km N. of São João da Chapada, road to Campo do Sampaio","-43.7833","-18.0833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894875","NY00894875_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","894878","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G. M. Barroso","W. R. Anderson","35790","1972","02","11","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894878","NY00894878_01","1700","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894874","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","W. C. Holmes","A. P. Duarte","2458[=- herb. BR 70603]","1950","04","15","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, K.139 da estrada do Pilar.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894874","NY00894874_01","1300","1300","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","894876","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G. M. Barroso","A. P. Duarte","7560","1963","02","13","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, km 120.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894876","NY00894876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","894881","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G. M. Barroso","H. S. Irwin","20248","1968","02","16","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, ca. km 132, (ca. 153km N. of Belo Horizonte).","-43.68","-18.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894881","NY00894881_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","894880","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","W. C. Holmes","H. L. de M. Barreto","8863","1938","02","06","South America","Brazil","Minas Gerais","Santa Luzia","Serra do Cipó, estrada de Conceição.","-43.8514","-19.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894880","NY00894880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG4007","S","Plantae",NA,NA,"Asteraceae","Mikania","cf. cipoensis","Mikania cf. cipoensis",NA,"E.Hattori","M.Valentina W.","116",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Flor amarela. Altura 40 cm. UTM: 7748964 x; 582888 y.",NA,NA,"1.3","1.3",NA,"43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:03-03","UFRJ","RFA","12574","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","G.G. Hatschbach","G.G. Hatschbach","28789","1972","01","18",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.7449989318848","-19.513599395752",NA,"Ereta, capítulos cremes","RFA11775",NA,NA,NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:34:56-03","EAO","IAN","69771","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","Barroso, GM","Black, GA; Magalhães, MG","11947","1951","04","05","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó, perto do Hotel Palácio.",NA,NA,NA,NA,"IAN069771",NA,NA,NA,NA,NA,NA,NA,NA,"1958",NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:34:56-03","EAO","IAN","135514","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","Barroso, GM","Irwin, HS; Maxwell, HS","20248","1968","02","16","Southern America","Brasil","Minas Gerais","Belo Horizonte","High campo slopes, outcrops, and creek margin, serra do Cipó, ca. km 132 (ca. 153km N of B. Horizonte).","-43.937801361084","-19.9207992553711",NA,"Erect herb to ca. 20cm tall. heads white. Campo.","IAN135514",NA,"1400","1400",NA,NA,NA,"17082","auto","1968",NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:56-03","EAO","IAN","105400","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","Barroso, GM","Magalhães, MG","1614","1942","05","05","Southern America","Brasil","Minas Gerais","Serro","Campo arenoso, serra Itacolomi. Alto Pico Itambi.","-43.3793983459473","-18.604700088501",NA,"Subarbusto, flor alva.","IAN105400",NA,NA,NA,NA,NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:10:51-03","UFBA","ALCB","107943","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Quaresma, AS","Costa, FN; Andrino, CO; Araújo, MI; Franco, IM; Tannure, MP","1255","2010","04","08","Southern America","Brasil","Minas Gerais","Serro","Estrada para Capivari","-43.449167","-18.454444",NA,"em solo arenoso. Brácteas involucrais verdes. Flores alvas.",NA,NA,"1227","1227",NA,"-43.449167","-18.454444",NA,NA,"2013","04",NA,NA,NA,NA,NA
"15","2019-10-09 11:10:51-03","UFBA","ALCB","108023","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso",NA,"Quaresma, AS","418","2012","04","17","Southern America","Brasil","Minas Gerais","Diamantina","Parna Sempre Vivas. Trilha da Vargem do Rio Preto para a Lapa dos Moura","-43.808889","-17.911111",NA,"ca. 30 cm. Brácteas involucrais verdes, pápus creme, flores passadas castanhas.",NA,NA,"1266","1266",NA,"-43.808889","-17.911111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:10:51-03","UFBA","ALCB","108312","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso",NA,"Quaresma, AS; Silva, AP","418","2012","04","17","Southern America","Brasil","Minas Gerais","Diamantina","Parna Sempre Vivas. Trilha da vargem do Rio Preto para Lapa dos Moura","-43.808889","-17.911111",NA,"ca. 30 cm. Brácteas involucrais verdes, papus creme, flores passadas castanhas.",NA,NA,"1266","1266",NA,"-43.808889","-17.911111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:01:56-03","ESALQ","ESA","76904","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso","Robinson, H.","Figueira, J.E.C. et al.",NA,"2000","02","15",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA076904","ESA076904",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:01:56-03","ESALQ","ESA","93630","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Oliveira, C.T.","Savassi-Coutinho, A.P. et al.","951.0","2006","01","11",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA093630","ESA093630",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:01:56-03","ESALQ","ESA","120672","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Contro, F.L.","Delfini, C.","244.0","2012","05","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, rodovia MG 10, km 123, fazenda Cachoeira da Capivara.","-43.54437","-19.24995",NA,"Subarbusto, ca. 20cm alt., capítulos brancos.","ESA120672",NA,"1352","1352",NA,"-43.54437","-19.24995",NA,NA,"2015","05","25",NA,NA,NA,NA
"20","2020-11-04 11:01:56-03","ESALQ","ESA","41243","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Oliveira, C.T.","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","21062.0","1998","04","07",NA,"Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665",NA,NA,"ESA041243","ESA041243",NA,NA,NA,NA,NA,"19014","auto","2015","05","01",NA,NA,NA,NA
"21","2020-11-04 11:01:56-03","ESALQ","ESA","19281","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis",NA,"Hind, N.","Souza, V.C. et al.","8219.0","1995","03","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,"ESA019281","ESA019281",NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:01:56-03","ESALQ","ESA","78109","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Oliveira, C.T.","Souza, V.C.; Romão, G.O.; Sampaio, D.; Araújo, A.O.; Elias, S.I.","28611.0","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 119. Fazenda Cachoeira da Capivara. Campo rupestre com campo arenoso adjacente.","-43.7144012451172","-19.1688995361328",NA,"Erva, até 30 cm alt.; flores creme. Campo arenoso.","ESA078109","ESA078109","1300","1300",NA,"-43,544,722","-19,249,444","26557","auto",NA,NA,NA,NA,NA,NA,NA
"23","2019-02-15 11:34:20-02","IPA","IPA","2111","S","Plantae","Plantae",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M. Barroso","Barroso, G.M.","Andrade-Lima","51-860","1951","01","16","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó, Campos alpinos.",NA,NA,NA,"Erva.","IPA0002111","IPA0002111",NA,NA,NA,NA,NA,NA,NA,"1966","03","04",NA,NA,NA,NA
"24","2021-03-01 16:24:42-03","UNICAMP","UEC","116737","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso",NA,"Mendonça, RC; Fonseca, ML","2389","1995","08","26",NA,"Brazil","Bahia","Correntina","Velha da Galinha, beira do brejo","-45.368056","-13.525",NA,"Heliófila, subarbusto ca. de 40cm de altura. Flores, corola alva, papus alvo, folhas membranáceas","UEC162960","UEC162960","717","717",NA,"-45.368056","-13.525",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-09 15:31:02-03","UNICAMP","UEC","127873","S","Plantae","Magnoliopsida",NA,"Asteraceae","Mikania","cipoensis","Mikania cipoensis","G.M.Barroso",NA,"Souza, VC; Souza, JP; Elias, SI; Forster, W; Capellari Jr, L; Linnaeus, C","21062","1998","04","07",NA,"Brazil","Minas Gerais","Santo Antônio do Itambé","Pico do Itambé., Campo rupestre.","-43.317194","-18.401556",NA,"Erva, até 30 cm alt., flores creme.","UEC162958","UEC162958",NA,NA,NA,"-43.317194","-18.401556",NA,NA,NA,NA,NA,NA,NA,NA,NA
