"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","781392","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","P. K. H. Dusén","2217","1903","11","24","South America","Brazil","Paraná","Roca Nova, (Eisenbahnst).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781392","NY00781392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","781391","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","E. F. Paciornik","119","1984","10","14","South America","Brazil","Santa Catarina","Arredores.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781391","NY00781391_01","M. H. Nee","Barra Velha","-48.6844","-26.6322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","781394","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","C. Kozera","74","1996","01","31","South America","Brazil","Paraná","Parque Barigui.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781394","NY00781394_01",NA,"Curitiba","-49.22","-25.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","781393","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","W. Hoehne","6157","1966","11","04","South America","Brazil","São Paulo","Serra do Mar, entre Cunha e Parati. Perto do alto da Serra do Mar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00781393","NY00781393_01","L. A. Mentz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:46-03","UNESP-IBB","BOTU","33696","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Parketa, L.M.","1","2018","12","11",NA,"Brasil","Paraná","Estação Ecológica Rio Bonito",NA,NA,"BOTU033696",NA,"Campos, R.P.; Moura, T.M.","Turvo",NA,NA,"2019","04","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:45:54-02","BM","SOLANACEAE_SOURCE_BR","26555","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Warming, J.E.B.","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Ad Lagoa Santa.",NA,"In sylvis.","BM000935730",NA,"Nee, M.",NA,NA,NA,"1979","01",NA,NA,"Dicotyledoneae","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-02-10 11:45:54-02","BM","SOLANACEAE_SOURCE_BR","44901","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Agra, M.F.; Bohs, L.; Giacomin, L.L.; Stehmann, J.R.; Rodrigues, I.M.C.","7274","2010","04","28","Southern America","Brazil","Rio de Janeiro","Road between Teresopolis and Nova Friburgo (Circuito Tere Fri) just outside Teresopolis",NA,"Shrub 0.5-1 m tall. Inflorescences unbranched, with just 2 flowers. Prickles purple at base.; Cloud forest. Understory in wet area.",NA,NA,"Knapp, S.; Giacomin, L.L.",NA,"-42.951889","-22.447917","2014","11","-42.951889","-22.447917","Dicotyledoneae",NA,"1020","1030","150872",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:45:54-02","BM","SOLANACEAE_SOURCE_BR","44901","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Agra, M.F.; Bohs, L.; Giacomin, L.L.; Stehmann, J.R.; Rodrigues, I.M.C.","7274","2010","04","28","Southern America","Brazil","Rio de Janeiro","Road between Teresopolis and Nova Friburgo (Circuito Tere Fri) just outside Teresopolis",NA,"Shrub 0.5-1 m tall. Inflorescences unbranched, with just 2 flowers. Prickles purple at base.; Cloud forest. Understory in wet area.",NA,NA,"Knapp, S.; Giacomin, L.L.",NA,"-42.951889","-22.447917","2014","11","-42.951889","-22.447917","Dicotyledoneae",NA,"1020","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-02-10 11:45:54-02","BM","SOLANACEAE_SOURCE_BR","44901","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Agra, M.F.; Bohs, L.; Giacomin, L.L.; Stehmann, J.R.; Rodrigues, I.M.C.","7274","2010","04","28","Southern America","Brazil","Rio de Janeiro","Road between Teresopolis and Nova Friburgo (Circuito Tere Fri) just outside Teresopolis",NA,"Shrub 0.5-1 m tall. Inflorescences unbranched, with just 2 flowers. Prickles purple at base.; Cloud forest. Understory in wet area.",NA,NA,"Knapp, S.; Giacomin, L.L.",NA,"-42.951889","-22.447917","2014","11","-42.951889","-22.447917","Dicotyledoneae",NA,"1020","1030",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:20:01-03","ESALQ","ESA","36828","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Solanum","affine","Solanum affine",NA,"Silva, J.M.","1594.0","1995","12","15",NA,"Brasil","Paraná",NA,NA,NA,"ESA036828","ESA036828",NA,"São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"11","2019-12-19 08:15:32-03","FPS","FPS","137","MachineObservation","Plantae",NA,NA,"Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Schwirkowski, P.","322","2014","05","04",NA,"Brasil","Santa Catarina","Estrada Rio Vermelho - Campo Alegre",NA,"<ll>dwc_commonname:</ll> Arrebenta-cavalo","FPS00137,MBM392133,FURB43934","FPS00137_v01 FPS00137_v02 FPS00137_v03 FURB43934 MBM392133","Brotto, M.L.","São Bento do Sul","-49.320244","-26.272248","2014","08","-49.320244","-26.272248",NA,"20",NA,NA,NA,NA,NA,"voucher","MBM 392133, FURB 47018",NA,NA,NA,NA
"12","2019-12-19 08:15:32-03","FPS","FPS","1552","MachineObservation","Plantae",NA,NA,"Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Schwirkowski, P.",NA,"2011","02","13",NA,"Brasil","Santa Catarina","Sertãozinho, Recanto Buger Strasse",NA,"<ll>dwc_commonname:</ll> Arrebenta-cavalo","FPS01552","FPS01552_v01 FPS01552_v02 FPS01552_v03 FPS01552_v04 FPS01552_v05 FPS01552_v06 FPS01552_v07 FPS01552_v08 FPS01552_v09","Schwirkowski, P.","São Bento do Sul","-49.366298","-26.325219","2011","02","-49.366298","-26.325219",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:33:27-03","IAP","PACA-AGP","31532","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Rambo, B.",NA,"1946","02","02",NA,"Brasil","SC",NA,NA,"Habitat: In ruderatis Fenofase: flor e fruto submaturo","PACA031532",NA,"L. A. Mentz","Araranguá","-49.4858016967773","-28.934700012207","1996","04",NA,NA,"Magnoliatae","01",NA,NA,NA,"19353","auto",NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:33:27-03","IAP","PACA-AGP","3293","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","affine","Solanum affine","Sendtn.","Rambo, B.",NA,"1938","06",NA,NA,"Brasil","SC",NA,NA,"Habitat: In ruderatis Fenofase: flor","PACA003293",NA,"L. A. Mentz","Florianópolis","-48.5491981506348","-27.596700668335","1996","04",NA,NA,"Magnoliatae","01",NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA
