"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:43:49-03","E","E","190759","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum","isotype","Bang, Miguel","1478","W. Tropical South America","BO","Departamento La Paz","Mapiri","herbarium specimen of unspecif","BGBASE:213597","<a href=http://data.rbge.org.uk/herb/E00190759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00190759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 01:57:00-03","NY","NYBG","00854526","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"A. Flores","22","South America","Bolivia","Chuquisaca","Municipio Huacareta, Canton Rosadio del Ingre, comunidad Villa Hermosa.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1204812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854526","Magnoliophyta","Solanales","S. D. Knapp","2008","01","01","Hernando Siles","-63.85761","-20.51211","973","973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 05:46:00-03","NY","NYBG","00724062","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"I. G. Vargas Caballero","3173","South America","Bolivia","Santa Cruz","Parque Nacional Amboro; laderas de Los Toros, 10 Km al NE de las instalaciones de Achira Campyng","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=862192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00724062","Magnoliophyta","Solanales","S. D. Knapp","1994","04","29","Florida","-63.75","-18.12","1800","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00732490","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"E. M. Zardini","42718","South America","Paraguay","Alto Paraná","Estancia San Pedro. South of Estancia Río Bonito","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=871986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00732490","Magnoliophyta","Solanales","M. H. Nee","1995","05","27",NA,"-54.8","-25.67",NA,NA,"Rusby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00732488","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"E. M. Zardini","38503","South America","Paraguay","Misiones","Between San Juan Bautista and road San Ignacio-Pilar. Lafuente cué, 20 km SE of San Juan Bautista","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=871977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00732488","Magnoliophyta","Solanales","M. H. Nee","1994","02","23",NA,"-57.27","-26.7",NA,NA,"Rusby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 19:59:00-03","NY","NYBG","00724048","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"P. G. Lorentz","1870","South America","Argentina",NA,"De pie de la Cuesta de la Puerta de San Javiér cerca de Tucuman","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=862156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00724048","Magnoliophyta","Solanales","S. D. Knapp","1875","01","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00732509","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"J. C. Solomon","11163","South America","Bolivia","Tarija","Upper Río Cambarí, ca. 5 km from the first pass, on trail from Sidras to Tariquia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=872022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00732509","Magnoliophyta","Solanales","S. D. Knapp","1983","10","13","Aniceto Arce","-64.43","-22.17","1200","1200","Rusby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00724066","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"M. H. Nee","37378","South America","Bolivia","Santa Cruz","About 0.5 km. S of and 100 m. below highest point on Mataral-El Trigal road, 3 km. NW of Estancia Cochabambita","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=538029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00724066","Magnoliophyta","Solanales","M. H. Nee","1988","12","28","Vallegrande","-64.2","-18.22","1700","1700","Rusby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-01 13:18:00-02","NY","NYBG","01301285","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"R. Hurtado","340","South America","Bolivia","Santa Cruz","Masicurí a 88 km al sur de Vallegrande, a 2.5 km al sureste de la población de Masicurí.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1570635' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301285","Magnoliophyta","Solanales","R. Hurtado","2005","12","22","Vallegrande","-63.75","-18.82","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-27 02:05:00-03","NY","NYBG","00853166","PreservedSpecimen","Plantae","Solanaceae","Solanum","symmetricum","Solanum symmetricum",NA,"R. Lozano Ajata","1466","South America","Bolivia","Chuquisaca","Ca. 5 km al NW de la Comunidad de Las Abras. Camino a Candado Grande, sector La Abra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00853166","Magnoliophyta","Solanales","S. D. Knapp","2005","10","19","Sud Cinti","-64.2533","-21.0669","1497","1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
