"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","class","order","individualCount","monthIdentified","dayIdentified","typeStatus","maximumElevationInMeters","fieldNumber","sex","preparationType"
"1","2021-03-24 16:39:42-03","MN","R","189837","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B. Sm.","Martinelli, G.","1988","Boone, W.","1018","1986","01","13","Brasil","Espírito Santo","Santa Teresa","Morro da Estação Repetidora de TV","-40.6002998352051","-19.9356002807617","23813","Museu de Biologia Mello Leitão - MBML 924","R010011977","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:33-03","MBM","MBM","172859","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Sm.","Leme, E.M.C.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61441","1995","01","14","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447",NA,"MBM172859","auto","Southern America","MBM172859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:19:33-03","MBM","MBM","172869","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Sm.","Leme, E.M.C.",NA,"Hatschbach, G.","61377","1994","12","18","Brazil","Espírito Santo","Alfredo Chaves","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447",NA,"MBM172869","auto","Southern America","MBM172869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-19 04:39:00-03","MO","MOBOT","3012734","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B. Sm.","L.B. Smith",NA,"M. B. Foster|Racine S. Foster","Foster 295","1939","7","28","Brazil","Espírito Santo",NA,"Sant Teresa",NA,NA,NA,NA,NA,NA,"South America",NA,"777.24000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","33564",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Sm.","A.P. Fontana/2008",NA,"C. Esgario; et al","170","2007","05","11","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Epífita, vegetando um forófito rupícola, heliófila, flores amarelas e folhas avermelhadas.","MBML033564",NA,NA,"MBML033564",NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","10289",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Smith","L. Kollmann/24-04-2002",NA,"I. G. Varassin","72","1999","05","24","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"MBML010289",NA,NA,"MBML010289",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","16218",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Smith","L. Kollmann/24-04-2002",NA,"L. Kollmann; et al","5552","2002","02","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Capoeirão. Epífita na luz forte. Folhas verdes claras com manchas vermelhas. Brácteas escapais vermelhas. Sépalas amarelas. Bainha foliar vinácea.","MBML016218",NA,NA,"MBML016218",NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","20077",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Smith","L. Kollmann/11-03-2003",NA,"L. Kollmann; et al","6033","2003","03","11","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Epífita, na sombra. Brácteas escapais vermelhas, brácteas florais amarelas e vermelhas, flores amarelas.","MBML020077",NA,NA,"MBML020077",NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","24129",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Smith","A. P. Fontana/13-12-2004",NA,"A. P. Fontana; et al","1091","2004","11","15","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775278","-19.796944",NA,"Epífita sobre velloziaceae, heliófila, folhas verdes, inflorescência vermelha com ápice verde.","MBML024129",NA,NA,"MBML024129",NA,"40W46'31","19S47'49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","24250",NA,"Plantae","Bromeliaceae","Vriesea","delicatula","Vriesea delicatula","L.B.Smith","T.S. Coser/22-06-2011",NA,"L. Kollmann; et al","7761","2005","04","12","Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão","-40.924167","-20.176944",NA,"Epífita no sol, no brejo. Folhas verdes com manchas vináceas, brácteas verdes, sépalas verdes.","MBML024250",NA,NA,"MBML024250",NA,"40W55'27","20S10'37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
