"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","monthIdentified","dayIdentified","recordNumber","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","eventTime","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","8363","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","Marcos Sobral","2007","Rosimar Tertuliano da Silva","2006","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI005541","CRI005541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:41-03","UNESC","CRI","13049","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","Pastório, FF","2015","Gasper, A.L. de; Uller, H.F. & Vibrans, A.C.","2015","Brasil","Santa Catarina","Blumenau","-49.049444","-26.819722","49º2'58''W","26º49'11''S","CRI011674",NA,"09","09","3714","09","01","Fidélis. Fidélis.","264","264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","167706","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata",NA,NA,NA,"Cesar, Helda Lenz","1980","BR","Sao Paulo",NA,NA,NA,NA,NA,"E00167706",NA,NA,NA,"2355","08","18",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:176704","<a href=http://data.rbge.org.uk/herb/E00167706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","82976","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata",NA,NA,NA,"Hatschbach, G. & Cordeiro, J.","1987","BR",NA,NA,NA,NA,NA,NA,"E00082976",NA,NA,NA,"51277","07","21",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:91391","<a href=http://data.rbge.org.uk/herb/E00082976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","405345","PreservedSpecimen","Plantae","Myrtaceae","Mitranthes","glomerata","Mitranthes glomerata","D.Legrand",NA,NA,"R. Reitz","1954","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00405345","NY00405345_01",NA,NA,"2015","08","05","Cunhas","10","10","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=650737' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1019453","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand",NA,NA,"M. da C. Souza","2007","Brazil","Santa Catarina","Sao Francisco do Sul","-48.6381","-26.2433",NA,NA,"NY01019453","NY01019453_01",NA,NA,"551","08","17","Vila dsa Glória CEPA, trilha verde.",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282413' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616864","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","C. E. B. Proença",NA,"G. G. Hatschbach","1968","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,"NY00616864","NY00616864_01",NA,NA,"19249","05","28","Rio Cambará",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153668' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616863","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","C. E. B. Proença",NA,"R. Reitz","1956","Brazil","Santa Catarina","Palhoça","-48.694057","-27.77489",NA,NA,"NY00616863","NY00616863_01",NA,NA,"3634","09","06","Piloes, Palhoça","300","300","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153670' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616862","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","L. H. Soares-Silva",NA,"L. H. Soares-Silva","1989","Brazil","Paraná","Londrina","-51.1628","-23.3106",NA,NA,"NY00616862","NY00616862_01",NA,NA,"227","08","04","Parque Estadual Mata do Godoy",NA,NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153665' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616870","PreservedSpecimen","Plantae","Myrtaceae","Neomitranthes","glomerata","Neomitranthes glomerata","(D.Legrand) D.Legrand","C. E. B. Proença",NA,"R. Reitz","1956","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"NY00616870","NY00616870_01",NA,NA,"3402","07","17","Hôrto Florestal I. N. P., Ibirama","450","450","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=153672' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
