"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","locality","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","recordNumber","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:13-03","UNESC","CRI","4507","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","Elaine T. G. Carvalho","1993","05","15","E. T. G. Carvalho","1993","05","15","Brasil","Santa Catarina","Araranguá","-49.486111","-28.935278","49º29'10''W","28º56'7''S","4","4","CRI007909","CRI007909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:19-03","E","E","420678","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00420678",NA,"E. Tropical South America","Brasilia","herbarium specimen of unspecif","BGBASE:471666","<a href=http://data.rbge.org.uk/herb/E00420678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","424113","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","M. H. Nee",NA,NA,NA,"C. Gay","1828","08","01","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00424113","NY00424113_01","South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329417' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","424103","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","A. C. Cervi",NA,NA,NA,"A. C. Cervi","1991","05","28","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,NA,NA,"NY00424103","NY00424103_01","South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402567' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","3216",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","424112","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","M. H. Nee",NA,NA,NA,"C. Gay","1828","08",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00424112","NY00424112_01","South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329416' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","822844","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"J. C. Lindeman","1966","11","05","Brazil","Paraná",NA,NA,NA,NA,NA,"615","615","NY00822844","NY00822844_01","South America","Pinhal, just N of Campo Novo.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928404' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2836",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02711502","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"H. S. Irwin","1958","10","31","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY02711502","NY02711502_01","South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3014235' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","424099","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. R. Mill; M.-L. Kranitz",NA,NA,NA,"J. R. Pirani","1985","11","20","Brazil","São Paulo","Campos do Jordao","-45.59","-22.73",NA,NA,"2000","2000","NY00424099","NY00424099_01","South America","Campos de Jordao, Parque Estadual. Caminho para Sao José dos Alpes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402574' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","1369",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02711503","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze",NA,NA,NA,NA,"R. M. Klein","1962","09","14","Brazil","Santa Catarina","Santa Cecília","-50.4267","-26.9608",NA,NA,"1000","1000","NY02711503","NY02711503_01","South America","Rio Correntes, Santa Cecilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3014233' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","2998",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","424110","PreservedSpecimen","Plantae","Araucariaceae","Araucaria","angustifolia","Araucaria angustifolia","(Bertol.) Kuntze","R. Reitz",NA,NA,NA,"R. Reitz","1962","07","11","Brazil","Santa Catarina","Canoinhas","-50.3897","-26.1772",NA,NA,"750","750","NY00424110","NY00424110_01 NY00424110_02 NY00424110_03","South America","Horto Florestal I.N.P., Canoinhas","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402564' target='other'> <mi>dwc_moreinfo</mi></a>","Pinophyta","Araucariales","13089",NA,NA,NA,NA,NA,NA,NA,NA,NA
