"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","recordNumber","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","eventTime","fieldNumber","individualCount","sex"
"1","2021-04-05 14:26:10-03","UNESC","CRI","3010","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum","Pohl","Condorce Aranha","Raquel Rejane Bonatto Negrelle","1993","02","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI007675","CRI007675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","104941","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Gottsberger, I.","1976","11","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104941",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114654","<a href=http://data.rbge.org.uk/herb/E00104941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:50-03","E","E","40749","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Gottsberger, G.","1986","10","30","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00040749",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:49219","<a href=http://data.rbge.org.uk/herb/E00040749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:50-03","E","E","105979","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Harley, R.M.","1980","04","13","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00105979",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:115439","<a href=http://data.rbge.org.uk/herb/E00105979 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","21318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:50-03","E","E","221589","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Harley, R.M. & Souza, R.","1968","09","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221589",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:232033","<a href=http://data.rbge.org.uk/herb/E00221589 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","10062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:50-03","E","E","221591","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Glaziou, M.A.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221591",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:232031","<a href=http://data.rbge.org.uk/herb/E00221591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","14059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:43:50-03","E","E","104939","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Gottsberger, I. & Campos, C.J.","1975","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00104939",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114656","<a href=http://data.rbge.org.uk/herb/E00104939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:43:50-03","E","E","105977","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Ratter, J.A.; Leitão Filho, H. de Freitas; Argent, G.C.G.; Gibbs, P.E.; Macias, L. & Semir, J.","1983","11","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00105977",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:115442","<a href=http://data.rbge.org.uk/herb/E00105977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:43:50-03","E","E","105899","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Walter, B.M.T.","1994","11","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00105899",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:115546","<a href=http://data.rbge.org.uk/herb/E00105899 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:50-03","E","E","221586","PreservedSpecimen","Plantae","Styracaceae","Styrax","camporum","Styrax camporum",NA,NA,"Philcox, D. & Fereira, A.","1968","01","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00221586",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:232036","<a href=http://data.rbge.org.uk/herb/E00221586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","4213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
