"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","individualCount","identifiedBy","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","622192","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","coriacea","Elachyptera coriacea","Lombardi","isotype","R. M. Harley","24221","1987","02","14","South America","Brazil","Bahia","Piata","Estrada à direita da Via Piata-Boninal, Mata de Cipó","-41.7728","-13.1519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622192","NY00622192_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:29:24-03","MBM","MBM","277867","PreservedSpecimen","Plantae",NA,NA,"Hippocrateaceae","Elachyptera","coriacea","Elachyptera coriacea","Lombardi","ISOTYPE","Harley, R.M.; Giulietti, A.M.; Pirani, J.R.; Stannard, B.L.; Cordeiro, I.; Kamey; Giulietti, A.M.; Pirani, J.R.; Stannard, B.L.; Cordeiro, I.; Kameyama, C.","24221","1987","02","14","Southern America","Brazil","Bahia","Piatã","Estrada à direita da Via Piatã. Boninal.","-41.7728004455566","-13.1519002914429",NA,"Trepadeira alta, com folhas coriáceas, flores verde-claras passando a amarelas dentro de pouco tempo; Trepadeira alta, com folhas coriáceas, flores verde-claras passando a amarelas dentro de pouco tempo.; Mata de cipó.","MBM277867","MBM277867","41184","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:34:26-03","UFMG","BHCB","73860","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Elachyptera","coriacea","Elachyptera coriacea","Lombardi","Isotypus","Harley, RM; Giulietti, AM; Pirani, JR; Stannard, BL; Cordeiro, I; Kameyama, C","24221","1987","02","14","Southern America","Brasil","Bahia","Piatã","Estr. a direita da Via Piatã-Boninal, mata de Cip","-41.7728004455566","-13.1519002914429",NA,"Trepadeira alta, com folhas coriáceas, flores verde-claras passando a amarelas dentro de pouco tempo.","BHCB000165","BHCB000165 BHCB000165_01","41184","auto","2002",NA,NA,NA,NA,NA
"4","2015-08-13 05:50:00-03","MO","MOBOT","100766689","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Elachyptera","coriacea","Elachyptera coriacea","Lombardi","Holotype","R.M. Harley","Harley 24221","1987","2","14","South America","Brazil","Bahia","Piatã","Estrada à direita da Via Piatã-Boninal.","-41.7728004455566","-13.1519002914429",NA,NA,NA,NA,"41184","auto",NA,"1",NA,NA,NA,NA
"5","2021-03-12 16:33:20-03","USP","SPF","49221","PreservedSpecimen","Plantae",NA,NA,"Hippocrateaceae","Elachyptera","coriacea","Elachyptera coriacea","Lombardi","holotype","Harley, RM; Giulietti, AM; Pirani, JR; Stannard, BL; Cordeiro, I","24221","1987","02","14",NA,"Brasil","Bahia","Piatã","Estrada à direita da Via Piatã - Boninal, mata de cipó.","-41.7728004455566","-13.1519002914429",NA,"Trepadeira alta, com folhas coriáceas, flores verde-claras passando a amrelas dentro de pouco tempo.","SPF00049221","SPF00049221","41184","auto",NA,NA,NA,NA,NA,NA
"6","2020-07-23 12:08:48-03","CEPLAC","CEPEC","94988","PreservedSpecimen","Plantae",NA,NA,"Hippocrateaceae","Elachyptera","coriacea","Elachyptera coriacea",NA,NA,"M. L. Guedes","9351","2001","11","23",NA,"Brasil","Bahia","JACOBINA","Piemonte da Diamantina, Bairro Grotinha.","-40.503056","-11.195278",NA,NA,NA,NA,NA,NA,NA,NA,"J. A. Lombardi","40W30'11","11S11'43","30/12/2011"
