"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","651139","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","T. S. dos Santos","3912","1983","10","21","South America","Brazil","Bahia","Ilhéus","Sao José. Near Salobrinho","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742953' target='other'> <mi>dwc_moreinfo</mi></a>","NY00651139","NY00651139_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01049032","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","T. R. Soderstrom","2154","1976","04","20","South America","Brazil","Bahia","Ubaitaba","Just north of Ubaitaba on BR 101, Fazenda Santa Rita","-39.3231","-14.3128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195386' target='other'> <mi>dwc_moreinfo</mi></a>","NY01049032","NY01049032_01","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00915527","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","F. A. McClure","21294","1943","11","08","South America","Brazil","São Paulo",NA,"Estação Biologica do Alto da Serra",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915527","NY00915527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01048918","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","C. E. Calderón","2257","1972","05","08","South America","Brazil","Bahia","Jaguaquara","Riacho de Ouro: 22 km SE of Jaguaquara City","-39.87","-13.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195437' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048918","NY01048918_01","625","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01048917","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","C. E. Calderón","2257","1972","05","08","South America","Brazil","Bahia","Jaguaquara","Riacho de Ouro: 22 km SE of Jaguaquara City","-39.87","-13.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048917","NY01048917_01","625","625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778437","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","H. Luederwaldt","s.n.","1915","12",NA,"South America","Brazil","São Paulo","Ipiranga","Ipiranga. Mata do Governo.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778437","NY00778437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01049031","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","T. R. Soderstrom","2154","1976","04","20","South America","Brazil","Bahia","Ubaitaba","Just north of Ubaitaba on BR 101, Fazenda Santa Rita","-39.3231","-14.3128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195385' target='other'> <mi>dwc_moreinfo</mi></a>","NY01049031","NY01049031_01","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00915528","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","F. A. McClure","21294","1943","11","08","South America","Brazil","São Paulo",NA,"Estação Biologica do Alto da Serra",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915528","NY00915528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00915481","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","L. G. Clark","830","1991","02","25","South America","Brazil","São Paulo","Salesópolis","Estação Biológica Boraceia/Reserva Hidrológica do Rio Claro/SABESP, trail to Campos da Boraceia","-45.9","-22.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915481","NY00915481_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01049008","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","neesii","Merostachys neesii","Rupr.","R. Vinícius-Silva","T. R. Soderstrom","2154","1976","04","20","South America","Brazil","Bahia","Ubaitaba","Just north of Ubaitaba on BR 101, Fazenda Santa Rita","-39.3231","-14.3128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195384' target='other'> <mi>dwc_moreinfo</mi></a>","NY01049008","NY01049008_01","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
