"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","individualCount","class","order"
"1","2020-11-04 11:02:11-03","ESALQ","ESA","129486","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N.","2016","07","06","Souza, V.C.; Randle, C; Morawetz, J.; Santos, P.M.L.A.; Servidone, G.B.","38037.0","2014","03","16","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Estrada Belo Horizonte - Conceição do Mato Dentro. Arredores da bifurcação para Morro do Pilar. Campo rupestre.","-43.7144012451172","-19.1688995361328","-19,220,612","-43,499,471","26557","Subarbusto; flores amarelas.","ESA129486","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:02:11-03","ESALQ","ESA","73330","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N.","2016","07","06","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25079.0","2001","07","05","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro. Próximo à Bifurcação para Morro do Pilar. Campo rupestre com mata ciliar no fundo do vale.","-434.992","-192.203","-434,992","-192,203",NA,"Erva; flores do raio alvas; flores do disco creme.","ESA073330",NA,"1500","1500","ESA073330",NA,NA,NA,NA,NA
"3","2020-11-04 11:02:11-03","ESALQ","ESA","120685","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N.","2016","07","06","Delfini, C.","257.0","2012","05","01","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, rodovia MG 10, km 131, bifurcação para o Morro do Pilar.","-43.49884","-19.2236","-43.49884","-19.2236",NA,"Erva, 40-50cm altl., capítulos brancos, indumento alvo.","ESA120685",NA,"1332","1332","ESA120685",NA,NA,NA,NA,NA
"4","2020-11-04 11:02:11-03","ESALQ","ESA","120645","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N.","2016","07","06","Delfini, C.","217.0","2012","05","01","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó, proximidades da estátua do Juquinha, rodovia MG 10, km 122.","-43.5486","-19.2528","-43.5486","-19.2528",NA,"Erva, 40cm alt., flores liguladas brancas, flores do disco amarelas.","ESA120645",NA,"1353","1353","ESA120645",NA,NA,NA,NA,NA
"5","2021-03-01 16:25:10-03","UNICAMP","UEC","174030","S","Plantae","Magnoliopsida","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Franco, IM","2013","04",NA,"Souza, VC; Souza, JP; Romão, GO; Araújo, AO","25079","2001","07","05","Brazil","Minas Gerais","Santana do Riacho","Serra do cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro. Próximo à Bifurcação para Morro do Pilar.","-43.499167","-19.220278","-43.499167","-19.220278",NA,"Ervas; flores do raio alvas, do disco creme.; Campo rupestre com mata ciliar no fundo do vale.","UEC089207",NA,"1500","1500","UEC089207",NA,NA,NA,NA,NA
"6","2021-03-01 16:25:10-03","UNICAMP","UEC","2738","S","Plantae","Magnoliopsida","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N","1999",NA,NA,"Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","1251","1972","03","06","Brazil","Minas Gerais","Jaboticatubas","Km 131 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,"31264","Escapo floral 35 a 40 cm (botões).","UEC130753","auto",NA,NA,"UEC130753",NA,NA,NA,NA,NA
"7","2021-03-01 16:25:10-03","UNICAMP","UEC","2739","S","Plantae","Magnoliopsida","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N","1999",NA,NA,"Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, F","1251","1972","03","06","Brazil","Minas Gerais","Jaboticatubas","Km 131 ao longo da Rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,"31264","Escapo floral 35 a 40 cm (botões).","UEC130754","auto",NA,NA,"UEC130754",NA,NA,NA,NA,NA
"8","2021-03-01 16:25:10-03","UNICAMP","UEC","35794","S","Plantae","Magnoliopsida","Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N","1999",NA,NA,"Lima, HC","362","1978","04","25","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, próximo ao Palácio, km 135.","-43.7144012451172","-19.1688995361328",NA,NA,"26557","Erva saxícola, heliófila, folhas verdes com indumentos alvos, raquis da inflorescência alvo. Capítulos com flores amarelas centrais e flores verdes na periferia.","UEC130752","auto","1200","1200","UEC130752",NA,NA,NA,NA,NA
"9","2020-12-21 16:17:05-03","MBM","MBM","243734","PreservedSpecimen","Plantae",NA,"Asteraceae","Richterago","lanata","Richterago lanata","Roque","Roque, N.","1999",NA,NA,"Roque, N.; Hervêncio, P.; Hervêncio, P.","497","1998","09","30","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Acesso que sai da estrada Belo Horizonte-Conceição do Mato Dentro (MG 010) para a Serra da Salitreira, ca. 1,2 km da casa do IBAMA","-43.7144012451172","-19.1688995361328",NA,NA,"26557","Ervas em solo areno-pedregoso, em fendas de rochas. Folhas lanosas, cinérias, capítulos fechados ou deipersando frutos.; Ervas. Folhas lanosas, cinéreas, capítulos fechados ou dispersando frutos.; Em solo areno-pedregoso, em fendas d","MBM243734","auto",NA,NA,"MBM243734","PARATYPE","Southern America",NA,NA,NA
"10","2021-01-29 17:16:15-03","UFMG","BHCB","110853","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Richterago","lanata","Richterago lanata","N.Roque",NA,NA,NA,NA,"Rapini, A; Pirani, JR; Forzza, RC; Marcato, AC; Assis, MC","559","1998","03","03","Brasil","Minas Gerais","Congonhas do Norte","Serra da Carapina (Serra Talhada)., Estrada para Conceição do Mato Dentro, próximo a extrema. Norte da Serra do Cipó.","-43.683333","-18.933333","-43.683333","-18.933333",NA,"Solo arenoso. Herbáceo. Lanulosa. Capítulo creme.",NA,NA,"1200","1200",NA,NA,"Southern America",NA,NA,NA
