"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","138059","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","caracana","Stachytarpheta caracana","Glaz.","isotype fragment","A. F. M. Glaziou","15332","South America","Brazil","Minas Gerais","Serra do Caraça","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=673078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138059","NY00138059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:11:40-03","ESALQ","ESA","94188","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Souza, V.C.; Rando, J.G.; Ferreira, M.A.P.","32226.0",NA,"Brasil","Minas Gerais","Serra do Ouro Branco",NA,"Subarbusto; flores róseo-arroxeadas.","ESA094188","ESA094188","Antar, G.M.","2004","07","21","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:31:20-03","MN","R","231476","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Alves, R.J.V. 5626; Almeida-Lafetá, R.C. 173",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"R010032813,R010032814;R010032815",NA,"Harley, R.M.","1996","07","11","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto","2004","12","15",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:33:58-03","MN","R","11143","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","caracana","Stachytarpheta caracana","Glaz.",NA,"Glaziou, A.F.M.","15332",NA,"Brasil","Minas Gerais",NA,NA,"Plantas do Brasil Central","R000011143","R000011143_001",NA,"1884","06","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:18:01-03","UFV","VIC","041333","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"de Paula, C.C.; et al.","93",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Área 3.",NA,"Saxicola de afloramento rochoso subarbustode 0,80 m,freguência de 4 individuos em raio de 5 m, folhas verde acinzentadas, sépalas verde acinzentadas, pétalas lilás,ocorre as margens de riacho.","VIC041333","VIC041333",NA,"2002","06","10","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:18:01-03","UFV","VIC","041320","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"de Paula, C.C.; et al.","133",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Subárea cruzeiro.",NA,NA,"VIC041320","VIC041320",NA,"2002","06","23","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:18:01-03","UFV","VIC","041331","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"de Paula, C.C.; et al.","773",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Área 3.",NA,"Terrestre de campo garminoide e em afloaramento rochoso, subarbusto de 0,84 m, freguência abundante, folhas verdes prateadas, sépalas esbranquiçadas,pétalas lilás claro,brácteas da inflorescênia esbranquiçadas, pétalas lilás claro, br","VIC041331","VIC041331",NA,"2003","04","26","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:37:42-03","UFJF","CESJ","52582","PreservedSpecimen","Plantae","Angiosperma",NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"G.E. Valente; A.A. Azevedo","1820","América do Sul","Brasil","Minas Gerais","Serra de Ouro Branco",NA,"Campo rupestre.Ca. 1m. alt.Folha com indumento prateado. Flor lilás.","CESJ052582",NA,"V.A.O. Dittrich","2006","10","06","Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto","2016","07",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:32:10-03","UNICAMP","UEC","5669","S","Plantae","Magnoliopsida",NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Davis, PH; Shepherd, GJ","59650",NA,"Brazil","Minas Gerais","Dist. Ouro Preto, between Itabirita and Belo Horizonte toad, at Km 15.",NA,"Erect, flowers mauve-pink.; Campo rupestre.","UEC094367","UEC094367","Harley, RM","1976","07","31",NA,NA,NA,NA,NA,"2005","02","15","1200","1200",NA,NA,NA,NA,NA
"10","2019-11-06 09:55:55-03","UFOP","OUPR","17884","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","rhypidiophylla","Hyptis rhypidiophylla","Briq.",NA,"Lisboa, M.A.","s.n.",NA,"Brasil","Minas Gerais","Arraial de Casa Branca, Fazenda da Cachoeira.",NA,"Sub-arbusto. Campo.",NA,NA,"Roschel, M.B.",NA,NA,NA,"Brumadinho","-44.1996994018555","-20.1432991027832","26639","auto","2000","05",NA,NA,NA,NA,NA,NA,NA,NA
