"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","778341","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","R. G. Udulutsch","R. M. Harley","51870","1992","03","11","South America","Brazil","Bahia","Abaíra","Estrada Abaíra-Piata, 4 km de Abaíra","-41.68","-13.23","870","870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778341","NY00778341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402962","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","R. G. Udulutsch","A. M. V. de Carvalho","3781","1992","02","19","South America","Brazil","Bahia","Caetité","Ramal a 29 km na estrada Caetité/Brumado. Ca. 3 kms ramal adentro.","-42.47","-14.06",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402962","NY00402962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","887084","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","R. G. Udulutsch","M. M. Arbo","7622","1997","01","21","South America","Brazil","Bahia",NA,"30 km al W de Brumado, camino a Caetité","-41.95","-14.13","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887084","NY00887084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:41-03","UFBA","ALCB","026542","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","Gentry, AH","Ginzbarg, S; Mattos Silva, LA; Brito, HS","833","1988","03","23","Southern America","Brasil","Bahia","Maracás","7KM ao SO de Maracás, na estrada para Contendas de Sincorá.","-40.5","-13.5",NA,NA,NA,"Flores com corola amarela-pálida, com faixas de amarelo mais escuro dentro do tubo alternando com as pétalas. Espécie rara.; Próximo ao limite com mata de cipó. Mata arbustiva até 2,5 m. Lamiciaceae dominante.",NA,NA,"1990","-40.5","-13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:41-03","UFBA","ALCB","054549","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.",NA,"Correia, C; Giulietti, AM; Silva, TRS","47","2001","04","29","Southern America","Brasil","Bahia","Caetité","Estrada para Brejinho das Ametistas.","-42.434167","-14.125833","726","726",NA,"Ramos jovens verdes com lenticelas castanho-claras. Folhas discolores face superior verde mais claro. Flores com brácteas e cálice verde, corola externamente com tubo inferior e médio creme e lobos brancos, internamente tubo amarelo, filetes e antera",NA,NA,NA,"-42.434167","-14.125833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:41-03","UFBA","ALCB","123006","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","Silva-Castro, MM","Silva-Castro, MM; Castro, IF; Brito, RF","923","2004","12","18","Southern America","Brasil","Bahia","Maracás","estrada Pé de Serra-Maracás.","-40.506667","-13.455",NA,NA,NA,"folhas coriáceas. Flores com brácteas e cálice verde-amarelado, corola amarela.","ALCB009181","ALCB009181","2011","-40.506667","-13.455","08",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:41-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","Gentry, AH","Ginzbarg, S; Mattos Silva, LA; Brito, HS","833","1988","03","23","Southern America","Brasil","Bahia","Maracás","7KM ao SO de Maracás, na estrada para Contendas de Sincorá.","-40.5","-13.5",NA,NA,NA,"Flores com corola amarela-pálida, com faixas de amarelo mais escuro dentro do tubo alternando com as pétalas. Espécie rara.; Próximo ao limite com mata de cipó. Mata arbustiva até 2,5 m. Lamiciaceae dominante.",NA,NA,"1990","-40.5","-13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:41-03","UFBA","ALCB","123007","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Adenocalymma","hypostictum","Adenocalymma hypostictum","Bureau & K.Schum.","Silva-Castro, MM","Carneiro-Torres, DS; Silva-Castro, MM; Macedo, G; Senra, LC","234","2002","05","17","Southern America","Brasil","Bahia","Maracás","estrada Maracás-Contendas do Sincorá.","-40.281667","-13.755",NA,NA,NA,"folhas coriáceas. Inflorescência com brácteas verde-amareladas, corola creme com tubo amarelo internamente. Frutos maduros, castanho-amarelado.","ALCB009182","ALCB009182","2011","-40.281667","-13.755","08",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:29:56-03","NBC","NL-BOTANY","U.1155119","PreservedSpecimen","Plantae",NA,"Lamiales","Bignoniaceae","Adenocalymma","fruticosum","Adenocalymma fruticosum","A.H.Gentry",NA,"Harley RM; et al.",NA,"1980","03","25","Southern America","Brazil",NA,NA,"Estado Da bahia. Serra do Sincora. 6km, N. of Cascavel on the road to nucuge. ''Campo geral''; grassland tich in Dicotheldonous herbs & shrubs and acaulous palm.","-41.416667","-13.1",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1155119 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1155119","NL-U1155119",NA,"-41.416667","-13.1",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:34:54-02","IPA","IPA","60961","S","Plantae","Plantae",NA,"Bignoniaceae","Adenocalymma","fruticosum","Adenocalymma fruticosum","A.H. Gentry","Silva-Castro, M.M.","Bautista, H.P.; Roque, N.; Ribeiro, T.; Bautista, H.P.; Roque, N.; Ribeiro, T.; Bautista, H.P.","3228","2002","03","13","Southern America","Brasil","Bahia","Caetité","Caraibas","-42.431944","-13.993333","850","850",NA,"Liana lenhosa. Folhas discolores. Flores com cálice amarelo esverdeado, lacínios alvos, fauce e tribo amarelo.; Carrasco.","IPA0060961",NA,"2013","-42.431944","-13.993333","04",NA,"08",NA,NA,NA,NA,NA,NA
