"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","phylum","order","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:18:23-03","MBM","MBM","66525","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","intricata","Jacaranda intricata","A. Gentry & Morawetz","Gentry, A.","1987","HOLOTYPE","Hatschbach, G.","43100","1980","08","13","Southern America","Brazil","Goiás","Cristalina","Rod. BR 010; 5 km L de Cristalina","-47.6136016845703","-16.7686004638672","85457","1100","1100","Inflorescência até 1m, flores violeta. Campo rupestre.; Inflorescência até 1m, flores violeta.; Campo rupestre.","MBM066525","MBM066525","auto",NA,NA,NA,NA
"2","2014-11-06 22:08:00-02","MO","MOBOT","1042360","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","intricata","Jacaranda intricata","A.H. Gentry & Morawetz","A. Gentry, 1987 (MO)",NA,NA,"Wilfried Morawetz","Morawetz 22-151280","1980","12","15","South America","Brazil","Goiás",NA,"Luziania to Cristalina, km 127, Serra dos Cristais",NA,NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-07-09 17:05:00-03","MO","MOBOT","1048222","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","intricata","Jacaranda intricata","A.H. Gentry & Morawetz","A. Gentry, 1987 (MO)",NA,"Isotype","Gert G. Hatschbach","Hatschbach 43100","1980","8","13","South America","Brazil","Goiás",NA,"Rod. BR-040, 5 km de Cristalina.",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-08-31 08:58:47-03","INPA","INPA","201108","S","Plantae","Bignoniaceae","Jacaranda","intricata","Jacaranda intricata","A.H.Gentry & Morawetz",NA,NA,"isotype","Hatschbach, GG","43100","1980","08","13","Southern America","Brasil","Goiás",NA,"Rod. BR-040; 5 km L de Cristalina","-68.5","0.5",NA,"1100","1100",NA,"INPA0201108","INPA0201108 INPA0201108_e INPA0201108_e1",NA,"Dicotyledon Asterids","Lamiales","-68.5","0.5"
