"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01045246","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","R. C. Barneby","W. R. Anderson","7116","1973","03","14","South America","Brazil","Goiás","Silvânia","2-4 km by road N of Funil and the Rio Paraná","-48.4","-16.58959","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189606' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045246","NY01045246_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01479656","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","R. S. Cowan","A. da Silva","294","1944","07","21","South America","Brazil","Pará","Belém","On lands of Instituto Agronomico do Norte, 4 km. so. of Administration Building. Estradas do Barracão de Borracha.","-48.4447503","-1.4380977",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1826054' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479656","NY01479656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01045267","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","A. E. Burkart","A. Macedo","1718","1949","02","25","South America","Brazil","Minas Gerais","Campina Verde","Jaraguá","-49.4864","-19.5358",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189618' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045267","NY01045267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01479657","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","R. C. Barneby","S. A. Mori","15703","1983","07","31","South America","Brazil","Amapá","Macapá","Parque Florestal da Fazendinha, 12 km S of Macapá","-51.09569","-0.04072",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1826073' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479657","NY01479657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 07:41:00-03","NY","NYBG","01479658","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora",NA,NA,"N. A. Rosa","4280","1982","04","27","South America","Brazil","Amapá",NA,"Quadrícula SB-22-VA-ponto 44, região de Maracá.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1826074' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479658","NY01479658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01045268","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","R. C. Barneby","G. G. Hatschbach","23562","1970","02","15","South America","Brazil","Mato Grosso do Sul","Bataguassu","Corrego Feio","-52.4219","-21.7144",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045268","NY01045268_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01045270","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.",NA,"L. Riedel","2255",NA,NA,NA,"South America","Brazil",NA,NA,"Araracoara",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189589' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045270","NY01045270_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01045245","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","M. T. K. Arroyo","H. S. Irwin","16083","1966","05","27","South America","Brazil","Mato Grosso",NA,"Rio Turvo, ca. 210 km. N. of Xavantina. Serra do Roncador.","-51.83","-12.82","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045245","NY01045245_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01045269","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","R. C. Barneby","G. G. Hatschbach","38777","1976","03","14","South America","Brazil","Goiás","Porangatu","Rod. Belem-Brasilia, rio Canabrava","-49.1483","-13.4408",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045269","NY01045269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-02 14:17:00-02","NY","NYBG","01045249","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora",NA,NA,"A. Krapovickas","32911","1977","07","03","South America","Brazil","Mato Grosso do Sul",NA,"40 km E of Aquidauana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189612' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045249","NY01045249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01045248","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","G. A. Aymard Corredor","J. M. Pires","2234","1950","05","26","South America","Brazil","Maranhão","Carolina","Perto de Carolina","-47.46989","-7.33161",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045248","NY01045248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01045247","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","V. E. Rudd","W. R. Anderson","11302","1975","02","09","South America","Brazil","Mato Grosso do Sul","Coxim","1 km N of Coxim","-54.75","-18.491",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189609' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045247","NY01045247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01045243","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","G. A. Aymard Corredor","H. S. Irwin","17567","1966","06","22","South America","Brazil","Goiás","Piranhas","Drainage of the Upper Rio Araguaia.","-51.85","-16.53","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189594' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045243","NY01045243_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-11-02 14:17:00-02","NY","NYBG","01045250","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora",NA,"R. C. Barneby","D. Philcox","4714","1968","04","02","South America","Brazil","Mato Grosso","Barra do Garças","Vale dos Sonhos. 10 km from road","-52.23","-14.63",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189613' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045250","NY01045250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01479659","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","H. S. Irwin","J. M. Pires","52103","1962","07","12","South America","Brazil","Amapá",NA,"Border of Rio Matapi.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1826075' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479659","NY01479659_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01045244","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.","M. T. K. Arroyo","H. S. Irwin","16829","1966","06","09","South America","Brazil","Mato Grosso",NA,"Ca. 20 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.32","-14.82","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189602' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045244","NY01045244_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 07:41:00-03","NY","NYBG","01479655","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora",NA,"G. P. Lewis","G. P. Lewis","1578","1987","03","28","South America","Brazil","Roraima","Boa Vista","Reserva Ecológica de Maracá. Estrada from base camp to Rio Urariquera. To left of track near base of camp, on route to iver.","-61.83","3.58",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1826052' target='other'> <mi>dwc_moreinfo</mi></a>","NY01479655","NY01479655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-08 11:08:59-03","UNESP-IBB","BOTU","14332","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tephrosia","brevipes","Tephrosia brevipes",NA,NA,"Bicudo, L.R.H.","948",NA,NA,NA,NA,"Brasil","São Paulo","Botucatu",NA,"-48.284722","-22.8",NA,NA,NA,"Frutos verdes","BOTU014332",NA,"48°17'05w","22°48's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-08 11:08:59-03","UNESP-IBB","BOTU","8956","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Tephrosia","sessiliflora","Tephrosia sessiliflora","(Poir.) Hassl.",NA,"Campos, C.J.","14","1978","03","13",NA,"Brasil","São Paulo","Botucatu",NA,"-48.433333","-22.883333",NA,NA,NA,"Flores amarelas","BOTU008956",NA,"48°26'w","22°53's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
