"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:32-03","UNESC","CRI","12910","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.","Rodrigo Camargo","2017","09","28","Alexandre Medeiros","2017","09","28","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 735. Habitat: Terrícola Habito: Trepadeira","CRI011518","CRI011518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843478","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.",NA,NA,NA,NA,"A. Cardoso","1967","02","18","Brazil","Distrito Federal","Brasília","Campo Experimental do IRI","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843478","NY01843478_01","Magnoliophyta","Fabales","1093","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843529","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.",NA,NA,NA,NA,"M. J. P. Pires-O'Brien","1986","11","26","Brazil","Pará","Almeirim","Mt. Dourado, Estação Ecológica do Jari, (SEMA). Beira de estrada.","-52.85","-0.5333331",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843529","NY01843529_01","Magnoliophyta","Fabales","1473","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843512","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.",NA,NA,NA,NA,"J. M. Pires","1952","06","16","Brazil","Pará",NA,"Maicurú, Lago Uruxiacá.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076396' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843512","NY01843512_01","Magnoliophyta","Fabales","4304","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01404537","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.","E. D. da Silva",NA,NA,NA,"W. R. Anderson","1973","03","09","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 29 km by road N of Alto Paraíso","-47.3324","-13.9331",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2265497' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404537","NY01404537_01","Magnoliophyta","Fabales","6756","South America","sheet","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843447","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.","E. D. da Silva",NA,NA,NA,"M. Viana","1991","12","28","Brazil","Rio Grande do Sul","Imbé","Praia de Mariluz","-50.1281","-29.9756",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2062480' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843447","NY01843447_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1843503","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.",NA,NA,NA,NA,"B. A. Krukoff","1931","10","02","Brazil","Pará",NA,"Near Cassipa, Tapajos River region",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076384' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843503","NY01843503_01","Magnoliophyta","Fabales","1242","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843504","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.",NA,NA,NA,NA,"J. Jangoux","1981","07",NA,"Brazil","Pará",NA,"Rio Amazonas, entre Alenquer e rio Curuá.","-54.83","-1.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076388' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843504","NY01843504_01","Magnoliophyta","Fabales","1579","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843441","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.","E. D. da Silva",NA,NA,NA,"J. Prado","1993","01","19","Brazil","Paraná","Guaraqueçaba","Vila de Superagui","-48.32","-25.27",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2062391' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843441",NA,"Magnoliophyta","Fabales","408","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:08:59-03","UNESP-IBB","BOTU","9545","PreservedSpecimen","Plantae","Fabaceae","Vigna","longifolia","Vigna longifolia","(Benth.) Verdc.","Rosa, N.A.",NA,NA,NA,"Janssen, A.","1980","08","15","Brasil","Amazonas","Humaitá","Lagoa temporária, 500 m. ao sul da BR 230 km 4.","-63.166667","-7.516667","63º10'w","07°31's",NA,"BOTU009545",NA,NA,NA,"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
