"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode","class","order","typeStatus","individualCount","phylum","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2020-11-13 09:19:39-03","UFRJ","RFA","12351","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B.Sm. & Downs","G.G. Hatschbach","G.G. Hatschbach","20190","1968","11","05","Brasil","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708","30514","100","100","Trepadeira, flor creme esverdeada","RFA11613","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:24:26-03","MBM","MBM","265912","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B. Sm. & Downs","Hatschbach, G.","Tessmann, G.","6178","1938","05","14","Brazil","Paraná","Londrina","Pirapó","-51.1627998352051","-23.3103008270264","63728",NA,NA,NA,"MBM265912","auto","Southern America","MBM265912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-06-22 05:25:00-03","MO","MOBOT","2453866","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B. Sm. & Downs",NA,"Pe. Raulino Reitz","Reitz 3834","1956","10","12","Brazil","Santa Catarina",NA,"Ibirama. Perto da cidade",NA,NA,NA,"100.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2249811","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B. Sm. & Downs",NA,"R. Reitz & R. M. Klein","3834","1956","10","12","Brazil","Santa Catarina",NA,"Beira do Rio, Ibirama.",NA,NA,NA,"100","100",NA,"US00096465",NA,"South America","US00096465_01","Dicotyledonae","Euphorbiales","Holotype","1",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-15 12:06:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia",NA,"G. G. Hatschbach","G. G. Hatschbach","20190","1968","11","5","Brazil","Paraná",NA,NA,"-51","-24",NA,NA,NA,NA,NA,NA,"South America",NA,"Dicotyledoneae",NA,NA,NA,"Spermatophyta","20190",NA,NA,NA,NA,NA
"6","2019-07-09 13:23:00-03","F","FMNH-SEEDPLANTS","V0195369F","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0195369F",NA,"South America","V0195369F_01","Dicotyledoneae",NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA
"7","2019-07-09 13:22:42-03","F","FMNH-SEEDPLANTS","V0210839F","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia",NA,NA,"G. G. Hatschbach","20190","1968","11","5","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0210839F",NA,"South America","V0210839F_01","Dicotyledoneae",NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA
"8","2021-02-08 12:41:08-03","UFRGS","ICN","196892","S","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B. Sm. & Downs","Silva, DF","Silva, DF","40","2017","11","03","Brasil","SC","Ibirama","BR 470, próxima ao Rio Itajaí-açú","-49.468333","-27.088333",NA,NA,NA,"trepadeira; beira da estrada",NA,NA,"América do Sul",NA,NA,NA,NA,NA,"Dicotyledon",NA,"2017","11","03","-49.468333","-27.088333"
"9","2021-02-08 12:41:08-03","UFRGS","ICN","196894","S","Plantae","Euphorbiaceae","Dalechampia","riparia","Dalechampia riparia","L.B. Sm. & Downs","Silva, DF","Silva, DF","42","2017","11","03","Brasil","SC","Ibirama","No interior da cidade","-49.535","-27.0325",NA,NA,NA,"trepadeira; borda da mata",NA,NA,"América do Sul",NA,NA,NA,NA,NA,"Dicotyledon",NA,"2017","11","03","-49.535","-27.0325"
