"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","county","minimumElevationInMeters","individualCount","fieldNumber","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01142267","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10058","1976","10","14","South America","Brazil","Amazonas","Rio Javari, ½ day upstream (approx. 50 miles) from Tabatinga. Palmeri (Attalaia about ½ hours downstream)","-70.2274311","-4.3183286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575515' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142267","NY01142267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","54111","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.",NA,"T. D. Pennington","10074","1976","10","17","South America","Brazil","Amazonas","R Javari, 180 m upstream from Tabatinga","-69.9458769","-4.2440996","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054111","NY00054111_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","54112","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.",NA,"T. D. Pennington","10074","1976","10","17","South America","Brazil","Amazonas","R Javari, 180 m upstream from Tabatinga","-69.9458769","-4.2440996","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=73766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054112","NY00054112_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01142263","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10067","1976","10","16","South America","Brazil","Amazonas","Rio Javari 130m from Tabatinga","-69.9458501","-4.2436984","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575510' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142263","NY01142263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01142265","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10090","1976","10","22","South America","Brazil","Amazonas","345m up Javari River from Tabatinga, Estirão do Equador","-71.6182101","-4.5300408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142265","NY01142265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01142261","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10058","1976","10","14","South America","Brazil","Amazonas","Rio Javari, ½ day upstream (approx. 50 miles) from Tabatinga. Palmeri (Attalaia about ½ hours downstream)","-70.2274311","-4.3183286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575502' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142261","NY01142261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01142264","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10058","1976","10","14","South America","Brazil","Amazonas","Rio Javari, ½ day upstream (approx. 50 miles) from Tabatinga. Palmeri (Attalaia about ½ hours downstream)","-70.2274311","-4.3183286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142264","NY01142264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01142266","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10056","1976","10","14","South America","Brazil","Amazonas","Rio Javari, ½ day upstream (approx. 50 miles) from Tabatinga. Palmeri (Attalaia about ½ hours downstream)","-70.2274311","-4.3183286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575514' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142266","NY01142266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01142262","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","T.D.Penn.","T. D. Pennington","T. D. Pennington","10056","1976","10","14","South America","Brazil","Amazonas","Rio Javari, ½ day upstream (approx. 50 miles) from Tabatinga. Palmeri (Attalaia about ½ hours downstream)","-70.2274311","-4.3183286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575509' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142262","NY01142262_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:30:25-03","NBC","NL-BOTANY","U.1397475","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Guarea","cristata","Guarea cristata","Penn.",NA,"Krukoff BA",NA,"1936","10","26","Southern America","Brazil",NA,"Basin of Rio Solimoes, State of Amazonas: Municipality São Paulo de Olivença; basin of creek Belem.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1397475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1397475","NL-U1397475",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
