"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","452229","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","S. G. Beck","S. G. Beck","9712","1983","10","23","South America","Bolivia","Tarija","Burnet O'Connor","Entre Ríos, 12-20 km. hacia Villamontes. Bajando el abra de San Simón.","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00982584","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.",NA,"J. A. Ratter","R5124V","1985","10","08","South America","Brazil","Mato Grosso do Sul",NA,"Close to the airport (Morro de Zé Feliciano)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982584","NY00982584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","452221","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","G. P. Lewis","G. P. Lewis","2002","1991","04","22","South America","Brazil","Bahia",NA,"27 km. S of Livramento do Brumado on road to Brumado, near two hamlets of Fazendinha and Itapicuru",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452221","NY00452221_01","-41.75","-13.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","452225","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","G. P. Lewis","R. M. Harley","21516","1980","04","18","South America","Brazil","Bahia",NA,"Basin of the Upper Sao Francisco River. Just beyond Calderao, ca. 32 km., NE from Bom Jesus da Lapa","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452225","NY00452225_01","-43.22","-13.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 06:53:00-03","NY","NYBG","452227","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis",NA,"C. H. Stirton","I. Peredo","417","1945","03","11","South America","Bolivia","Santa Cruz",NA,"Cabezas (Cordillera)","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00982534","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","B. A. S. Pereira","B. A. S. Pereira","3035","1996","04","29","South America","Brazil","Goiás","Cavalcante","km 15 da estrada Teresina de Goiás/Cavalcante","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982534",NA,"-47.5","-13.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00868763","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","R. C. Barneby","R. Saraiva","303","1990","04","19","South America","Brazil","Acre","Senador Guiomard","Area de Estudos Florestais, BR-317 km 68, margem direita",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868763","NY00868763_01","-67.75","-10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00982559","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","B. A. S. Pereira","B. A. S. Pereira","3009","1996","04","28","South America","Brazil","Goiás","Posse","km 19 da estrada Posse/Iaciara","650","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982559","NY00982559_01","-46.25","-14.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00452213","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis","(Allemão) A.C.Sm.","G. P. Lewis","M. H. Nee","34551","1987","03","29","South America","Brazil","Rondônia","Costa Marques","Ca. 5 km. NW of Costa Marques","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452213","NY00452213_01","-64.23","-12.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017-02-01 14:11:00-02","NY","NYBG","452231","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Amburana","cearensis","Amburana cearensis",NA,NA,"A. L. Bernardi","20316","1980","03","26","South America","Paraguay","Alto Paraguay",NA,"Fuerte Olimpo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
