"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","locality","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:41-03","UNESC","CRI","2953","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans","(Sw.) Triana","Wurdach","A. P. Duarte","1963","05","03","Brasil","Minas Gerais","Augusto de Lima","-44.267222","-18.109722","44º16'2''W","18º6'35''S","561","561","CRI004409","CRI004409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","202941","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"De Carvalho, V.M.; Farias, R.; Milhomens Fonseca, L.C.; Potzernheim, M.L.; Proença, C.; Cardoso Rosa, L.O.G.; de Carvalho, A.M.; de Carvalho, J.A.","1998","09","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00202941",NA,"1997","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217631","<a href=http://data.rbge.org.uk/herb/E00202941 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:32-03","E","E","104511","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00104511",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:113709","<a href=http://data.rbge.org.uk/herb/E00104511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:32-03","E","E","83904","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S., Simon, M.F.","1996","09","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00083904",NA,"1523","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92778","<a href=http://data.rbge.org.uk/herb/E00083904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:32-03","E","E","190812","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Pennington, R.T.; Monro, A.K.; Daza, A.","2002","11","17","PE","Departamento Junín",NA,NA,NA,NA,NA,NA,NA,"E00190812",NA,"4023","W. Tropical South America","herbarium specimen of unspecif","BGBASE:213799","<a href=http://data.rbge.org.uk/herb/E00190812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:41:32-03","E","E","99995","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Ratter, J.A., Bridgewater, S., Filho, J. Fonsêca & Dias, T.","1999","08","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00099995",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:109531","<a href=http://data.rbge.org.uk/herb/E00099995 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:41:32-03","E","E","83676","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","19","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00083676",NA,"19","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92659","<a href=http://data.rbge.org.uk/herb/E00083676 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:32-03","E","E","247962","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Betancur, Julio B. & Belásquez, Ma. P.","1990","01","27","CO","Departamento de Caqueta","San Vicente Del Caguan","-49","1.85","-49.000000","1.850000",NA,NA,"E00247962",NA,"1573","W. Tropical South America","herbarium specimen of unspecif","BGBASE:278128","<a href=http://data.rbge.org.uk/herb/E00247962 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Sabanas del Yari, Vereda Yaguara, Hato Montecarlo, 240 msnm, sabanas arbustivas de tipo cerrado, en regenerzcion.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:32-03","E","E","270707","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","1997","05","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00270707",NA,"47","E. Tropical South America","herbarium specimen of unspecif","BGBASE:282649","<a href=http://data.rbge.org.uk/herb/E00270707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:32-03","E","E","83719","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans",NA,NA,"Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","21","BR",NA,NA,NA,NA,NA,NA,NA,NA,"E00083719",NA,"41","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92675","<a href=http://data.rbge.org.uk/herb/E00083719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
