"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","recordNumber","year","month","day","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus"
"1","2021-03-31 13:41:14-03","MN","R","43946","PreservedSpecimen","Plantae","Orchidaceae","Pleurothallis","ruschii","Pleurothallis ruschii","Hoehne","Pabst, G.F.J.","1953","11","22","Ruschi, A.","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","780","780","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-11 17:21:00-03","UFPR","UPCB","88083","PreservedSpecimen","Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","Smidt, E.C.","2016","10",NA,"Royer, C.A. | Cardoso, W.C.","Brasil","Espirito Santo","Santa Teresa","-40.540556","-19.963889",NA,NA,NA,NA,"143","2016","10","05","Estação Biológica Santa Lúcia.","-40.540556","-19.963889","Amostra conservada em solução de glicerina com álcool..",NA,NA,NA
"3","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","12292",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,NA,NA,"2786","2000","03","30","Estação Biológica de Santa Lúcia","40W31'49","19S58'17","Mata baixa com solo de areia. Epifita. Folhas carno verde pontilhadas de vinoso. Sepalos brancos pontilhados de vinoso. Petalos amarelos na base, brancos no apice. Labelo branco pontilhado de vinoso. Coluna amarela.","MBML012292",NA,NA
"4","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","13139",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann; et al","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,NA,NA,"3032","2000","06","21","Estação Biológica de Santa Lúcia","40W31'49","19S58'17","Mata de encosta. Epífita na meia sombra. Frutos verdes.","MBML013139",NA,NA
"5","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","16533",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"A. P. Fontana; et al","Brasil","Espírito Santo","Santa Teresa","-40.617778","-19.931111",NA,NA,NA,NA,"163","2001","08","02","Valsugana Velha","40W37'4","19S55'52","Epífita; coluna amarela esverdeada; pét. Amarelas transparentes, sép. Grandes com pintas vermelhas na parte externa. Labelo c/ pintas vermelhas.","MBML016533",NA,NA
"6","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","34528",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"A. P. Fontana ; C. Esgario","Brasil","Espírito Santo","Santa Teresa","-40.581667","-19.950278",NA,NA,NA,NA,"1632","2005","08","02","Valsugana Velha, propriedade Dr. Pedro","40W34'54","19S57'1","Epífito, flores com labelo e sép. Verdes um pouco transparentes com máculas vináceas, pét. Translúcidas com base amarela, coluna amarela","MBML034528",NA,NA
"7","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","43156",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"A. P. Fontana; L. Kollmann, C. Esgario & M. Belisário","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,NA,NA,"1479","2005","06","17","Estação Biológica de Santa Lúcia, trilha Indaiaçu","40W31'49","19S58'17","Epífita, flores amarelas-esverdeadas, labelo amarelo com pintas vináceas","MBML043156",NA,NA
"8","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","49909",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer",NA,NA,NA,NA,"J. Herzog","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guy Chiron nº 12091","MBML049909","MBML049909",NA
"9","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","50408",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer",NA,NA,NA,NA,"A.D. Ferreira; P.J. Coelho","Brasil","Espírito Santo","Santa Teresa","-40.533333","-19.95",NA,NA,NA,NA,"245","2015","04","11","RPPN Vale do Sol, Floresta Ombrófila Densa, floresta topo do morro, no interior da mata do morro do eucalipto cachorro","40W32'0","19S57'0","Orquídea epífita, flor pouco visível, microorquídea, flor interior amarelo e pétalas marrons claras com pontoações, botão marrom","MBML050408",NA,NA
"10","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","533",NA,"Plantae","Orchidaceae","Pabstiella","ruschii","Pabstiella ruschii","(Hoehne) Luer","H.L. Silva/17-01-2020",NA,NA,NA,"W. Boone","Brasil","Espírito Santo","Santa Teresa","-40.617778","-19.931111",NA,NA,NA,NA,"770","1985","09","16","Valsugana Velha","40W37'4","19S55'52","Epífita, sépalas verdes com manchas vináceas, pétalas e coluna amarelo claras, labelo coberto com pontos vináceos, fruto verde, capoeirão, semi-sombra. Em meio líquido.","MBML000533",NA,NA
"11","2019-11-21 10:13:44-03","IBt","SP","359190","S","Plantae","Orchidaceae","Pleurothallis","ruschii","Pleurothallis ruschii","Hoehne","Barros, F","1980",NA,NA,"Silva, EF","Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,"s.n.","1980",NA,NA,"Sul do Estado",NA,NA,NA,NA,NA,NA
"12","2019-11-21 10:13:44-03","IBt","SP","40233","S","Plantae","Orchidaceae","Pleurothallis","ruschii","Pleurothallis ruschii","Hoehne","Hoehne, FC","1939",NA,NA,"Ruschi, A","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto","48","1939","04",NA,"Cultivado no Orquidário do Jardim Botânico de São Paulo",NA,NA,NA,"SP002380","SP002380","Syntype"
