"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","individualCount","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","221379","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade","isotype","A. Gehrt","8644","1922","02","02","South America","Brazil","São Paulo","Alto de Sierra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221379","NY00221379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:13:19-03","ESALQ","ESA","18133","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"Moncaio, E. et al.","33.0","1994","09","09",NA,"Brasil","São Paulo",NA,NA,NA,"ESA018133",NA,"Souza, V.C.","1995","12","16","Juquiá","-47.6300010681152","-24.3199996948242","32505","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:19-03","ESALQ","ESA","21906","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"Souza, J.P.; Zandoval, J.A.; Miyagi, P.H.","124.0","1995","02","16",NA,"Brasil","São Paulo","Cachoeira do Chá, a 12km de Tapiraí em direção a Juquiá. 20° 01' 46,6 S; 47° 33' 39 W. Mata mesófila.",NA,"Subarbusto 20-30cm alt. Pontuações brancas com tricomas caducos ao longo das nervuras na face superior em folhas jovens, frutos imaturos creme esverdeados com nervuras vináceas.","ESA021906",NA,NA,NA,NA,NA,"Tapiraí","-47.5","-23.9599990844727","41034","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:33:40-03","UNICAMP","UEC","206092","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Baumgratz",NA,"Handro, O","2113","1970","01","12",NA,"Brazil","São Paulo","Brasil, São Paulo, Paranapiacaba:Estação Biológica.Via férrea São Paulo-Santos.",NA,"Flores alvas.; No humus da mata sombria e húmida.","UEC178600",NA,"Handro, O","1970","02",NA,"Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2615259","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"O. Handro","2113","1970","1","12","South America - Neotropics","Brazil","São Paulo","(Via férrea são Paulo-Santos), Estação Biológica",NA,NA,"US01901294","US01901294_01 US01901294_02",NA,NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"6","2019-11-13 11:25:10-03","USP","SPF","72026","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"Handro, O","2113","1970","01","12",NA,"Brasil","São Paulo","Paranapiacaba, Estação Biológica",NA,NA,"SPF00072026",NA,"Handro, O","1970","02",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-23 12:12:36-03","CEPLAC","CEPEC","97477","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana",NA,NA,"A. M. Amorim","3239","2000","01","27",NA,"Brasil","São Paulo","Distrito de Paranapiaçaba. Acesso pela SP-122. Estação Biológica do Alto da Serra.",NA,NA,NA,NA,"A. M. Amorim",NA,NA,NA,"SANTO ANDRÉ","-46.316667","-23.783333",NA,NA,NA,NA,"46W19'","23S47'","30/12/2000",NA,NA,NA,NA
"8","2019-11-21 10:09:33-03","IBt","SP","366466","S","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"Amorim, AM; Vieira, S","3239","2000","01","27",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Distrito de Paranapiacaba. Acesso pela SP 122",NA,NA,NA,NA,"Amorim, AM","2000",NA,NA,"Santo André","-46.316667","-23.783333",NA,NA,NA,NA,"-46.316667","-23.783333",NA,"750","900",NA,NA
"9","2020-11-19 09:29:31-03","IBt","SP","366467","S","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade",NA,"Amorim, AM; Vieira, S","3228","2000","01","27",NA,"Brasil","São Paulo","E.B. do Alto da Serra de Paranapiacaba, Distrito de Paranapiacaba. Acesso pela SP 122",NA,NA,NA,NA,"Cordeiro, I","2003","11",NA,"Santo André","-46.316667","-23.783333",NA,NA,NA,NA,"-46.316667","-23.783333",NA,"750","900",NA,NA
"10","2019-11-21 10:09:33-03","IBt","SP","10996","S","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade","Isotype","Gehrt, A","s.n.","1922","02","02",NA,"Brasil","São Paulo","Alto da Serra, Estação Biológica. Mata",NA,"Flores alvas","SP001138","SP001138","Handro, O","1957","08",NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2010-08-16 16:43:06-03","GH","HU-HERB","GH 00071907","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Bertolonia","hoehneana","Bertolonia hoehneana","Brade","Isotype","A. Gehrt","8644","1922","2","2","South America","Brazil","São Paulo","Alto da Serra, Matta da Estacao Biologica","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8644","undetermined"
