"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:36-03","UNESC","CRI","1016","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","Mart. ex Miq.","Marcos Sobral","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1294","1990","04","22","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004734","CRI004734",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","877","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","Mart. ex Miq.","Vanilde Citadini- Zanette","V. Citadini-Zanette; C. L. Capella & M. Batista","877","1987","12","10","Brasil","Santa Catarina","Camboriú","Ponta da guada.","-48.654722","-27.025833","48º39'17''W","27º1'33''S","10","10","CRI004732","CRI004732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:36-03","UNESC","CRI","1077","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","Mart. ex Miq.","Paulo Brack","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1355","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004731","CRI004731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:36-03","UNESC","CRI","1136","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","Mart. ex Miq.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1386","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004730","CRI004730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:40-03","E","E","146959","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis",NA,NA,"Pott, A.;","3446","1987","09","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00146959",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171333","<a href=http://data.rbge.org.uk/herb/E00146959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","869409","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","(Mart. ex Miq.) Miq.","C. C. Berg","H. S. Irwin","27774","1970","03","17","Brazil","Minas Gerais",NA,"Serra do Espinhaço. Rio Jequiti, ca. 25km E. of Diamantina",NA,NA,NA,NA,"790","790","NY00869409","NY00869409_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049157' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 00:01:00-03","NY","NYBG","1016830","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis",NA,"J. P. P. Carauta","J. M. Cruz","148","1999","08","13","Brazil","Paraná","Campina Grande do Sul","Subida ao Morro Camacuã.","-49.0553","-25.3058",NA,NA,NA,NA,"NY01016830","NY01016830_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193502' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","869373","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","(Mart. ex Miq.) Miq.","C. C. Berg","G. G. Hatschbach","36494","1975","02","25","Brazil","Minas Gerais","Diamantina","Biri-Biri","-43.6003","-18.2494",NA,NA,NA,NA,"NY00869373",NA,"South America","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1044578' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886785","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","(Mart. ex Miq.) Miq.","C. C. Berg","W. W. Thomas","13542","2003","07","25","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","-40.1908","-13.9394",NA,NA,"835","835","NY00886785","NY00886785_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171514' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","886787","PreservedSpecimen","Plantae","Moraceae","Ficus","enormis","Ficus enormis","(Mart. ex Miq.) Miq.","C. C. Berg","G. G. Hatschbach","48188","1984","09","14","Brazil","Bahia",NA,"Brejões, 6 km S",NA,NA,NA,NA,NA,NA,"NY00886787","NY00886787_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1062556' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
