"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","identifiedBy","yearIdentified","monthIdentified","recordNumber","barcode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","imagecode"
"1","2021-03-22 17:45:38-03","UFPI","TEPB","3019","PreservedSpecimen","Plantae","Fabaceae","Centrosema","jaraguaense","Centrosema jaraguaense","Hoehne","A . S. Lopes","1983","07","24","Brasil","Piauí","Uruçuí","Margem do Rio do Prata, Estação Ecológica de Uruçuí Una","-44.5560989379883","-7.22944021224976","137737","erva escandente, flor roxa. Ambiente: Brejo de Cerrado","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-01 15:28:15-03","PUC-RIO","FCAB","1624","PreservedSpecimen","Plantae","Fabaceae","Centrosema","jaraguaense","Centrosema jaraguaense","Hoehne","P. Capell S.J.","1953","03",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838","33190",NA,"auto","Angiospermae","Jorge Yoshio Tamashiro","1981","11","s.n.","001624",NA,NA,NA,NA,NA,NA,NA
"3","2020-09-02 16:27:25-03","Cenargen","CEN","21548","PreservedSpecimen","Plantae","Fabaceae Faboideae","Centrosema","jaraguaense","Centrosema jaraguaense","Hoehne","Lídio Coradin","1987","08","24","Brasil","GO","JARAGUA","Pico do Jaraguá.","-49.334400177002","-15.7568998336792","39368","Material estéril. Ocorrência muito localizada. Bom desenvolvimento vegetativo. Ramos de vários metros de comprimento.","auto",NA,"L. P. Queiroz","1999","08","8216","CEN00021548","-4675000.0","-2346667.0","1050","1050","Exsicatas","5","CEN00021548"
"4","2020-09-02 16:27:25-03","Cenargen","CEN","11617","PreservedSpecimen","Plantae","Fabaceae Faboideae","Centrosema","jaraguaense","Centrosema jaraguaense","Hoehne","Dimitri Sucre Benjamin","1968","02","10","Brasil","RJ","TERESOPOLIS","Posse4, Morro das Antenas de TV.","-42.9655990600586","-22.4122009277344","38539","Nascendo em campo de vegetação muito baixa. Doação oriunda do Jardim Botânico do Rio de Janeiro (RB 138466).","auto",NA,"V. P. Barbosa","1975","05","2336","CEN00011617",NA,NA,NA,NA,"Exsicatas","1","CEN00011617"
