"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","recordNumber","coordinatePrecision","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:44-03","UNESC","CRI","12804","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Renato Colares & Aline V. Guislon","2017","11","07","Aline Votri Guislon; Vanessa Bernardo & Renato Colares","2017","07","05","Brasil","Santa Catarina","Grão Pará","Área 2. Área degradada em sucessão ecológica.","-49.389722","-28.189167","49º23'23''W","28º11'21''S","Habito: Arbóreo","CRI011068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","7958","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Vanilde Citadini- Zanette","2007","08","23","Beatriz Wessler; Bruna Alberton","2007","08","22","Brasil","Santa Catarina","Criciúma","SANTEC Resíduos.","-49.37","-28.678056","49º22'12''W","28º40'41''S","Floresta Ombrófila Densa Submontana Habitat: borda da mata Habito: arbóreo","CRI004906","58","58","CRI004906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:36-03","UNESC","CRI","11834","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","2016","04","04","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.392778","-28.191667","49º23'34''W","28º11'30''S","Floresta Ombrófila Densa Montana Habito: árvore","CRI004727","490","490","CRI004727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:44-03","UNESC","CRI","8789","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Vanilde C. Zanette","2001","08","09","Andressa; Maristela Giasse & Vanilde Citadini Zanette","2001","08","09","Brasil","Santa Catarina","Criciúma","Bairro Santo André.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI004729","58","58","CRI004729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:36-03","UNESC","CRI","15230","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Aline Votri Guislon","2020","01","30","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Renato Colares","2018","10","09","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Área L6 (florística) Bairro Dagostim","-49.359722","-28.765833","49º21'35''W","28º45'57''S","Fruto imaturo verde. Habito: Arbóreo","CRI014645","40","40","CRI014645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:44-03","UNESC","CRI","5380","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","J. L. Waechter","1991","04","02","J. A. Jarenkow; J. L. Waechter","1989","05","25","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","CUrral do Arroio.","-53.368333","-33.519444","53º22'6''W","33º31'10''S","Habito: arvoreta","CRI004728","24","24","CRI004728","1286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:36-03","UNESC","CRI","14167","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Robson dos Santos & Vanilde Citadini","2001","08","09","Robson dos Santos & Vanilde Citadini","2001","08","09","Brasil","Santa Catarina","Praia Grande",NA,"-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habitat: Terrestre Habito: Arbórea","CRI012819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:44-03","UNESC","CRI","12050","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Guilherme Lodetti",NA,NA,NA,"Guilherme Alves Elias; Guilherme Lodetti; Robson dos Santos & Peterson Teodoro Padilha","2016","07","28","Brasil","Santa Catarina","Grão Pará",NA,"-49.392222","-28.156389","49º23'32''W","28º9'23''S","Habito: Arbóreo","CRI010228","450","450","CRI010228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:44-03","UNESC","CRI","5355","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1992","11","16","Brasil","Rio Grande do Sul","Torres","Lageadinho.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","Habito: árvore","CRI004726","36","36","CRI004726","2188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:44-03","UNESC","CRI","7644","PreservedSpecimen","Plantae","Moraceae","Ficus","luschnathiana","Ficus luschnathiana","(Miq.) Miq.","Rafael Martins","2008","06","20","Caroline de Faveri; Jean Gabriel Cemin","2008","01","30","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI004723","30","30","CRI004723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
