"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","occurrenceRemarks","class","coordinatePrecision","geoFlag","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:57-03","UNESC","CRI","984","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","André Luis de Gasper","2009","01","12","V. Citadini-Zanette; A. J. de Aguiar & M. Butuhy","1283","1988","09","08","Brasil","Santa Catarina","Jaguaruna","Lagoa do Camacho.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","CRI008510","CRI008510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","10462","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"Valdemar Boff",NA,"1999","04","20","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI008509","CRI008509","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03527934","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"M. H. Nee","56662","2009","11","08","Bolivia","Santa Cruz","Ignacio Warnes","1.3 km WSW of center of Okinawa, on road from Montero to “Puerto Macdonald” on the Rio Grande.","-62.9086","-17.2236",NA,NA,"NY03527934",NA,"260",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3822182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4058560","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"J. J. Copeland","s.n.","1971","04","10","Trinidad and Tobago",NA,NA,"Trinidad. Maracas Bay","-61.431625","10.757128",NA,NA,"NY04058560","NY04058560_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366617' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","812754","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"H. Luederwaldt","s.n.","1914","06",NA,"Brazil","São Paulo",NA,"Piassaguéra, Santos.","-46.387953","-23.873871",NA,NA,"NY00812754","NY00812754_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=250037' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4058557","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"W. E. Broadway","2292","1908","08","03","Trinidad and Tobago","Tobago",NA,"Botanic Station. Wild in the district.",NA,NA,NA,NA,"NY04058557","NY04058557_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4366614' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02104157","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","R. C. Moran; F. B. Matos",NA,NA,NA,"L. Nusbaumer","4084","2014","05","20","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","-36.439834","-9.252708",NA,NA,"NY02104157","NY02104157_01","660",NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2512265' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886668","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","F. B. Matos",NA,NA,NA,"F. B. Matos","1211","2006","07","11","Brazil","Paraná","Antonina","Reserva Natural Rio Cachoeira (SPVS). Trilha do Queimado.","-48.68","-25.3",NA,NA,"NY00886668","NY00886668_01","10","10","Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032060' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","812758","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","J. Prado",NA,NA,NA,"G. G. Hatschbach","44960","1982","06","02","Brazil","Paraná","Antonina","Itapema de Baixo.","-48.7117","-25.4286",NA,NA,"NY00812758","NY00812758_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386182' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02565659","PreservedSpecimen","Plantae","Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.",NA,NA,NA,NA,"G. L. Sobel","4916","1984","10","30","Brazil","Pará","Anajás","4 hours boat ride dowstream from Anajás on Rio Anajás","-50.0633991","-0.9291784",NA,NA,"NY02565659","NY02565659_01",NA,NA,"Pteridophyta","Polypodiales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2823080' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
