"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","fieldNumber","class","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","sex"
"1","2020-09-23 10:37:42-03","E","E","429172","PreservedSpecimen","Plantae","Compositae","Gardnerina","angustata","Gardnerina angustata","unspecified kind of","Gardner, George","3809","1905","01","10","E. Tropical South America","BR","Goias","Piauhy, Goyaz","herbarium specimen of unspecif","BGBASE:460442","<a href=http://data.rbge.org.uk/herb/E00429172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00429172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:42-03","E","E","429173","PreservedSpecimen","Plantae","Compositae","Gardnerina","angustata","Gardnerina angustata","unspecified kind of","Gardner, George","3809",NA,NA,NA,"E. Tropical South America","BR","Goias","Goyaz","herbarium specimen of unspecif","BGBASE:460445","<a href=http://data.rbge.org.uk/herb/E00429173 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00429173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","232492","PreservedSpecimen","Plantae","Asteraceae","Piqueria","angustata","Piqueria angustata","isotype","G. Gardner","VIII.3809","1840","03",NA,"South America","Brazil",NA,"In rupibus calcareis umbrosis sylvarum prope Villa de Arrayas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232492","Magnoliophyta","Asterales","Gardner","NY00232492_01 NY00232492_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","232491","PreservedSpecimen","Plantae","Asteraceae","Piqueria","angustata","Piqueria angustata","isotype","G. Gardner","3809","1841",NA,NA,"South America","Brazil","Goiás",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232491","Magnoliophyta","Asterales","Gardner","NY00232491_01 NY00232491_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","158370","PreservedSpecimen","Plantae","Asteraceae","Piqueria","angustata","Piqueria angustata","isotype","G. Gardner","3809",NA,NA,NA,"South America","Brazil","Goiás","Goyaz","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=402107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00158370","Magnoliophyta","Asterales","Gardner","NY00158370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:37:55-02","BGBM","B","B 10 0093582","S","Plantae","Compositae","Gardnerina","angustata","Gardnerina angustata",NA,"?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093582 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093582",NA,NA,"R.M.King & H.Rob.","B100093582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:37:55-02","BGBM","B","B 10 0093583","S","Plantae","Compositae","Gardnerina","angustata","Gardnerina angustata",NA,"?",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093583 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093583",NA,NA,"R.M.King & H.Rob.","B100093583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-10-03 21:16:27-03","MNHN","RECOLNAT_MNHN_P","P00755896","PreservedSpecimen",NA,"Asteraceae","Gardnerina","angustata","Gardnerina angustata",NA,"Gardner, G.",NA,NA,NA,NA,NA,"Brésil",NA,"Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00755896' target='other'> <mi>dwc_moreinfo</mi></a>","P00755896",NA,NA,"(Gardner) R.M.King & H.Rob.","P00755896_01 P00755896_02","Nakajima","3809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-10-03 16:34:04-03","MNHN","RECOLNAT_MNHN_P","P00755897","PreservedSpecimen",NA,"Asteraceae","Gardnerina","angustata","Gardnerina angustata",NA,"Gardner, G.",NA,NA,NA,NA,NA,"Brésil",NA,"Goyaz","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00755897' target='other'> <mi>dwc_moreinfo</mi></a>","P00755897",NA,NA,"(Gardner) R.M.King & H.Rob.","P00755897_01 P00755897_02","Nakajima","3809",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-07 09:11:27-03","UEFS","HUEFS","156171","PreservedSpecimen","Plantae","Asteraceae","Gardnerina","angustata","Gardnerina angustata",NA,"Queiroz, L.P.de","14153","2009","04","24",NA,"Brasil","Goiás","Estrada Nova Roma a São Domingos, após a balsa no rio Paranâ, ao lado da Fazenda Cedro.",NA,NA,"Afloramento calcário.","HUEFS0156171","Angiospermae","Asterales","(Gardner) R.M.King & H.Rob.","HUEFS0156171","D.J.N.Hind",NA,"Asteranae","2014","06","São Domingos","-46.830556","-13.528333","46W49'50''","13S31'42''","448","448",NA,NA
