"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","identifiedBy","recordNumber","continentOcean","locality","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:25:37-03","UNESC","CRI","4189","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea","O.Berg","Valdemar Boff","1995","11","28","Brasil","Santa Catarina","Araranguá","-49.486389","-28.935556","49º29'11''W","28º56'8''S","Flores brancas. Habito: Arbustivo","CRI012847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","567214","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea hatschbachii","(Mattos) D.Legrand","L. R. Landrum","1981","12","02","Brazil","Paraná","Palmeira","-49.83","-25.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567214","Magnoliophyta","Myrtales","hatschbachii","L. R. Landrum","3956","South America","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Rossa.","sheet","NY00567214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","567213","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea hatschbachii","(Mattos) D.Legrand","L. R. Landrum","1981","12","02","Brazil","Paraná","Palmeira","-49.83","-25.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429525' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567213","Magnoliophyta","Myrtales","hatschbachii","L. R. Landrum","3955","South America","Fazenda Santa Rita, ca. 65 km W of Curitiba on rd to Ponta Rossa.","sheet","NY00567213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","567219","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","L. B. Smith","1956","12","25","Brazil","Santa Catarina","Xanxerê","-52.4042","-26.8769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567219","Magnoliophyta","Myrtales","aurea","L. R. Landrum","9223","South America","11 km north of Abelardo Luz.","sheet","NY00567219_01","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","567229","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","A. de Mattos","1948","02","06","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567229","Magnoliophyta","Myrtales","aurea","L. R. Landrum","247","South America","Estrada de Canela a Salto.","sheet","NY00567229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","567220","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","L. B. Smith","1971","12","04","Brazil","Paraná","Palmas","-51.9906","-26.4844",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567220","Magnoliophyta","Myrtales","aurea","L. R. Landrum","15631","South America","10 km northwest of Palmas.","sheet","NY00567220_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","567226","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","G. G. Hatschbach","1966","03","13","Brazil","Paraná","Palmas","-51.9906","-26.4844",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567226","Magnoliophyta","Myrtales","aurea","L. R. Landrum","15403","South America","S. Agostinho.","sheet","NY00567226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-02-01 13:40:00-02","NY","NYBG","567235","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","P. Jorgensen",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567235","Magnoliophyta","Myrtales","aurea","L. R. Landrum","3646","South America","Villairien [illegible].","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","567221","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","L. B. Smith","1964","11","15","Brazil","Santa Catarina","Abelardo Luz","-52.33","-26.53",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567221","Magnoliophyta","Myrtales","aurea","L. R. Landrum","13307","South America","8-12 km north of Abelardo Luz.","sheet","NY00567221_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","567233","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea","O.Berg","K. Hagelund","1982","03","12","Brazil","Rio Grande do Sul","Arroio dos Ratos","-51.7292","-30.0772",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567233","Magnoliophyta","Myrtales",NA,NA,"13800","South America","Fazenda Faxinal - Arroio dos Ratos","sheet","NY00567233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","567225","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","aurea","Campomanesia aurea aurea","O.Berg","G. G. Hatschbach","1980","12","12","Brazil","Paraná","Palmas","-51.9906","-26.4844",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=205712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567225","Magnoliophyta","Myrtales","aurea","L. R. Landrum","43449","South America","Palmas, rod. p/ Ponte Serrada.","sheet","NY00567225_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
