"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1181423","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","D. C. Zappi","B. R. Silva","1363","2004","10","27","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estradual do Ibitipoca. Estrada para Lombada.","-43.8894","-21.6867","1790","1790","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369992' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181423","NY01181423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823420","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia mugiensis","Loes.",NA,"J. C. Lindeman","3369","1966","11","23","South America","Brazil","Paraná",NA,"Parque Nacional do Iguaçu, forest near N border of park, 2.5 km W of road to Capanema, line C 3.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949789' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823420","NY00823420_01","mugiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","497074","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","O. A. Guimarães","A. C. Cervi","2207","1983","10","28","South America","Brazil","Paraná","Ponta Grossa","Rio dos Papagáios","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497074","NY00497074_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00497068","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"A. F. Regnell","I119",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497068","NY00497068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","497069","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","L. B. Smith","R. Reitz","6461","1958","02","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497069","NY00497069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497070","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"A. F. M. Glaziou","15901",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Petrópolis","Montagni des Orgaos, Petropolis","-43.1783","-22.505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497070","NY00497070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","497073","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","G. Edwin","G. G. Hatschbach","19965","1968","10","10","South America","Brazil","Paraná","Arapoti","Rio das Cinzas","-49.8267","-24.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497073","NY00497073_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","497072","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","J. C. Lindeman","J. C. Lindeman","3051","1966","10","16","South America","Brazil","Paraná","Jaguariaíva","Bank of Rio 5 Reis, 5 km S. of Jaguariaíva","-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497072","NY00497072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","497071","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek","G. Edwin","L. B. Smith","14623","1965","01","16","South America","Brazil","Paraná","Jaguariaíva","Lajeado Cinco Reis","-49.28","-24.28","860","860","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=290091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497071","NY00497071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:28:40-03","UNESP-IBB","BOTU","18900","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","chamaedryfolia","Ilex chamaedryfolia","Reissek",NA,"Amaral Jr., A.","292","1993","03","19",NA,"Brasil","São Paulo","Campos do Jordão","Caminho de São José dos Alpes. Trilha do Sapucaí",NA,NA,NA,NA,NA,NA,"BOTU018900","BOTU018900",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
