"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:39-03","UNESC","CRI","13164","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","catharinensis","Myrcia catharinensis","(D.Legrand) NicLugh.","Oliveira, AA de","2015","02","05","Oliveira, A.A. de","1062","2015","02","05","Brasil","Santa Catarina","Leoberto Leal","Rio do Meio. Rio do Meio.","-49.316667","-27.5375","49º19'W","27º32'15''S","847","847","Regeneração IFFSC 345 /L/51 Habitat: Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa; Estágio médio de regeneração Habito: flor estames brancos","CRI011873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","13658","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Alexandre Medeiros","2018","02","28","Alexandre Medeiros",NA,"2018","02","28","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho","-48.637778","-27.001389","48º38'16''W","27º0'5''S",NA,NA,"Coleta 871 Indivíduo com Flor Branca Habitat: Terrestre Habito: Arbóreo","CRI012265","CRI012265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","8545","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","M. Sobral","2004","04","24","Rafael Martins",NA,"2004","04","24","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI005429","CRI005429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","9719","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","A. Korte","2009","11","05","A. Korte; A. Kniess","720","2009","11","05","Brasil","Santa Catarina","Leoberto Leal","Rio Feijão.","-49.230556","-27.450278","49º13'50''W","27º27'1''S","850","850","Floresta Ombrófila Densa Habito: arbórea","CRI005430","CRI005430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:40-03","UNESC","CRI","14533","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Stival-Santos, A","2010","06","19","Stival-Santos, A.; Legal, E. & Silveira, S.","3064","2010","06","19","Brasil","Santa Catarina","Palhoça","Maciambú. Maciambú.","-48.69","-27.81","48º41'24''W","27º48'36''S","220","220","Florística IFFSC 256 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva; Fruto verde;","CRI013573","CRI013573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","1574","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Marcos Sobral",NA,NA,NA,"R. Negrelle; et al.","250","1992","07","28","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI005434","CRI005434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:40-03","UNESC","CRI","1139","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1389","1992","03","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005431","CRI005431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:40-03","UNESC","CRI","672","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1022","1991","04","11","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI005425","CRI005425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:40-03","UNESC","CRI","13045","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Stival-Santos, A","2010","03","15","Stival-Santos, A.; Legal, E. & Silveira, S.","1485","2010","01","27","Brasil","Santa Catarina","Angelina","Coqueiral. Coqueiral.","-49.049722","-27.54","49º2'59''W","27º32'24''S","835","835","Florística IFFSC 348 (Arvoreta) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado; beira da estrada Habito: arvoreta; flor branca","CRI011637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:47-03","UNESC","CRI","1573","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","hebepetala","Myrcia hebepetala","DC.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; et al.","275","1992","08","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI005435","CRI005435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
