"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","typeStatus","stateProvince","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:33-03","E","E","167079","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Fiebrig, K.","297","1902","10","19","E. Tropical South America","PY","Cordillera de Altos.","herbarium specimen of unspecif","BGBASE:172733","<a href=http://data.rbge.org.uk/herb/E00167079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","167076","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.","2658","1972","10","24","E. Tropical South America","BR","State of Minas Gerais. Aprox. 10 km W of Januaria.","herbarium specimen of unspecif","BGBASE:172730","<a href=http://data.rbge.org.uk/herb/E00167076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167076","-44.5","-15.5","-44.500000","-15.500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:33-03","E","E","312911","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Ganev, Wilson","2713","1993","12","27","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:315241","<a href=http://data.rbge.org.uk/herb/E00312911 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:33-03","E","E","167181","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Tweedie, John",NA,NA,NA,NA,"Temperate South America","UY",NA,"herbarium specimen of unspecif","BGBASE:172979","<a href=http://data.rbge.org.uk/herb/E00167181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167181",NA,NA,NA,NA,"unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:33-03","E","E","167075","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Ratter, J.A.; Da Fonsêca, S.G. & de Castro, R.A.","2661","1972","10","24","E. Tropical South America","BR","Approx 10 km W of Januaria.","herbarium specimen of unspecif","BGBASE:172659","<a href=http://data.rbge.org.uk/herb/E00167075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167075","-44.5","-15.5","-44.500000","-15.500000",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:33-03","E","E","167080","PreservedSpecimen","Plantae","Leguminosae","Calliandra","parvifolia","Calliandra parvifolia","Fiebrig, K.","5404",NA,NA,NA,"E. Tropical South America","PY","In regione fluminis Alto Paraná.","herbarium specimen of unspecif","BGBASE:172734","<a href=http://data.rbge.org.uk/herb/E00167080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1952","PreservedSpecimen","Plantae","Fabaceae","Calliandra","microphylla","Calliandra microphylla","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001952",NA,NA,NA,NA,"type","Minas Gerais","Magnoliophyta","Fabales","Benth.","NY00001952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1954","PreservedSpecimen","Plantae","Fabaceae","Calliandra","myriophylla","Calliandra myriophylla","J. B. E. Pohl","1454",NA,NA,NA,"South America","Brazil","Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=390236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00001954",NA,NA,NA,NA,"isosyntype",NA,"Magnoliophyta","Fabales","Benth.","NY00001954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 21:50:00-03","NY","NYBG","00917738","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","J. A. Ratter","R2661","1972","10","24","South America","Brazil","Approx 10 km W of Janúaria","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917738","-44.5","-15.5",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917738_01","R. C. Barneby","Januária",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:50:00-03","NY","NYBG","00917715","PreservedSpecimen","Plantae","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","E. P. Heringer","6446","1958","08","23","South America","Brazil","Barra do Abaité, Paraopeba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917715","-44.4042","-19.2744",NA,NA,NA,"Minas Gerais","Magnoliophyta","Fabales",NA,"NY00917715_01","R. C. Barneby","Paraopeba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
