"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","stateProvince","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","infraspecificEpithet","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:56-03","UNESC","CRI","9712","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","A. L. de Gasper","2010","06","17","S. Dreveck","2249","2010","06","01","Brasil","Brasil","Pinhal.","-49.274167","-26.738333","49º16'27''W","26º44'18''S","742","742","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI004878","CRI004878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:56-03","UNESC","CRI","9629","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","A. L. de Gasper","2010","06","29","S. Dreveck","2269","2010","06","16","Brasil","Brasil","Alto Rio dos Cedros.","-49.32","-26.55","49º19'12''W","26º33'0''S","890","890","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: entorno do fragmento Habito: arbustiva","CRI004881","CRI004881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:56-03","UNESC","CRI","11247","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","A. Korte","2010","12","01","A. Korte; A. Kniess","4883","2010","11","09","Brasil","Camboriú","Cobra fria.","-48.780556","-27.09","48º46'50''W","27º5'24''S","341","341","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI004899","CRI004899","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:56-03","UNESC","CRI","14311","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","Schwirkowski, P.","2017","10","05","Schwirkowski, P.","2461","2017","10","05","Brasil","São Bento do Sul","Rio natal. Rio natal. No topo do morro da igreja.","-49.259167","-26.363333","49º15'33''W","26º21'48''S","900","900","Frutos avermelhados Habitat: Heliófita Habito: Árvore","CRI013517","CRI013517","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:56-03","UNESC","CRI","11098","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","M. Verdi","2010","09","30","M. Verdi; D. H. Klettenberg & G. Klemz","4079","2010","03","17","Brasil","Imaruí","Forquilha da Aratingaúba/Parque Estadual da Serra do Tabuleiro.","-48.82","-28.341389","48º49'12''W","28º20'29''S","604","604","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbusto","CRI008550","CRI008550","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:56-03","UNESC","CRI","9610","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","M. Verdi","2010","06","15","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","5006","2010","06","15","Brasil","São Martinho","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","517","517","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004882","CRI004882","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:56-03","UNESC","CRI","9679","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","F.C.S. Vieira","2010","05","25","F.C.S. Vieira; R.V. Carvalho & H. Tomporowski","2212","2010","05","25","Brasil","Nova Trento","Rio Veado.","-49.136944","-27.360556","49º8'13''W","27º21'38''S","479","479","Floresta Ombrófila Densa Habito: arbustiva","CRI004879","CRI004879","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:56-03","UNESC","CRI","9678","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.","A. L. de Gasper","2010","06","07","A. Korte; A. Kniess","3476","2010","05","27","Brasil","Blumenau","Parque Nacional da Serra do Itajaí - Área Virgem.","-49.14","-27.09","49º8'24''W","27º5'24''S","803","803","Floresta Ombrófila Densa Habito: arbustiva","CRI004880","CRI004880","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01168200","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.",NA,NA,NA,NA,"R. S. Cowan","38389",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306915' target='other'> <mi>dwc_moreinfo</mi></a>","NY01168200","NY01168200_01","Amapá","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","496754","PreservedSpecimen","Plantae","Primulaceae","Cybianthus","peruvianus","Cybianthus peruvianus","(A.DC.) Miq.",NA,NA,NA,NA,"J. Cordeiro","1158","1994","03","11","Brazil","Quatro Barras","Morro Sete","-49.0767","-25.3658",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=762754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00496754","NY00496754_01","Paraná","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
