"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00959539","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub.) H.S.Irwin & Barneby","Illegible collector name","10428","1952","12","07","South America","Brazil","São Paulo","Bocaina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959539","NY00959539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00959541","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub.) H.S.Irwin & Barneby","H. Sick","s.n.","1966","10","28","South America","Brazil","São Paulo","Serra da Bocaina, Núcleo Colonial Senador Vergueiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959541","NY00959541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00959540","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub.) H.S.Irwin & Barneby","A. Netto","s.n.","1874",NA,NA,"South America","Brazil","São Paulo","Campos da Boiayna [Bocaina]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00959540","NY00959540_01","-44.684548","-23.029725",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","21262","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub. ex Harms) H.S.Irwin & Barneby","Rocha, L.",NA,"1979","11","22",NA,"Brasil","São Paulo",NA,NA,"Arbusto, flores amarelas","BOTU021262",NA,NA,NA,"Escobar, N.A.G.","2017","08","29","Botucatu","9999","9999",NA,NA
"5","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","12063","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub. ex Harms) H.S.Irwin & Barneby","Rossi, H.",NA,"1967","10","19",NA,"Brasil","São Paulo",NA,NA,NA,"BOTU012063",NA,NA,NA,"Escobar, N.A.G.","2017","08","29",NA,"9999","9999",NA,NA
"6","2021-02-18 09:29:38-03","UNESP-IBB","BOTU","1562","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub. ex Harms) H.S.Irwin & Barneby","Amaral Jr., A.","1288","1972","12","08",NA,"Brasil","São Paulo",NA,NA,"Subarbusto de 40 cm de altura, flores amarelas","BOTU001562",NA,NA,NA,"Escobar, N.A.G.","2017","08","29","Botucatu","9999","9999",NA,NA
"7","2019-02-22 11:44:14-03","IPA","IPA","11856","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub.) H.S. Irwin & Barneby","Duarte, A.P.; Mgf; Mgf","10428","1952","12","07","Southern America","Brasil","São Paulo","Bocaina",NA,"Arbusto de 1m; flores amarelas","IPA0011856",NA,NA,NA,"Barroso, G.M.","1954",NA,NA,NA,NA,NA,NA,NA
"8","2019-02-22 11:44:14-03","IPA","IPA","39798","S","Plantae","Plantae",NA,"Leguminosae-Caes.","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub.) H.S. Irwin & Barneby","Glaziou","8414",NA,NA,NA,"Southern America","Brasil","São Paulo","Campos de Bocaina",NA,NA,"IPA0039798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-08-11 15:42:00-03","MO","MOBOT","3238327","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub. ex Harms) H.S. Irwin & Barneby","Auguste F.M. Glaziou","Glaziou 8414","1876","1","7","South America","Brazil","São Paulo","Campo da Bocaina (Boa Vista)",NA,NA,NA,NA,NA,NA,"fide Irwin & Barneby",NA,NA,NA,NA,NA,NA,"Lectotype","1"
"10","2021-02-23 13:22:27-03","MN","R-TIPOS","8572","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","atroglandulosa","Chamaecrista atroglandulosa","(Taub. ex Harms) H.S. Irwin & Barneby","Glaziou, A.F.M.","8414","1876","01","07",NA,"Brasil","São Paulo",NA,NA,NA,"R000008572","R000008572_001",NA,NA,"Barneby, R.","1973",NA,NA,"Campos da Bocaina",NA,NA,"Isotypus de Cassia atroglandulosa Taub. ex Harms",NA
