"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","355487","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","B. Coe-Teixeira","holotype","P. K. H. Dusén","10161","1910","11","01","South America","Brazil","Paraná","Ypiranga.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355487","NY00355487_01 NY00355487_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","469222","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","J. G. Rohwer",NA,"P. K. H. Dusén","12127","1911","09","04","South America","Brazil","Paraná","Desvio Ypiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469222","NY00469222_01","Ipiranga","-50.5842","-25.0242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","469225","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","J. G. Rohwer",NA,"P. K. H. Dusén","4464","1911","09","01","South America","Brazil","Paraná","Ypiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469225","NY00469225_01","Ipiranga","-50.5842","-25.0242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","469224","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","J. G. Rohwer",NA,"G. Jönsson","677a","1914","07","14","South America","Brazil","Paraná","Serra do Mar, Cadeado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469224","NY00469224_01","Morretes","-48.8342","-25.4769","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","469223","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","J. G. Rohwer",NA,"C. Koczicki","233","1969","08","12","South America","Brazil","Paraná","Serra Capivari Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469223","NY00469223_01","Campina Grande do Sul","-49.0553","-25.3058","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:45-03","UTFPR","DVPR","3184","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix","Brotto, ML",NA,"Brotto, ML; Silva, JM; Mello, MCH","1766","2014","08","27",NA,"Brasil","Paraná","Parque Estadual das Lauráceas",NA,"Árvore 16 m, flores brancas.; Floresta Ombrófila Densa Montana","DVPR003184",NA,"Adrianópolis","-48.4301","-24.5137","950","950","2014","09","09","-48.4301","-24.5137",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:04-03","PUCPR","HUCP","21433","S","Plantae","Magnoliidae",NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.",NA,NA,"Silva, JM","1472","1995",NA,NA,NA,"Brasil","Paraná","Rodovia BR 277, Rio do Padre.",NA,NA,"HUCP00012696","HUCP00012696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:35:54-03","NBC","NL-BOTANY","L 0037148","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","Rohwer JG","isotype","Dusén PKH",NA,"1910","09","01","Southern America","Brazil","Paraná","BrasiliensesParana: Yparinga",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200037148 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0037148","NL-L0037148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","948204308",NA,NA,NA,NA,NA
"9","2020-02-08 09:35:54-03","NBC","NL-BOTANY","L.1802327","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.",NA,NA,"Jánsson G",NA,"1914","07","14","Southern America","Brazil",NA,"Parana: Serra do Mar, Cadeado, admarginem silvae prim.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1802327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1802327","NL-L1802327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:35:54-03","NBC","NL-BOTANY","WAG.1693769","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.",NA,NA,"Cordeiro J; Silva JM",NA,"1985","08","15","Southern America","Brazil",NA,"Serra Capivari Grande (mun. Campinha Grande do Sul) Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1693769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1693769","NL-WAG1693769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:35:54-03","NBC","NL-BOTANY","WAG.1693770","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.",NA,NA,"Cordeiro J; Silva JM",NA,"1986","07","10","Southern America","Brazil",NA,"Véu de Noiva (mun. Morretes) Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1693770 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1693770","NL-WAG1693770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:30:39-03","IAP","PACA-AGP","69640","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teixeira","J. Rohwer",NA,"J. Cordeiro","117","1985","08","21",NA,"Brasil","PR","Veu de Noiva",NA,"altura: 5m Habitat: mata pluvial Fenofase: flor Hábito: árvore","PACA069640",NA,"Morretes","-48.834400177002","-25.476900100708",NA,NA,"1987",NA,NA,NA,NA,"Magnoliatae",NA,"30514","auto",NA,NA,NA
"13","2019-08-27 13:30:39-03","IAP","PACA-AGP","69396","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teixeira","H. van der Werff",NA,"J. Cordeiro","300","1986","07","10",NA,"Brasil","PR","Veu de Noiva",NA,"Habitat: mata Fenofase: flor Hábito: árvore","PACA069396",NA,"Morretes","-48.834400177002","-25.476900100708",NA,NA,"1987",NA,NA,NA,NA,"Magnoliatae",NA,"30514","auto",NA,NA,NA
"14","2020-10-14 10:02:16-03","FURB","FURB","46884","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","Brotto, ML",NA,"Brotto, M.L.; Silva, J.M. & Mello, M.C.H.","1766","2014","08","27",NA,"Brasil","Paraná","Parque Estadual das Lauráceas.",NA,NA,"FURB27412","FURB27412","Adrianópolis","-48.7169445","-24.8602778","950","950","2014","09","09","-48.7169445","-24.8602778",NA,NA,NA,NA,NA,NA,NA
"15","2020-10-14 10:02:16-03","FURB","FURB","46948","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","Brotto, ML",NA,"Brotto, M.L.; Silva, J.M. & Mello, M.C.H.","1783","2014","08","28",NA,"Brasil","Paraná","Parque Estadual das Lauráceas, próximo à estrada.",NA,NA,"FURB27413","FURB27413","Adrianópolis","-48.6952777","-24.8527778","883","883","2014","09","09","-48.6952777","-24.8527778",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:53:08-03","UCS","HUCS","1534","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teixeira","Moraes, P.L.R. de",NA,"Hatschbach, G.","19577","1968","08","08",NA,"Brasil","Paraná","Rio Sagrado de Cima",NA,"Herbário MBM; encosta do morro",NA,NA,"Morretes","-48.834400177002","-25.476900100708","150","150","2014","08","30",NA,NA,NA,NA,"30514","auto",NA,NA,NA
"17","2021-03-16 17:53:08-03","UCS","HUCS","4312","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teixeira","Rohwer, J.",NA,"Cordeiro, J.","96","1985","08","15",NA,"Brasil","Paraná","Serra Capivari Grande",NA,"árvore 8 m - flores alvescentes",NA,NA,"Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"1987",NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA
"18","2019-08-16 08:39:43-03","UTFPR","HCF","18557","S","Plantae",NA,NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","M.L. Brotto",NA,"M.L. Brotto","1714","2014","07","09",NA,"Brasil","PR","Rio Capivari, Barra da Cruz",NA,"árvore de 15 m; botões florais, flores brancas.",NA,NA,"Campina Grande do Sul","-48.798333","-25.069167","686","686","2014","08","04","48°47'54 W","25°04'09 S",NA,NA,NA,NA,NA,NA,NA
"19","2019-08-16 08:39:43-03","UTFPR","HCF","22347","S","Plantae",NA,NA,"Lauraceae","Nectandra","paranaensis","Nectandra paranaensis","Coe-Teix.","M.L. Brotto",NA,"J.M. Silva","9452","2016","09","27",NA,"Brasil","PR","Parque Estadual das Lauráceas",NA,"árvore com 23 m de altura; flores de cor branca com odor agradável.",NA,NA,"Adrianópolis","-48.641111","-24.818889","736","736","2016","11","22","48°38'28 W","24°49'08 S",NA,NA,NA,NA,NA,NA,NA
