"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","251357","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.","isotype","G. G. Hatschbach","4936","1958","08","03","South America","Brazil","Paraná","Rio Branco do Sul Represa Usina Eletrica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251357","NY00251357_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","556624","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"R. B. Lange","1165","1958","07","30","South America","Brazil","Paraná","Bangui - Curitiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556624","NY00556624_01","T. G. Yuncker","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","556622","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"R. B. Lange","1167","1958","07","30","South America","Brazil","Paraná","Bangui - Curitiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556622","NY00556622_01","T. G. Yuncker","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","556623","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"R. B. Lange","1163","1958","07","30","South America","Brazil","Paraná","Bangui - Curitiba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=45500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00556623","NY00556623_01 NY00556623_02","T. G. Yuncker","Curitiba","-49.2731","-25.4281",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:22:43-03","UFBA","ALCB","114923","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"Cordeiro, J; Costa, EF; Coraiola, R","4166","2011","08","12","Southern America","Brasil","Paraná","Usina Hidrelátrica Santa Cruz. Beira da Represa.",NA,"1,6 m de altura, espigas alvacentas.","ALCB002582","ALCB002582 ALCB002582_1","Cordeiro, J","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","2011","08","37352","auto",NA,NA,NA
"6","2020-12-21 16:39:43-03","MBM","MBM","44891","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.","ISOTYPE","Hatschbach, G.","4936","1958","08","03","Southern America","Brazil","Paraná","Represa da Usina Hidrelétrica",NA,"Erva carnosa 1m.; Locais úmidos próximos ao rio.","MBM044891","MBM044891","Yuncker, T.G.","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","1962",NA,"37352","auto",NA,NA,NA
"7","2020-12-21 16:39:43-03","MBM","MBM","428787","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"Lozano, E.D.; Meyer, T.; Meyer, T.","3704","2017","07","20","Southern America","Brazil","Paraná","Rio Verde",NA,"Arbusto, 1 m, inflorescência alva, em clareira no meio da mata.; Floresta Ombrófila Mista Montana.","MBM428787",NA,"Brotto, M.L.","Campo Largo","-49.460694","-25.461222","2020","06",NA,NA,"10","-49.460694","-25.461222"
"8","2021-02-11 17:21:14-03","UFPR","UPCB","4764","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.","paratype","Lange, R.B.","1167","1958","07","30",NA,"Brasil","Paraná","Barigüi",NA,"Arbusto, até 1m. Solo da mata..","UPCB0002351","UPCB0002351","Yuncku, T.G.","Curitiba","-49.2731018066406","-25.4277992248535","1962","01","25180","auto","01",NA,NA
"9","2009-07-09 17:05:00-03","MO","MOBOT","2480512","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"Gert G. Hatschbach","Hatschbach 4936","1958","8","3","South America","Brazil","Paraná","Rio Branco do Sul. Represa Usina Elétrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-10-22 10:03:14-02","UNIOESTE","UNOP","2072","S","Plantae",NA,NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yunck.",NA,"Cordeiro, J.; Costa, E.F.; Coraiola, R.; Costa, E.F.; Coraiola, R.","4166","2011","08","12",NA,"Brasil","Paraná","Usina Hidrelétrica Santa Cruz",NA,"Arbusto, 1,60m, espiga alvacentas. Beira da represa.",NA,NA,"Cordeiro, J.","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","2011","08","37352","auto",NA,NA,NA
"11","2021-02-08 12:44:43-03","UFRGS","ICN","181711","S","Plantae","Dicotyledon",NA,"Piperaceae","Piper","hatschbachii","Piper hatschbachii","Yuncker",NA,"Cordeiro, J; Costa, EF; Coraiola, R","4166","2011","08","12","América do Sul","Brasil","PR","Usina Hidrelétrica Santa Cruz",NA,"Doação do MBM; Arbusto, 1,60cm, espigas alvacentas; Beira da represa",NA,NA,"Cordeiro, J","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","2011","08","37352","auto",NA,NA,NA
