"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","scientificNameAuthorship","class","typeStatus"
"1","2017-05-16 16:34:00-03","NY","NYBG","02610056","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","obovata","Matayba obovata","P. C. Porto","770","1918","10","11","South America","Brazil","Rio de Janeiro","Itatiaia","Monte Serrat.","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02610056","NY02610056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:19:28-03","ESALQ","ESA","128443","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Virillo, C.B.","151.0","2013","04","01",NA,"Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE - Trilha da Chaminé, Floresta Ombrófila Densa na beira do ribeirão do veado","-47.204722","-24.110555",NA,NA,"ESA128443",NA,"-47.204722","-24.110555","269","269",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:19:28-03","ESALQ","ESA","106501","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Porto, P.C.","1808.0","1928","10","23",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA106501","ESA106501",NA,NA,NA,NA,"Coelho, R.L.G.","2010","04","20","57442","auto",NA,NA,NA
"4","2020-11-04 11:19:28-03","ESALQ","ESA","106497","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Brade, A.C.","18660.0","1946","10","29",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"ESA106497","ESA106497",NA,NA,NA,NA,"Coelho, R.L.G.","2010","04","20","57442","auto",NA,NA,NA
"5","2020-11-04 11:19:28-03","ESALQ","ESA","106512","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Moraes, P.L.R.","488.0","1991","10","06",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA106512","ESA106512",NA,NA,NA,NA,"Coelho, R.L.G.","2010","04","20","27904","auto",NA,NA,NA
"6","2020-11-04 11:19:28-03","ESALQ","ESA","114668","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Pedroni, F.","948.0","1996","11","28",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,"ESA114668","ESA114668",NA,NA,NA,NA,"Coelho, R.L.G.",NA,NA,NA,"34265","auto",NA,NA,NA
"7","2020-11-04 11:19:28-03","ESALQ","ESA","106511","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Moraes, P.L.R.","544.0","1991","11","15",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,"ESA106511","ESA106511",NA,NA,NA,NA,"Coelho, R.L.G.","2014",NA,NA,"27904","auto",NA,NA,NA
"8","2020-11-04 11:19:28-03","ESALQ","ESA","106513","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","obovata","Matayba obovata","Assis, L.C.S.","463.0",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,"ESA106513","ESA106513",NA,NA,NA,NA,"Coelho, R.L.G.","2010","04","20","34265","auto",NA,NA,NA
"9","2020-11-04 12:16:08-03","ESALQ","ESA","139330","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","obovata","Matayba obovata","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza","358.0",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador, ao lado da garagem das viaturas.","-43.2075004577637","-22.9027996063232",NA,"Árvore ca. 6 m, vegetativo.","ESA139330",NA,"-43,159,195","-22,780,183",NA,NA,"G. Coletta","2017","04","19","57442","auto","R. L. G. Coelho, V. C. Souza & Ferrucci",NA,NA
"10","2020-11-04 12:16:08-03","ESALQ","ESA","141235","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Matayba","obovata","Matayba obovata","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza","358.0",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Base dos Fuzileiros Navais da Ilha do Governador, ao lado da garagem das viaturas.","-43.2075004577637","-22.9027996063232",NA,"Árvore ca. 6 m, vegetativo.","ESA141235",NA,"-43,159,195","-22,780,183",NA,NA,"G. Coletta","2017","04","19","57442","auto","R. L. G. Coelho, V. C. Souza & Ferrucci",NA,NA
